location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
VN-01,201001,1,ensemble,reference,0.03914,0.0003059999999999,201001,0.0388340000000001
VN-01,201002,2,ensemble,reference,0.0354349999999999,0.0001147499999999,201001,0.03532025
VN-01,201003,3,ensemble,reference,0.035797,0.00032625,201001,0.03547075
VN-01,201004,1,ensemble,reference,0.041195,0.00497225,201004,0.03622275
VN-01,201005,2,ensemble,reference,0.0400159999999999,0.011544,201004,0.0284719999999999
VN-01,201006,3,ensemble,reference,0.0463579999999999,0.03793425,201004,0.0084237499999998
VN-01,201007,1,ensemble,reference,0.0727109999999999,0.0669804999999999,201007,0.0057304999999999
VN-01,201008,2,ensemble,reference,0.0914969999999999,0.11311925,201007,-0.0216222500000001
VN-01,201009,3,ensemble,reference,0.061308,0.11160475,201007,-0.05029675
VN-01,201010,1,ensemble,reference,0.0854389999999999,0.02295425,201010,0.0624847499999999
VN-01,201011,2,ensemble,reference,0.059115,0.0043384999999999,201010,0.0547765000000001
VN-01,201012,3,ensemble,reference,0.0465249999999999,0.0005935,201010,0.0459314999999999
VN-02,201001,1,ensemble,reference,0.0398869999999999,8.449999999999994e-05,201001,0.0398024999999999
VN-02,201002,2,ensemble,reference,0.0385849999999999,3.150000000000028e-05,201001,0.0385534999999998
VN-02,201003,3,ensemble,reference,0.038729,7.649999999999975e-05,201001,0.0386525
VN-02,201004,1,ensemble,reference,0.039364,0.001747,201004,0.037617
VN-02,201005,2,ensemble,reference,0.04738,0.00228275,201004,0.04509725
VN-02,201006,3,ensemble,reference,0.0947959999999999,0.01534275,201004,0.0794532499999998
VN-02,201007,1,ensemble,reference,0.090152,0.0351937499999999,201007,0.0549582500000001
VN-02,201008,2,ensemble,reference,0.111277,0.0879687499999999,201007,0.0233082500000001
VN-02,201009,3,ensemble,reference,0.148725,0.0720192499999999,201007,0.0767057500000001
VN-02,201010,1,ensemble,reference,0.09841,0.0160305,201010,0.0823795
VN-02,201011,2,ensemble,reference,0.0686909999999999,0.0020427499999999,201010,0.06664825
VN-02,201012,3,ensemble,reference,0.04448,0.00018125,201010,0.04429875
VN-03,201001,1,ensemble,reference,0.037662,0.0002789999999999,201001,0.0373830000000001
VN-03,201002,2,ensemble,reference,0.042311,0.00014475,201001,0.04216625
