model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,756,83.91264516666666,77.25207690674603,6.660568259920635,-0.08621863031541355,67.26500001651073,2.446404398387827,3.420078393003432,6.837251333278078,6.660568259920636,7.894977795570455,298,458,0,2,4,0.3941798941798942
ensemble,reference_r1,unweighted,756,83.91264516666666,77.2020755026455,6.710569664021165,-0.08692214063326853,67.38297623936818,2.4506951521294877,3.3943760336084314,6.878145216059432,6.710569664021164,7.9421979840344985,300,456,0,2,4,0.3968253968253968
ensemble,reference_r2,unweighted,756,83.91264516666666,76.9775135462963,6.935131620370371,-0.09009295443401655,67.68619792106432,2.4617232180717448,3.442348805518752,6.985650753288966,6.935131620370371,8.066334685752192,293,463,0,2,4,0.38756613756613756
ensemble,reference_r3,unweighted,756,83.91264516666666,77.49078506349205,6.421860103174603,-0.0828725647560915,67.29926806646677,2.447650715315145,3.3889488140841855,6.814349411872415,6.4218601031746045,7.868532934593414,305,451,0,2,4,0.40343915343915343
ensemble,reference_r4,unweighted,756,83.91264516666666,77.33793351455026,6.574711652116403,-0.08501276609465447,67.10213650252827,2.4404811096515484,3.46377570102161,6.673077347285827,6.574711652116402,7.705406005557332,297,459,0,2,4,0.39285714285714285
climatology,reference,unweighted,756,99.34053637169313,77.25207690674603,22.08845946494709,-0.2859270630563233,110.18860403333568,4.007520783367279,7.746015325016261,10.581013671406412,22.08845946494709,12.217902182971205,402,354,0,1,4,0.5317460317460317
climatology,reference_r1,unweighted,756,99.34053637169313,77.2020755026455,22.138460869047616,-0.2867599183688916,110.24266146504286,4.009486833150398,7.727690732128994,10.589159107358695,22.13846086904762,12.227307722250638,397,359,0,1,4,0.5251322751322751
climatology,reference_r2,unweighted,756,99.34053637169313,76.9775135462963,22.363022825396826,-0.290513707122368,110.64282463984934,4.024040627109799,7.7699770803218415,10.676565202605504,22.363022825396826,12.328235587489758,393,363,0,1,4,0.5198412698412699
climatology,reference_r3,unweighted,756,99.34053637169313,77.49078506349205,21.849751308201057,-0.2819658013568773,109.57662440123647,3.9852632993365975,7.692790331488907,10.475984037747804,21.849751308201057,12.096624408439833,402,353,1,1,4,0.5317460317460317
climatology,reference_r4,unweighted,756,99.34053637169313,77.33793351455026,22.002602857142858,-0.28449949277482744,110.54072707105233,4.020327374432948,7.797484720590675,10.58524060401029,22.002602857142854,12.222783024324595,401,355,0,1,4,0.5304232804232805
persistence,reference,unweighted,756,104.54288872619047,77.25207690674603,27.290811819444446,-0.35326961956489833,146.9997057043332,5.346327607351894,6.506498639246296,9.942658469764208,27.290811819444443,11.480793087957757,342,414,0,1,4,0.4523809523809524
persistence,reference_r1,unweighted,756,104.54288872619047,77.2020755026455,27.340813223544977,-0.3541460905750917,147.0750852769987,5.3490691359042195,6.501277886281011,9.935731173062294,27.340813223544973,11.472794134726543,343,413,0,1,4,0.4537037037037037
persistence,reference_r2,unweighted,756,104.54288872619047,76.9775135462963,27.56537517989418,-0.3580964610309949,146.97591092914948,5.345462199745356,6.535200761332647,9.98460643029392,27.56537517989418,11.529230420565328,334,422,0,1,4,0.4417989417989418
persistence,reference_r3,unweighted,756,104.54288872619047,77.49078506349205,27.052103662698414,-0.34910091103778695,147.73074493157642,5.372915246993355,6.525082761021153,9.897504712246752,27.052103662698414,11.428654019842504,342,414,0,1,4,0.4523809523809524
persistence,reference_r4,unweighted,756,104.54288872619047,77.33793351455026,27.20495521164021,-0.3517672890305752,146.40265018229746,5.324612907956496,6.4693473594341135,9.95668643765295,27.20495521164021,11.496991190031254,342,414,0,1,4,0.4523809523809524
