location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.259667,2.8567205,200801,0.4029464999999996
LA-AT,200802,2,ensemble,reference,1.4349000000000005,1.2271735,200801,0.2077265000000006
LA-AT,200803,3,ensemble,reference,0.039879,0.07830275,200801,-0.03842375
LA-AT,200804,1,ensemble,reference,0.081596,0.50567575,200804,-0.42407975
LA-AT,200805,2,ensemble,reference,3.010935,1.56358275,200804,1.44735225
LA-AT,200806,3,ensemble,reference,8.307125000000001,4.13374575,200804,4.173379250000001
LA-AT,200807,1,ensemble,reference,2.5117680000000004,3.5250217500000014,200807,-1.013253750000001
LA-AT,200808,2,ensemble,reference,5.461867,6.766005999999999,200807,-1.3041389999999993
LA-AT,200809,3,ensemble,reference,16.356685,17.3033775,200807,-0.946692500000001
LA-AT,200810,1,ensemble,reference,32.929212,30.770417750000004,200810,2.158794249999996
LA-AT,200811,2,ensemble,reference,31.660727,33.719483249999996,200810,-2.0587562499999947
LA-AT,200812,3,ensemble,reference,12.499451,17.15468825,200810,-4.655237249999999
LA-AT,200901,1,ensemble,reference,9.7989,8.29974025,200901,1.4991597500000005
LA-AT,200902,2,ensemble,reference,35.246501,38.76478525,200901,-3.5182842500000007
LA-AT,200903,3,ensemble,reference,66.45151200000001,58.79363725,200901,7.657874750000005
LA-AT,200904,1,ensemble,reference,64.62198500000001,50.53175225,200904,14.090232750000013
LA-AT,200905,2,ensemble,reference,5.109646,48.4498705,200904,-43.340224500000005
LA-AT,200906,3,ensemble,reference,14.776994,39.38997125,200904,-24.61297725
LA-AT,200907,1,ensemble,reference,50.920024000000005,48.98766975,200907,1.932354250000003
LA-AT,200908,2,ensemble,reference,10.05608,14.9626135,200907,-4.9065335
LA-AT,200909,3,ensemble,reference,6.923686999999999,10.2212285,200907,-3.2975415000000012
LA-AT,200910,1,ensemble,reference,3.144532,6.4422120000000005,200910,-3.2976800000000006
LA-AT,200911,2,ensemble,reference,6.909432,6.16758375,200910,0.7418482499999994
LA-AT,200912,3,ensemble,reference,3.154241,5.693875249999999,200910,-2.539634249999999
LA-BK,200801,1,ensemble,reference,0.650345,0.95601925,200801,-0.30567425
LA-BK,200802,2,ensemble,reference,0.042721,4.6500000000000046e-05,200801,0.0426745
LA-BK,200803,3,ensemble,reference,0.054459,2.8000000000000247e-05,200801,0.054431
LA-BK,200804,1,ensemble,reference,0.06318,0.0264175,200804,0.0367625
LA-BK,200805,2,ensemble,reference,10.999355,10.713214999999998,200804,0.2861400000000014
LA-BK,200806,3,ensemble,reference,51.315505,50.8679235,200804,0.4475814999999983
LA-BK,200807,1,ensemble,reference,3.892104999999999,1.96930125,200807,1.922803749999999
LA-BK,200808,2,ensemble,reference,6.345639,5.856817999999999,200807,0.4888210000000015
LA-BK,200809,3,ensemble,reference,16.890545,21.43587975,200807,-4.545334750000002
LA-BK,200810,1,ensemble,reference,31.61492,21.940763500000003,200810,9.6741565
LA-BK,200811,2,ensemble,reference,39.86001,47.66615875,200810,-7.806148749999998
LA-BK,200812,3,ensemble,reference,4.11152,2.97199575,200810,1.1395242499999996
LA-BK,200901,1,ensemble,reference,0.6407749999999999,0.45439075,200901,0.1863842499999998
LA-BK,200902,2,ensemble,reference,0.4127700000000001,0.30116375,200901,0.11160625
LA-BK,200903,3,ensemble,reference,0.650879,0.6673817500000001,200901,-0.0165027500000001
LA-BK,200904,1,ensemble,reference,2.072668,1.287469,200904,0.7851990000000002
LA-BK,200905,2,ensemble,reference,71.976303,43.308491,200904,28.667812000000005
LA-BK,200906,3,ensemble,reference,209.618649,146.54898674999998,200904,63.06966225000002
LA-BK,200907,1,ensemble,reference,118.20198,188.15685825,200907,-69.95487825
LA-BK,200908,2,ensemble,reference,66.58434299999999,90.8190615,200907,-24.234718500000017
LA-BK,200909,3,ensemble,reference,35.632844999999996,38.901625249999995,200907,-3.268780249999999
LA-BK,200910,1,ensemble,reference,15.377194,20.581325999999997,200910,-5.204131999999998
LA-BK,200911,2,ensemble,reference,5.6650860000000005,12.810468749999998,200910,-7.145382749999998
LA-BK,200912,3,ensemble,reference,4.699863000000001,4.833049750000001,200910,-0.1331867500000001
LA-BL,200801,1,ensemble,reference,4.843727,5.3708495,200801,-0.5271224999999999
LA-BL,200802,2,ensemble,reference,3.0393999999999997,5.84484275,200801,-2.80544275
LA-BL,200803,3,ensemble,reference,1.6869059999999996,0.42230275,200801,1.2646032499999995
LA-BL,200804,1,ensemble,reference,2.0683610000000003,1.6217134999999998,200804,0.4466475000000005
LA-BL,200805,2,ensemble,reference,5.8140740000000015,6.6790910000000006,200804,-0.865016999999999
LA-BL,200806,3,ensemble,reference,8.157824999999999,7.575282,200804,0.5825429999999994
LA-BL,200807,1,ensemble,reference,11.694019,20.087886249999997,200807,-8.393867249999996
LA-BL,200808,2,ensemble,reference,11.744889999999998,20.6089715,200807,-8.864081500000001
LA-BL,200809,3,ensemble,reference,13.146439,18.523956,200807,-5.377516999999997
LA-BL,200810,1,ensemble,reference,13.181572999999997,9.729708250000002,200810,3.451864749999995
LA-BL,200811,2,ensemble,reference,6.222372000000002,4.276498999999999,200810,1.9458730000000024
LA-BL,200812,3,ensemble,reference,4.541751000000001,0.9770205,200810,3.564730500000002
LA-BL,200901,1,ensemble,reference,1.2700449999999996,0.7456575000000001,200901,0.5243874999999996
LA-BL,200902,2,ensemble,reference,1.354121,1.68273325,200901,-0.3286122500000001
LA-BL,200903,3,ensemble,reference,1.7856070000000006,1.1302832499999995,200901,0.6553237500000011
LA-BL,200904,1,ensemble,reference,1.899463,0.8048480000000001,200904,1.0946149999999997
LA-BL,200905,2,ensemble,reference,8.623123,3.829161000000001,200904,4.793961999999999
