model,against,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,200801,45,-0.25547744999999994,4.684027444444444,4.939504894444444
ensemble,reference,200804,45,1.1780707222222209,21.566847866666663,20.388777144444443
ensemble,reference,200807,45,-4.338590861111107,17.121727444444446,21.460318305555553
ensemble,reference,200810,45,0.15284098333333332,17.595955222222223,17.44311423888889
ensemble,reference,200901,48,-0.19634726562500013,5.616670958333334,5.813018223958333
ensemble,reference,200904,48,-6.711261802083333,18.0808049375,24.792066739583333
ensemble,reference,200907,47,-10.227314212765954,46.70380385106383,56.931118063829786
ensemble,reference,200910,48,-0.6118264479166634,23.623379083333337,24.23520553125
ensemble,reference_r1,200801,45,-0.18153531111111126,4.684027444444444,4.8655627555555565
ensemble,reference_r1,200804,45,2.1157544666666652,21.566847866666663,19.4510934
ensemble,reference_r1,200807,45,-4.370994244444441,17.121727444444446,21.49272168888889
ensemble,reference_r1,200810,45,-0.17060726666666676,17.595955222222223,17.76656248888889
ensemble,reference_r1,200901,48,-0.2070175833333334,5.616670958333334,5.823688541666667
ensemble,reference_r1,200904,48,-6.540400999999998,18.0808049375,24.621205937499997
ensemble,reference_r1,200907,47,-9.945653574468077,46.70380385106383,56.64945742553191
ensemble,reference_r1,200910,48,-0.26329012499999666,23.623379083333337,23.886669208333334
ensemble,reference_r2,200801,45,-0.1870377111111111,4.684027444444444,4.871065155555556
ensemble,reference_r2,200804,45,-0.9353778000000019,21.566847866666663,22.502225666666668
ensemble,reference_r2,200807,45,-4.239492711111108,17.121727444444446,21.361220155555554
ensemble,reference_r2,200810,45,-0.30040217777777806,17.595955222222223,17.8963574
ensemble,reference_r2,200901,48,-0.22427837500000014,5.616670958333334,5.8409493333333335
ensemble,reference_r2,200904,48,-6.5088481666666675,18.0808049375,24.58965310416667
ensemble,reference_r2,200907,47,-9.672245,46.70380385106383,56.376048851063835
ensemble,reference_r2,200910,48,-0.42180249999999814,23.623379083333337,24.045181583333335
ensemble,reference_r3,200801,45,-0.4434981333333333,4.684027444444444,5.127525577777778
ensemble,reference_r3,200804,45,1.238893622222221,21.566847866666663,20.327954244444445
ensemble,reference_r3,200807,45,-4.425354422222218,17.121727444444446,21.547081866666662
ensemble,reference_r3,200810,45,1.2188034222222226,17.595955222222223,16.3771518
ensemble,reference_r3,200901,48,-0.28056464583333357,5.616670958333334,5.897235604166667
ensemble,reference_r3,200904,48,-7.232120604166664,18.0808049375,25.31292554166667
ensemble,reference_r3,200907,47,-12.269687765957446,46.70380385106383,58.973491617021274
ensemble,reference_r3,200910,48,-1.0192948124999972,23.623379083333337,24.64267389583333
ensemble,reference_r4,200801,45,-0.2098386444444445,4.684027444444444,4.893866088888889
ensemble,reference_r4,200804,45,2.293012599999999,21.566847866666663,19.273835266666666
ensemble,reference_r4,200807,45,-4.318522066666662,17.121727444444446,21.440249511111105
ensemble,reference_r4,200810,45,-0.13643004444444387,17.595955222222223,17.732385266666665
ensemble,reference_r4,200901,48,-0.07352845833333353,5.616670958333334,5.690199416666666
ensemble,reference_r4,200904,48,-6.563677437499998,18.0808049375,24.644482375
ensemble,reference_r4,200907,47,-9.021670510638291,46.70380385106383,55.72547436170212
ensemble,reference_r4,200910,48,-0.7429183541666641,23.623379083333337,24.3662974375
persistence,reference,200801,45,1.2003610388888883,6.139865933333334,4.939504894444444
persistence,reference,200804,45,1.1380341444444444,21.52681128888889,20.388777144444443
persistence,reference,200807,45,-4.913567105555552,16.546751200000003,21.460318305555553
persistence,reference,200810,45,-1.3275628833333333,16.115551355555557,17.44311423888889
persistence,reference,200901,48,6.645080359375,12.458098583333333,5.813018223958333
persistence,reference,200904,48,-5.9997270729166665,18.792339666666667,24.792066739583333
persistence,reference,200907,47,-3.801041425531911,53.13007663829787,56.931118063829786
persistence,reference,200910,48,-4.088857572916663,20.146347958333333,24.23520553125
persistence,reference_r1,200801,45,1.2743031777777771,6.139865933333334,4.8655627555555565
persistence,reference_r1,200804,45,2.0757178888888888,21.52681128888889,19.4510934
persistence,reference_r1,200807,45,-4.945970488888887,16.546751200000003,21.49272168888889
persistence,reference_r1,200810,45,-1.6510111333333333,16.115551355555557,17.76656248888889
persistence,reference_r1,200901,48,6.6344100416666665,12.458098583333333,5.823688541666667
persistence,reference_r1,200904,48,-5.828866270833333,18.792339666666667,24.621205937499997
persistence,reference_r1,200907,47,-3.5193807872340335,53.13007663829787,56.64945742553191
persistence,reference_r1,200910,48,-3.740321249999998,20.146347958333333,23.886669208333334
persistence,reference_r2,200801,45,1.2688007777777772,6.139865933333334,4.871065155555556
persistence,reference_r2,200804,45,-0.9754143777777783,21.52681128888889,22.502225666666668
persistence,reference_r2,200807,45,-4.8144689555555535,16.546751200000003,21.361220155555554
persistence,reference_r2,200810,45,-1.7808060444444445,16.115551355555557,17.8963574
persistence,reference_r2,200901,48,6.617149250000001,12.458098583333333,5.8409493333333335
persistence,reference_r2,200904,48,-5.7973134375000015,18.792339666666667,24.58965310416667
persistence,reference_r2,200907,47,-3.2459722127659565,53.13007663829787,56.376048851063835
persistence,reference_r2,200910,48,-3.8988336249999986,20.146347958333333,24.045181583333335
persistence,reference_r3,200801,45,1.0123403555555552,6.139865933333334,5.127525577777778
persistence,reference_r3,200804,45,1.1988570444444449,21.52681128888889,20.327954244444445
persistence,reference_r3,200807,45,-5.000330666666663,16.546751200000003,21.547081866666662
persistence,reference_r3,200810,45,-0.26160044444444414,16.115551355555557,16.3771518
persistence,reference_r3,200901,48,6.560862979166667,12.458098583333333,5.897235604166667
persistence,reference_r3,200904,48,-6.520585874999999,18.792339666666667,25.31292554166667
persistence,reference_r3,200907,47,-5.843414978723401,53.13007663829787,58.973491617021274
persistence,reference_r3,200910,48,-4.496325937499998,20.146347958333333,24.64267389583333
persistence,reference_r4,200801,45,1.2459998444444438,6.139865933333334,4.893866088888889
persistence,reference_r4,200804,45,2.2529760222222226,21.52681128888889,19.273835266666666
persistence,reference_r4,200807,45,-4.893498311111107,16.546751200000003,21.440249511111105
persistence,reference_r4,200810,45,-1.6168339111111105,16.115551355555557,17.732385266666665
persistence,reference_r4,200901,48,6.767899166666667,12.458098583333333,5.690199416666666
persistence,reference_r4,200904,48,-5.852142708333332,18.792339666666667,24.644482375
persistence,reference_r4,200907,47,-2.5953977234042465,53.13007663829787,55.72547436170212
persistence,reference_r4,200910,48,-4.219949479166665,20.146347958333333,24.3662974375
climatology,reference,200801,45,0.4200506611111108,5.359555555555555,4.939504894444444
climatology,reference,200804,45,5.845326011111111,26.23410315555556,20.388777144444443
climatology,reference,200807,45,12.233459472222224,33.693777777777775,21.460318305555553
climatology,reference,200810,45,4.262107161111111,21.7052214,17.44311423888889
climatology,reference,200901,48,0.017559630208333208,5.830577854166666,5.813018223958333
climatology,reference,200904,48,-3.8261625312499987,20.965904208333335,24.792066739583333
climatology,reference,200907,47,-5.812743999999997,51.11837406382978,56.931118063829786
climatology,reference,200910,48,5.4633106979166675,29.698516229166668,24.23520553125
climatology,reference_r1,200801,45,0.49399279999999945,5.359555555555555,4.8655627555555565
climatology,reference_r1,200804,45,6.783009755555555,26.23410315555556,19.4510934
climatology,reference_r1,200807,45,12.20105608888889,33.693777777777775,21.49272168888889
climatology,reference_r1,200810,45,3.938658911111112,21.7052214,17.76656248888889
climatology,reference_r1,200901,48,0.006889312499999915,5.830577854166666,5.823688541666667
climatology,reference_r1,200904,48,-3.655301729166665,20.965904208333335,24.621205937499997
climatology,reference_r1,200907,47,-5.531083361702119,51.11837406382978,56.64945742553191
climatology,reference_r1,200910,48,5.8118470208333335,29.698516229166668,23.886669208333334
climatology,reference_r2,200801,45,0.4884903999999997,5.359555555555555,4.871065155555556
climatology,reference_r2,200804,45,3.731877488888888,26.23410315555556,22.502225666666668
climatology,reference_r2,200807,45,12.332557622222224,33.693777777777775,21.361220155555554
climatology,reference_r2,200810,45,3.8088640000000002,21.7052214,17.8963574
climatology,reference_r2,200901,48,-0.010371479166666779,5.830577854166666,5.8409493333333335
climatology,reference_r2,200904,48,-3.6237488958333337,20.965904208333335,24.58965310416667
climatology,reference_r2,200907,47,-5.257674787234043,51.11837406382978,56.376048851063835
climatology,reference_r2,200910,48,5.653334645833332,29.698516229166668,24.045181583333335
climatology,reference_r3,200801,45,0.23202997777777748,5.359555555555555,5.127525577777778
