location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.3959930000000003,2.8567205,200801,0.5392725
LA-AT,200802,2,ensemble,reference,1.510919,1.2271735,200801,0.2837455
LA-AT,200803,3,ensemble,reference,0.026809,0.07830275,200801,-0.051493750000000005
LA-AT,200804,1,ensemble,reference,0.059353,0.50567575,200804,-0.44632275
LA-AT,200805,2,ensemble,reference,3.198659,1.56358275,200804,1.6350762500000002
LA-AT,200806,3,ensemble,reference,8.515454,4.13374575,200804,4.38170825
LA-AT,200807,1,ensemble,reference,3.6834890000000007,3.5250217500000014,200807,0.15846724999999928
LA-AT,200808,2,ensemble,reference,7.667672,6.766005999999999,200807,0.9016660000000005
LA-AT,200809,3,ensemble,reference,17.251327,17.3033775,200807,-0.0520505
LA-AT,200810,1,ensemble,reference,34.345468999999994,30.770417750000004,200810,3.5750512499999907
LA-AT,200811,2,ensemble,reference,33.811591,33.719483249999996,200810,0.09210775000000382
LA-AT,200812,3,ensemble,reference,15.907208,17.15468825,200810,-1.2474802499999988
LA-AT,200901,1,ensemble,reference,10.92326,8.29974025,200901,2.6235197500000016
LA-AT,200902,2,ensemble,reference,35.539972999999996,38.76478525,200901,-3.2248122500000065
LA-AT,200903,3,ensemble,reference,65.984555,58.79363725,200901,7.190917749999997
LA-AT,200904,1,ensemble,reference,68.714011,50.53175225,200904,18.182258750000003
LA-AT,200905,2,ensemble,reference,3.5279560000000014,48.4498705,200904,-44.9219145
LA-AT,200906,3,ensemble,reference,13.597899000000002,39.38997125,200904,-25.79207225
LA-AT,200907,1,ensemble,reference,57.691561,48.98766975,200907,8.703891249999998
LA-AT,200908,2,ensemble,reference,16.912423,14.9626135,200907,1.9498095000000006
LA-AT,200909,3,ensemble,reference,11.397989,10.2212285,200907,1.1767605000000003
LA-AT,200910,1,ensemble,reference,2.954942000000001,6.4422120000000005,200910,-3.4872699999999996
LA-AT,200911,2,ensemble,reference,12.240948,6.16758375,200910,6.073364249999999
LA-AT,200912,3,ensemble,reference,3.9774569999999994,5.693875249999999,200910,-1.7164182499999994
LA-BK,200801,1,ensemble,reference,0.6667500000000001,0.95601925,200801,-0.2892692499999999
LA-BK,200802,2,ensemble,reference,0.039221,4.6500000000000046e-05,200801,0.0391745
LA-BK,200803,3,ensemble,reference,0.04577,2.8000000000000247e-05,200801,0.045742
LA-BK,200804,1,ensemble,reference,0.0562489999999999,0.0264175,200804,0.029831499999999903
LA-BK,200805,2,ensemble,reference,11.04588,10.713214999999998,200804,0.3326650000000022
LA-BK,200806,3,ensemble,reference,51.642547,50.8679235,200804,0.774623499999997
LA-BK,200807,1,ensemble,reference,0.9982129999999998,1.96930125,200807,-0.9710882500000002
LA-BK,200808,2,ensemble,reference,6.354260999999999,5.856817999999999,200807,0.4974430000000005
LA-BK,200809,3,ensemble,reference,27.152350999999996,21.43587975,200807,5.716471249999994
LA-BK,200810,1,ensemble,reference,40.554911,21.940763500000003,200810,18.614147499999994
LA-BK,200811,2,ensemble,reference,49.920087,47.66615875,200810,2.2539282500000013
LA-BK,200812,3,ensemble,reference,3.998274,2.97199575,200810,1.0262782499999998
LA-BK,200901,1,ensemble,reference,0.551415,0.45439075,200901,0.09702424999999998
LA-BK,200902,2,ensemble,reference,0.2147279999999998,0.30116375,200901,-0.0864357500000002
LA-BK,200903,3,ensemble,reference,0.5537159999999999,0.6673817500000001,200901,-0.11366575000000023
LA-BK,200904,1,ensemble,reference,2.115465,1.287469,200904,0.827996
LA-BK,200905,2,ensemble,reference,71.998638,43.308491,200904,28.690147000000003
LA-BK,200906,3,ensemble,reference,209.873897,146.54898674999998,200904,63.324910250000016
LA-BK,200907,1,ensemble,reference,178.663678,188.15685825,200907,-9.493180249999995
LA-BK,200908,2,ensemble,reference,92.736919,90.8190615,200907,1.9178574999999967
LA-BK,200909,3,ensemble,reference,39.855599000000005,38.901625249999995,200907,0.9539737500000101
LA-BK,200910,1,ensemble,reference,20.774366,20.581325999999997,200910,0.19304000000000343
LA-BK,200911,2,ensemble,reference,3.3781370000000006,12.810468749999998,200910,-9.432331749999998
