model,against,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,200801,45,-0.47910467222222225,4.753939777777778,5.2330444499999995
ensemble,reference,200804,45,2.8869299888888893,22.201609266666665,19.314679277777778
ensemble,reference,200807,45,-3.1455542666666694,18.65976351111111,21.80531777777778
ensemble,reference,200810,45,-0.45265685555555435,16.988816311111112,17.441473166666665
ensemble,reference,200901,48,0.5344801250000002,6.1840143124999996,5.6495341875
ensemble,reference,200904,48,-6.071154197916667,18.620446520833333,24.69160071875
ensemble,reference,200907,47,-13.907701718085109,42.47517780851064,56.382879526595744
ensemble,reference,200910,48,-2.5947609166666656,21.855950791666668,24.450711708333333
ensemble,reference_r1,200801,45,-1.4724665555555558,4.753939777777778,6.226406333333333
ensemble,reference_r1,200804,45,2.9127473111111106,22.201609266666665,19.288861955555554
ensemble,reference_r1,200807,45,-3.367814844444449,18.65976351111111,22.02757835555556
ensemble,reference_r1,200810,45,0.42557160000000066,16.988816311111112,16.56324471111111
ensemble,reference_r1,200901,48,0.4817717083333333,6.1840143124999996,5.702242604166667
ensemble,reference_r1,200904,48,-5.887795645833333,18.620446520833333,24.508242166666665
ensemble,reference_r1,200907,47,-14.893897893617027,42.47517780851064,57.36907570212767
ensemble,reference_r1,200910,48,-2.337636395833334,21.855950791666668,24.1935871875
ensemble,reference_r2,200801,45,-0.16186757777777805,4.753939777777778,4.915807355555556
ensemble,reference_r2,200804,45,2.898423444444444,22.201609266666665,19.303185822222222
ensemble,reference_r2,200807,45,-3.303020577777784,18.65976351111111,21.962784088888895
ensemble,reference_r2,200810,45,-0.8164116222222205,16.988816311111112,17.80522793333333
ensemble,reference_r2,200901,48,0.5493824166666664,6.1840143124999996,5.6346318958333335
ensemble,reference_r2,200904,48,-6.00346285416667,18.620446520833333,24.623909375
ensemble,reference_r2,200907,47,-13.632844340425532,42.47517780851064,56.10802214893617
ensemble,reference_r2,200910,48,-2.558362,21.855950791666668,24.414312791666664
ensemble,reference_r3,200801,45,-0.12330224444444413,4.753939777777778,4.877242022222222
ensemble,reference_r3,200804,45,3.0229371333333335,22.201609266666665,19.178672133333333
ensemble,reference_r3,200807,45,-2.5893246222222195,18.65976351111111,21.24908813333333
ensemble,reference_r3,200810,45,-0.737747777777777,16.988816311111112,17.72656408888889
ensemble,reference_r3,200901,48,0.5579120208333331,6.1840143124999996,5.626102291666666
ensemble,reference_r3,200904,48,-6.2552273125,18.620446520833333,24.875673833333334
ensemble,reference_r3,200907,47,-13.486170595744683,42.47517780851064,55.96134840425532
ensemble,reference_r3,200910,48,-2.844035645833332,21.855950791666668,24.6999864375
ensemble,reference_r4,200801,45,-0.1587823111111114,4.753939777777778,4.912722088888889
ensemble,reference_r4,200804,45,2.713612066666668,22.201609266666665,19.4879972
ensemble,reference_r4,200807,45,-3.322057022222225,18.65976351111111,21.981820533333334
ensemble,reference_r4,200810,45,-0.6820396222222218,16.988816311111112,17.670855933333335
ensemble,reference_r4,200901,48,0.5488543541666668,6.1840143124999996,5.6351599583333325
ensemble,reference_r4,200904,48,-6.138130979166668,18.620446520833333,24.7585775
