model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,371,19.011371735849053,21.910239361185987,-2.898867625336927,0.13230652470516957,18.194808080085423,0.944627368553795,2.2900833886904044,1.7161906146990455,-2.8447538921487148,1.8243248749821763,153,218,0,6,8,0.4123989218328841
ensemble,reference_r1,371,19.011371735849053,21.88723743396227,-2.875865698113209,0.1313946406799954,18.668156154810454,0.9692023761202069,2.305885951263875,1.7760777034558324,-2.8160244009973425,1.8876270570781057,148,223,0,5,8,0.39892183288409705
ensemble,reference_r2,371,19.011371735849053,21.709377231805927,-2.6980054959568727,0.12427834604136345,17.52409757026177,0.9098058139010945,2.1271681574072194,1.6364740330276775,-2.644662474564125,1.7395460131040743,150,221,0,6,8,0.40431266846361186
ensemble,reference_r3,371,19.011371735849053,21.960492506738547,-2.9491207708894867,0.1342921052423829,18.816634556175796,0.9769109906299873,2.4164267187588537,1.7393322102222983,-2.895168628198877,1.8496769504396797,154,217,0,6,8,0.41509433962264153
ensemble,reference_r4,371,19.011371735849053,22.083850272237196,-3.0724785363881404,0.13912784675282475,18.182874653285115,0.9440078159041277,2.3200724412148324,1.7217027982369142,-3.023160064834516,1.830257328820131,155,216,0,6,8,0.41778975741239893
climatology,reference,371,24.3369086361186,21.910239361185987,2.4266692749326135,-0.1107550326096145,25.63609700547085,1.3309598401740361,2.6276659907653492,1.8717137020164178,2.5135351008772897,2.009139079576187,163,208,0,2,8,0.4393530997304582
climatology,reference_r1,371,24.3369086361186,21.88723743396227,2.449671202156332,-0.11192235701501518,25.95012929852923,1.3472635844799368,2.62263275829811,1.9488607753937548,2.542264592028662,2.090714356574701,161,210,0,2,8,0.4339622641509434
climatology,reference_r2,371,24.3369086361186,21.709377231805927,2.6275314043126685,-0.12103209485268573,25.67870496328015,1.3331719351237432,2.590223579919448,1.8467497220390965,2.7136265184618793,1.9854960951699303,160,211,0,2,8,0.431266846361186
climatology,reference_r3,371,24.3369086361186,21.960492506738547,2.376416129380054,-0.10821324378999497,25.985108355706455,1.349079606643533,2.6917643686511568,1.8609992336753913,2.463120364827128,1.9975108694597443,163,208,0,2,8,0.4393530997304582
climatology,reference_r4,371,24.3369086361186,22.083850272237196,2.2530583638814017,-0.10202289619368798,25.23647113805511,1.3102122989039449,2.621323891091484,1.8390712744045214,2.3351289281914895,1.972532985042555,166,205,0,2,8,0.4474393530997305
persistence,reference,371,24.879338288409706,21.910239361185987,2.9690989272237194,-0.135511934775276,39.567668425463644,2.054250989625131,4.081740828765938,2.901262135751641,2.960955423627733,3.0488255186707742,169,202,0,2,8,0.4555256064690027
persistence,reference_r1,371,24.879338288409706,21.88723743396227,2.9921008544474375,-0.13670527692108903,39.966266458839144,2.0749451684106894,4.077537649207667,2.955567501508853,2.9896849147791054,3.105738666077119,167,204,0,2,8,0.4501347708894879
persistence,reference_r2,371,24.879338288409706,21.709377231805927,3.1699610566037744,-0.14601805582702476,38.867383762470304,2.017894021443311,3.946562564707984,2.8565689508485668,3.1610468412123227,3.00532989874212,171,200,0,2,8,0.4609164420485175
persistence,reference_r3,371,24.879338288409706,21.960492506738547,2.91884578167116,-0.13291349366483995,39.78324825148832,2.0654433365229177,4.171442954581557,2.896190776177501,2.910540687577571,3.042978440277707,167,204,0,2,8,0.4501347708894879
persistence,reference_r4,371,24.879338288409706,22.083850272237196,2.7954880161725075,-0.12658517340551212,39.847098691595285,2.0687582862027254,4.138321881244556,2.902894574554466,2.782549250941933,3.048223724409028,167,204,0,2,8,0.4501347708894879
