model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,371,19.006490361185985,21.90947819137466,-2.9029878301886787,0.1324991770607994,17.733307697876896,0.9206674625348157,2.1828992078133087,1.6894562168888716,-2.8534529370576607,1.7956207117089973,154,217,0,6,8,0.41509433962264153
ensemble,reference_r1,371,19.006490361185985,22.031458938005393,-3.024968576819407,0.13730223610390058,19.13532240808678,0.9934564395083533,2.2939041317600486,1.7450155963570535,-2.9644943641363763,1.8554935502693861,149,222,0,5,8,0.40161725067385445
ensemble,reference_r2,371,19.006490361185985,21.73124090566038,-2.7247505444743934,0.12538402920951797,17.38522825075853,0.9025960780644862,2.078508441185829,1.7059870071057242,-2.6723291224549346,1.8144574604935115,152,219,0,5,8,0.40970350404312667
ensemble,reference_r3,371,19.006490361185985,22.089109943396224,-3.0826195822102407,0.13955381588979865,17.739336431968624,0.9209804588135186,2.2032645243909825,1.6913921414956856,-3.0421677726617893,1.7957367787650211,155,216,0,6,8,0.41778975741239893
ensemble,reference_r4,371,19.006490361185985,21.786102978436656,-2.779612617250674,0.12758649952228085,17.336638640478252,0.9000734311920331,2.1649620092453805,1.6459303793866942,-2.734820488977541,1.7488263317807256,154,217,0,6,8,0.41509433962264153
climatology,reference,371,24.3369086361186,21.90947819137466,2.427430444743935,-0.11079362199048504,25.473674441544095,1.322527280815313,2.61749692381775,1.8326410996803377,2.5116145344110152,1.9716102830313926,161,210,0,2,8,0.4339622641509434
climatology,reference_r1,371,24.3369086361186,22.031458938005393,2.3054496981132067,-0.10464353289541761,26.572442154684165,1.3795724581508964,2.6937438503526066,1.935884817226861,2.4005731073322987,2.078781982855803,161,210,0,2,8,0.4339622641509434
climatology,reference_r2,371,24.3369086361186,21.73124090566038,2.605667730458221,-0.11990423104552295,25.22859250989888,1.3098032609107837,2.5415592437476517,1.8218518012103833,2.692738349013741,1.9614191709566537,161,210,0,2,8,0.4339622641509434
climatology,reference_r3,371,24.3369086361186,22.089109943396224,2.247798692722373,-0.10176049186601022,25.552467851563406,1.326618030837974,2.628679844147457,1.7784960285062166,2.3228996988068866,1.9115441685850443,161,210,0,2,8,0.4339622641509434
climatology,reference_r4,371,24.3369086361186,21.786102978436656,2.5508056576819405,-0.11708407236515272,25.017917510746937,1.2988655599362517,2.615885377224528,1.8201009645899635,2.6302469824911348,1.9615424988575647,164,207,0,2,8,0.4420485175202156
persistence,reference,371,24.879338288409706,21.90947819137466,2.969860097035041,-0.1355513842499554,39.18084396642917,2.0341680643630653,4.045220720885297,2.8546155553724044,2.959034857161458,3.004484868713335,170,201,0,2,8,0.4582210242587601
persistence,reference_r1,371,24.879338288409706,22.031458938005393,2.847879350404313,-0.1292642197876226,39.790508627990626,2.0658202764895224,4.184098985698745,2.9189717412810148,2.8479934300827416,3.068891008527491,170,201,0,2,8,0.4582210242587601
persistence,reference_r2,371,24.879338288409706,21.73124090566038,3.148097382749326,-0.14486505379126036,38.98697920569534,2.0241031074818907,3.9739427994070637,2.8084084615589524,3.1401586717641843,2.9571473761898694,170,201,0,2,8,0.4582210242587601
persistence,reference_r3,371,24.879338288409706,22.089109943396224,2.7902283450134795,-0.12631692051710086,38.9180365992785,2.0205237856998672,4.028843027176686,2.8720903742498387,2.77032002155733,3.0223404934223166,168,203,0,3,8,0.4528301886792453
persistence,reference_r4,371,24.879338288409706,21.786102978436656,3.0932353099730467,-0.1419820384138759,39.35022810916795,2.0429620508852535,3.998523934631207,2.836754959384271,3.0776673052415777,2.988565536758283,168,203,0,2,8,0.4528301886792453
