model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
persistence,reference,cases,200801,45,-14.212515711294417,20.90649024619289,35.11900595748731
persistence,reference,cases,200804,45,4.27564405011178,103.37802414157973,99.10238009146795
persistence,reference,cases,200807,45,6.845629265449435,76.87942870014045,70.033799434691
persistence,reference,cases,200810,45,-7.752563318010546,49.94807038809345,57.70063370610399
persistence,reference,cases,200901,48,0.3313839793632102,27.879811103773587,27.54842712441038
persistence,reference,cases,200904,48,-4.584059753297123,69.40400554072926,73.98806529402637
persistence,reference,cases,200907,47,-40.07914198705047,129.3176277651637,169.39676975221417
persistence,reference,cases,200910,48,-89.63602122589852,67.03269541141648,156.66871663731501
persistence,reference_r1,cases,200801,45,-18.269035913705583,20.90649024619289,39.17552615989848
persistence,reference_r1,cases,200804,45,5.675432093889723,103.37802414157973,97.70259204769002
persistence,reference_r1,cases,200807,45,12.513799808988768,76.87942870014045,64.36562889115169
persistence,reference_r1,cases,200810,45,-5.320256997739257,49.94807038809345,55.268327385832706
persistence,reference_r1,cases,200901,48,2.2498062948113224,27.879811103773587,25.630004808962262
persistence,reference_r1,cases,200904,48,-2.8242189712955734,69.40400554072926,72.22822451202482
persistence,reference_r1,cases,200907,47,-37.533939021470744,129.3176277651637,166.85156678663446
persistence,reference_r1,cases,200910,48,-89.19376046046513,67.03269541141648,156.22645587188163
persistence,reference_r2,cases,200801,45,-12.445745794416247,20.90649024619289,33.35223604060914
persistence,reference_r2,cases,200804,45,5.575158154992542,103.37802414157973,97.8028659865872
persistence,reference_r2,cases,200807,45,5.914964679073035,76.87942870014045,70.96446402106741
persistence,reference_r2,cases,200810,45,-9.749461181612656,49.94807038809345,59.69753156970611
persistence,reference_r2,cases,200901,48,-5.176578674528298,27.879811103773587,33.05638977830189
persistence,reference_r2,cases,200904,48,-6.43198160744763,69.40400554072926,75.83598714817688
persistence,reference_r2,cases,200907,47,-42.37853270558236,129.3176277651637,171.69616047074604
persistence,reference_r2,cases,200910,48,-97.85780195348836,67.03269541141648,164.89049736490486
persistence,reference_r3,cases,200801,45,-13.6786037106599,20.90649024619289,34.585093956852795
persistence,reference_r3,cases,200804,45,-8.57030064605066,103.37802414157973,111.9483247876304
persistence,reference_r3,cases,200807,45,3.7948906811797762,76.87942870014045,73.08453801896067
persistence,reference_r3,cases,200810,45,-5.282288492840996,49.94807038809345,55.23035888093444
persistence,reference_r3,cases,200901,48,2.1759292759434,27.879811103773587,25.703881827830187
persistence,reference_r3,cases,200904,48,-1.9855036276183016,69.40400554072926,71.38950916834756
persistence,reference_r3,cases,200907,47,-39.839691262211495,129.3176277651637,169.1573190273752
persistence,reference_r3,cases,200910,48,-85.35136902029599,67.03269541141648,152.3840644317125
persistence,reference_r4,cases,200801,45,-12.45667742639594,20.90649024619289,33.36316767258883
persistence,reference_r4,cases,200804,45,14.422286597615503,103.37802414157973,88.95573754396422
persistence,reference_r4,cases,200807,45,5.158861892556164,76.87942870014045,71.72056680758429
persistence,reference_r4,cases,200810,45,-10.658246599849283,49.94807038809345,60.606316987942726
persistence,reference_r4,cases,200901,48,2.076379021226419,27.879811103773587,25.80343208254717
persistence,reference_r4,cases,200904,48,-7.094534806826996,69.40400554072926,76.49854034755624
persistence,reference_r4,cases,200907,47,-40.56440495893724,129.3176277651637,169.88203272410095
persistence,reference_r4,cases,200910,48,-86.14115346934462,67.03269541141648,153.17384888076108
ensemble,reference,cases,200801,45,-4.377937358502536,30.74106859898477,35.11900595748731
ensemble,reference,cases,200804,45,6.748009284836072,105.85038937630404,99.10238009146795
ensemble,reference,cases,200807,45,-20.34179540941012,49.6920040252809,70.033799434691
ensemble,reference,cases,200810,45,-6.215105237377545,51.48552846872644,57.70063370610399
ensemble,reference,cases,200901,48,-0.5878247777122649,26.96060234669811,27.54842712441038
ensemble,reference,cases,200904,48,-1.9884104359968933,71.99965485802949,73.98806529402637
ensemble,reference,cases,200907,47,-51.03494674845679,118.36182300375738,169.39676975221417
ensemble,reference,cases,200910,48,-41.3477332872093,115.32098335010572,156.66871663731501
ensemble,reference_r1,cases,200801,45,-8.434457560913703,30.74106859898477,39.17552615989848
ensemble,reference_r1,cases,200804,45,8.147797328614015,105.85038937630404,97.70259204769002
ensemble,reference_r1,cases,200807,45,-14.673624865870789,49.6920040252809,64.36562889115169
ensemble,reference_r1,cases,200810,45,-3.7827989171062546,51.48552846872644,55.268327385832706
ensemble,reference_r1,cases,200901,48,1.3305975377358463,26.96060234669811,25.630004808962262
ensemble,reference_r1,cases,200904,48,-0.22856965399534368,71.99965485802949,72.22822451202482
ensemble,reference_r1,cases,200907,47,-48.48974378287707,118.36182300375738,166.85156678663446
ensemble,reference_r1,cases,200910,48,-40.9054725217759,115.32098335010572,156.22645587188163
ensemble,reference_r2,cases,200801,45,-2.611167441624367,30.74106859898477,33.35223604060914
ensemble,reference_r2,cases,200804,45,8.047523389716833,105.85038937630404,97.8028659865872
