model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
hier_nb,reference,unweighted,371,23.656004010781672,22.51058850134771,1.1454155094339624,-0.05088341023893661,18.04316386574962,0.9367543932240237,1.5889517292261832,1.344827109063507,1.1745724944832296,1.4230100669321766,165,206,0,2,8,0.444743935309973
hier_nb,reference_r1,unweighted,371,23.656004010781672,23.08272715094339,0.5732768598382757,-0.024835750823093194,19.21088001411598,0.9973791949583384,1.9653267149815912,1.274713160898737,0.6341836342531033,1.3652719183080846,153,218,0,3,8,0.4123989218328841
hier_nb,reference_r2,unweighted,371,23.656004010781672,22.387993822102423,1.2680101886792448,-0.056637955091242365,20.242962696372448,1.050962257993609,1.6551916079899147,1.5437895152538383,1.2988122307180847,1.625504975187402,164,207,0,2,8,0.4420485175202156
hier_nb,reference_r3,unweighted,371,23.656004010781672,22.451632442048517,1.2043715687331527,-0.053642939854901206,19.79776810848897,1.027848906635589,1.5893853099090298,1.539584295186966,1.2315893445257085,1.619434220358953,156,215,0,2,8,0.42048517520215634
hier_nb,reference_r4,unweighted,371,23.656004010781672,22.120000590296495,1.5360034204851745,-0.06943957411822965,17.502191798382096,0.9086685228917166,1.2443703527605217,1.5227678561211906,1.5337047684360217,1.609292320814431,159,212,0,2,8,0.42857142857142855
climatology,reference,unweighted,371,24.3369086361186,22.51058850134771,1.8263201347708897,-0.08113160323025537,24.718292019815877,1.283309779528783,2.629560149567638,1.7638432473442966,1.912531172198212,1.905103257563918,176,195,0,2,8,0.4743935309973046
climatology,reference_r1,unweighted,371,24.3369086361186,23.08272715094339,1.254181485175203,-0.054334198770094266,26.366875367752083,1.3688999623407179,2.8253253723192704,1.9015517256974717,1.3721423119680862,2.0514776950077285,165,206,0,3,8,0.444743935309973
climatology,reference_r2,unweighted,371,24.3369086361186,22.387993822102423,1.9489148140161723,-0.08705178451908102,26.036582925958193,1.3517520331747894,2.6924609285932433,1.8885283921099099,2.036770908433067,2.029335768083351,176,195,0,2,8,0.4743935309973046
climatology,reference_r3,unweighted,371,24.3369086361186,22.451632442048517,1.8852761940700804,-0.08397056200417952,25.886245028892297,1.3439468784584445,2.712149889401966,1.8542031812768451,1.9695480222406907,1.9906907275362642,161,210,0,2,8,0.4339622641509434
climatology,reference_r4,unweighted,371,24.3369086361186,22.120000590296495,2.216908045822102,-0.10022188004798727,23.992772516239665,1.2456426837022665,2.3766533591254793,1.8130487463255964,2.2716634461510044,1.9613393187583197,169,202,0,2,8,0.4555256064690027
persistence,reference,unweighted,371,24.879338288409706,22.51058850134771,2.3687497870619953,-0.10522824789410468,39.63420189198875,2.057705235096022,4.037225023303651,2.765199412493865,2.359951494948655,2.917395529962539,184,187,0,3,8,0.49595687331536387
persistence,reference_r1,unweighted,371,24.879338288409706,23.08272715094339,1.7966111374663085,-0.07783357337795715,41.890253260916374,2.174833586138364,4.1740381193563065,2.4645820821604243,1.8195626347185294,2.6075550060384565,168,203,0,2,8,0.4528301886792453
persistence,reference_r2,unweighted,371,24.879338288409706,22.387993822102423,2.491344466307278,-0.11128038028345877,40.4208584016786,2.0985464061286185,3.9115961558644705,2.967492771230852,2.484191231183511,3.1250537960935167,180,191,0,3,8,0.48517520215633425
persistence,reference_r3,unweighted,371,24.879338288409706,22.451632442048517,2.427705846361186,-0.10813048238819656,39.63417502559694,2.057703840262458,4.104262741469482,2.953703801154954,2.416968344991134,3.1067575475593263,169,202,0,3,8,0.4555256064690027
persistence,reference_r4,unweighted,371,24.879338288409706,22.120000590296495,2.759337698113208,-0.12474401557311277,38.71516029452743,2.009990972764694,4.025704087293286,2.9058300834640733,2.7190837689014478,3.0734885905905585,184,187,0,3,8,0.49595687331536387
