model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,unweighted,200801,45,0.7947173166666672,5.981035000000001,5.186317683333333
ensemble,reference,unweighted,200804,45,4.634505000000001,25.28190771111111,20.64740271111111
ensemble,reference,unweighted,200807,45,2.4482789611111087,23.92090762222222,21.472628661111113
ensemble,reference,unweighted,200810,45,2.9216862999999997,20.3863336,17.4646473
ensemble,reference,unweighted,200901,48,0.9742208020833334,6.673464041666667,5.699243239583333
ensemble,reference,unweighted,200904,48,-1.275987770833333,22.070747270833333,23.346735041666665
ensemble,reference,unweighted,200907,47,-8.668245994680845,48.80365976595744,57.471905760638286
ensemble,reference,unweighted,200910,48,3.603859880208333,31.103046333333335,27.499186453125002
ensemble,reference_r1,unweighted,200801,45,0.880717022222223,5.981035000000001,5.100317977777777
ensemble,reference_r1,unweighted,200804,45,4.898254888888889,25.28190771111111,20.38365282222222
ensemble,reference_r1,unweighted,200807,45,2.6657249777777716,23.92090762222222,21.25518264444445
ensemble,reference_r1,unweighted,200810,45,2.589873911111111,20.3863336,17.796459688888888
ensemble,reference_r1,unweighted,200901,48,0.9998055416666668,6.673464041666667,5.673658499999999
ensemble,reference_r1,unweighted,200904,48,-0.5941134999999999,22.070747270833333,22.664860770833332
ensemble,reference_r1,unweighted,200907,47,-8.563968234042546,48.80365976595744,57.36762799999999
ensemble,reference_r1,unweighted,200910,48,5.580592666666667,31.103046333333335,25.522453666666667
ensemble,reference_r2,unweighted,200801,45,0.6601868888888893,5.981035000000001,5.320848111111111
ensemble,reference_r2,unweighted,200804,45,3.408343066666667,25.28190771111111,21.873564644444443
ensemble,reference_r2,unweighted,200807,45,2.5515083333333375,23.92090762222222,21.369399288888886
ensemble,reference_r2,unweighted,200810,45,2.5367351333333334,20.3863336,17.849598466666666
ensemble,reference_r2,unweighted,200901,48,0.8515735416666667,6.673464041666667,5.821890499999999
ensemble,reference_r2,unweighted,200904,48,-1.2054996875000008,22.070747270833333,23.276246958333335
ensemble,reference_r2,unweighted,200907,47,-8.364010765957447,48.80365976595744,57.16767053191489
ensemble,reference_r2,unweighted,200910,48,5.811242979166665,31.103046333333335,25.29180335416667
ensemble,reference_r3,unweighted,200801,45,0.8994221333333338,5.981035000000001,5.081612866666667
ensemble,reference_r3,unweighted,200804,45,4.528676555555555,25.28190771111111,20.753231155555554
ensemble,reference_r3,unweighted,200807,45,2.6648990666666594,23.92090762222222,21.25600855555556
ensemble,reference_r3,unweighted,200810,45,2.655789688888889,20.3863336,17.73054391111111
ensemble,reference_r3,unweighted,200901,48,1.0192992916666663,6.673464041666667,5.6541647500000005
ensemble,reference_r3,unweighted,200904,48,-3.000034645833333,22.070747270833333,25.070781916666665
ensemble,reference_r3,unweighted,200907,47,-9.137555595744669,48.80365976595744,57.94121536170212
ensemble,reference_r3,unweighted,200910,48,5.6636214791666655,31.103046333333335,25.43942485416667
ensemble,reference_r4,unweighted,200801,45,0.7385432222222227,5.981035000000001,5.2424917777777775
ensemble,reference_r4,unweighted,200804,45,5.70274548888889,25.28190771111111,19.57916222222222
ensemble,reference_r4,unweighted,200807,45,1.9109834666666665,23.92090762222222,22.009924155555552
ensemble,reference_r4,unweighted,200810,45,3.904346466666666,20.3863336,16.481987133333334
ensemble,reference_r4,unweighted,200901,48,1.0262048333333333,6.673464041666667,5.647259208333334
ensemble,reference_r4,unweighted,200904,48,-0.30430325000000136,22.070747270833333,22.375050520833337
ensemble,reference_r4,unweighted,200907,47,-8.607449382978722,48.80365976595744,57.41110914893617
ensemble,reference_r4,unweighted,200910,48,-2.640017604166666,31.103046333333335,33.7430639375
climatology,reference,unweighted,200801,45,0.173237872222222,5.359555555555555,5.186317683333333
climatology,reference,unweighted,200804,45,5.586700444444444,26.23410315555556,20.64740271111111
climatology,reference,unweighted,200807,45,12.221149116666664,33.693777777777775,21.472628661111113
climatology,reference,unweighted,200810,45,4.240574100000001,21.7052214,17.4646473
climatology,reference,unweighted,200901,48,0.13133461458333326,5.830577854166666,5.699243239583333
climatology,reference,unweighted,200904,48,-2.3808308333333326,20.965904208333335,23.346735041666665
