model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,371,23.091910115902962,22.452944242587602,0.6389658733153643,-0.028457999379137178,18.812173468010844,0.9766793824725615,1.7572446097371566,1.4002483326005437,0.6791293118194079,1.4859721779329664,159,212,0,2,8,0.42857142857142855
ensemble,reference_r1,unweighted,371,23.091910115902962,22.06390244743935,1.0280076684636121,-0.046592286695997354,18.74231001935396,0.9730522529435021,1.69156717747038,1.4709314521210868,1.0571109092863478,1.55540176575444,158,213,0,2,8,0.42587601078167114
ensemble,reference_r2,unweighted,371,23.091910115902962,22.334773981132074,0.75713613477089,-0.03389943123715966,19.29310747590032,1.0016482320653148,1.675478675666397,1.422999242742631,0.7812599361997637,1.5001223786162834,162,209,0,2,8,0.4366576819407008
ensemble,reference_r3,unweighted,371,23.091910115902962,22.46924473584906,0.6226653800539089,-0.02771189629976556,20.112105863534133,1.0441685097376638,1.754000764523798,1.5888058299020977,0.6617647467124711,1.677476986390795,152,219,0,2,8,0.40970350404312667
ensemble,reference_r4,unweighted,371,23.091910115902962,22.943855805929918,0.14805430997304617,-0.0064528957654441665,19.239728752389762,0.9988769468225907,1.975602706523524,1.4453817637085895,0.21638165507904894,1.5456825690411522,158,213,0,3,8,0.42587601078167114
climatology,reference,unweighted,371,24.3369086361186,22.452944242587602,1.8839643935309982,-0.0839072316385836,25.57092132438771,1.3275760874109248,2.711359578248753,1.8289738499182093,1.9772454242270618,1.9739111493463684,173,198,0,2,8,0.46630727762803237
climatology,reference_r1,unweighted,371,24.3369086361186,22.06390244743935,2.273006188679246,-0.10301922763183025,25.273797571621248,1.3121501907773785,2.625917078552857,1.8365582149497146,2.3552270216940014,1.978992510676879,167,204,0,2,8,0.4501347708894879
climatology,reference_r2,unweighted,371,24.3369086361186,22.334773981132074,2.002134654986523,-0.08964203786785063,25.724440404280937,1.3355464009104698,2.7245169972119965,1.8087702238972356,2.0793760486074184,1.94813259905696,178,193,0,2,8,0.4797843665768194
climatology,reference_r3,unweighted,371,24.3369086361186,22.46924473584906,1.8676639002695425,-0.08312090247028792,26.543862975596426,1.3780887011022782,2.755921580283321,1.9725957935338685,1.9598808591201247,2.119031432338296,165,206,0,2,8,0.444743935309973
climatology,reference_r4,unweighted,371,24.3369086361186,22.943855805929918,1.39305283018868,-0.06071572459188146,26.32433082431168,1.3666911597010012,2.7908537211256634,1.9504021196126395,1.5144977674867024,2.1032419983151587,165,206,0,3,8,0.444743935309973
persistence,reference,unweighted,371,24.879338288409706,22.452944242587602,2.4263940458221027,-0.10806574049294815,40.24652164291039,2.089495292593782,4.061190316794404,2.7979500320580097,2.424665746977505,2.9515159583213983,175,196,0,3,8,0.4716981132075472
persistence,reference_r1,unweighted,371,24.879338288409706,22.06390244743935,2.8154358409703524,-0.12760371143215887,39.90558051633129,2.0717945112601948,4.081888891453269,2.87339052800832,2.802647344444445,3.028878355726219,171,200,0,3,8,0.4609164420485175
persistence,reference_r2,unweighted,371,24.879338288409706,22.334773981132074,2.5445643072776285,-0.11392836611766133,40.02404061758594,2.0779446532806136,3.853467903753033,2.9097420555632065,2.5267963713578614,3.067780574827767,176,195,0,3,8,0.4743935309973046
persistence,reference_r3,unweighted,371,24.879338288409706,22.46924473584906,2.4100935525606477,-0.1072618853412286,40.39813291215034,2.0973665574994,4.20203652198433,3.031550746610959,2.4073011818705683,3.191412012796153,175,196,0,3,8,0.4716981132075472
persistence,reference_r4,unweighted,371,24.879338288409706,22.943855805929918,1.9354824824797852,-0.08435733291086822,41.6570804813457,2.1627278586025347,4.13538909754135,2.5219125004270198,1.961918090237146,2.6674980071012255,171,200,0,2,8,0.4609164420485175
