location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.831111,2.8390315,200801,0.9920795
LA-AT,200802,2,ensemble,reference,1.886035,1.3026655,200801,0.5833694999999999
LA-AT,200803,3,ensemble,reference,0.003429,0.0526005,200801,-0.0491715
LA-AT,200804,1,ensemble,reference,0.010912,0.6163292499999999,200804,-0.6054172499999999
LA-AT,200805,2,ensemble,reference,3.3284740000000004,1.5613045,200804,1.7671695000000003
LA-AT,200806,3,ensemble,reference,7.898978,4.07835775,200804,3.8206202499999993
LA-AT,200807,1,ensemble,reference,3.5968050000000007,3.5813662500000003,200807,0.01543875000000039
LA-AT,200808,2,ensemble,reference,7.100423,6.6796342499999986,200807,0.4207887500000016
LA-AT,200809,3,ensemble,reference,19.2312,16.6536765,200807,2.5775235000000016
LA-AT,200810,1,ensemble,reference,42.812183,30.647849,200810,12.164333999999997
LA-AT,200811,2,ensemble,reference,39.991259,33.22946525,200810,6.7617937500000025
LA-AT,200812,3,ensemble,reference,21.166692,16.9962785,200810,4.170413500000002
LA-AT,200901,1,ensemble,reference,16.772337,8.395785250000001,200901,8.376551749999999
LA-AT,200902,2,ensemble,reference,44.510386,37.95188025,200901,6.558505749999995
LA-AT,200903,3,ensemble,reference,75.461567,57.98434825,200901,17.477218750000006
LA-AT,200904,1,ensemble,reference,93.967286,45.41589175,200904,48.55139425
LA-AT,200905,2,ensemble,reference,0.1533549999999999,54.94441875000001,200904,-54.79106375000001
LA-AT,200906,3,ensemble,reference,19.529714,43.0433865,200904,-23.5136725
LA-AT,200907,1,ensemble,reference,55.692137,46.6389285,200907,9.053208500000004
LA-AT,200908,2,ensemble,reference,14.862716,14.77111625,200907,0.09159975000000031
LA-AT,200909,3,ensemble,reference,12.565576000000002,10.444782000000004,200907,2.1207939999999983
LA-AT,200910,1,ensemble,reference,2.8468949999999995,6.37635175,200910,-3.529456750000001
LA-AT,200911,2,ensemble,reference,13.816931,6.513234499999999,200910,7.303696500000001
LA-AT,200912,3,ensemble,reference,5.323284,5.832027500000001,200910,-0.5087435000000005
LA-BK,200801,1,ensemble,reference,0.830217,0.954048,200801,-0.12383100000000002
LA-BK,200802,2,ensemble,reference,0.006259,0.0002089999999999,200801,0.0060500000000001
LA-BK,200803,3,ensemble,reference,0.00787,3.150000000000028e-05,200801,0.0078385
LA-BK,200804,1,ensemble,reference,0.014469,0.03498725,200804,-0.02051825
LA-BK,200805,2,ensemble,reference,11.147581,10.702284,200804,0.44529700000000005
LA-BK,200806,3,ensemble,reference,51.203779999999995,50.885164,200804,0.3186159999999916
LA-BK,200807,1,ensemble,reference,0.9290349999999998,2.1198992500000005,200807,-1.1908642500000006
LA-BK,200808,2,ensemble,reference,6.027294000000001,5.9182559999999995,200807,0.10903800000000174
LA-BK,200809,3,ensemble,reference,28.615573,21.347243,200807,7.268330000000002
LA-BK,200810,1,ensemble,reference,44.548962,21.272529999999996,200810,23.276432000000007
LA-BK,200811,2,ensemble,reference,52.375717,47.3334805,200810,5.042236500000001
LA-BK,200812,3,ensemble,reference,4.385022,2.91909275,200810,1.4659292500000003
LA-BK,200901,1,ensemble,reference,0.7947440000000001,0.5172625,200901,0.27748150000000016
LA-BK,200902,2,ensemble,reference,0.0143259999999999,0.4501327499999999,200901,-0.43580675
LA-BK,200903,3,ensemble,reference,0.794474,0.787075,200901,0.007399000000000044
LA-BK,200904,1,ensemble,reference,2.6431199999999997,1.269668,200904,1.3734519999999997
LA-BK,200905,2,ensemble,reference,73.035585,44.671881,200904,28.363704
LA-BK,200906,3,ensemble,reference,214.170228,143.2402435,200904,70.92998450000002
LA-BK,200907,1,ensemble,reference,196.209678,182.09090775,200907,14.118770249999983
LA-BK,200908,2,ensemble,reference,100.237965,88.0377905,200907,12.200174500000003
LA-BK,200909,3,ensemble,reference,46.594216,37.699085499999995,200907,8.895130500000008
LA-BK,200910,1,ensemble,reference,27.743221,20.32817625,200910,7.41504475
LA-BK,200911,2,ensemble,reference,4.129975999999999,8.23725425,200910,-4.10727825
LA-BK,200912,3,ensemble,reference,3.4712810000000003,4.00600475,200910,-0.5347237499999995
LA-BL,200801,1,ensemble,reference,4.19665,5.0292492499999994,200801,-0.8325992499999995
LA-BL,200802,2,ensemble,reference,2.6751850000000004,5.85172825,200801,-3.1765432499999995
LA-BL,200803,3,ensemble,reference,1.4322660000000005,0.3980045,200801,1.0342615000000004
LA-BL,200804,1,ensemble,reference,1.8442879999999997,1.6541760000000003,200804,0.1901119999999994
LA-BL,200805,2,ensemble,reference,4.581859999999999,6.762809000000001,200804,-2.180949000000002
LA-BL,200806,3,ensemble,reference,9.072905000000002,7.440729500000001,200804,1.6321755000000016
LA-BL,200807,1,ensemble,reference,14.347351999999994,20.1582505,200807,-5.8108985000000075
LA-BL,200808,2,ensemble,reference,15.754106999999998,20.357447,200807,-4.603340000000003
LA-BL,200809,3,ensemble,reference,11.40215,18.514549999999996,200807,-7.112399999999996
LA-BL,200810,1,ensemble,reference,12.676145000000002,10.524707500000002,200810,2.1514375
LA-BL,200811,2,ensemble,reference,4.422267,4.044407750000001,200810,0.3778592499999984
LA-BL,200812,3,ensemble,reference,3.427289,1.04527025,200810,2.3820187500000003
LA-BL,200901,1,ensemble,reference,1.26465,0.734741,200901,0.5299090000000001
LA-BL,200902,2,ensemble,reference,1.081185,1.49140475,200901,-0.41021975
LA-BL,200903,3,ensemble,reference,1.8262660000000004,1.1825972500000002,200901,0.6436687500000002
LA-BL,200904,1,ensemble,reference,2.0028930000000003,0.7843595000000001,200904,1.2185335000000002
LA-BL,200905,2,ensemble,reference,7.397029,3.0670814999999996,200904,4.3299475
LA-BL,200906,3,ensemble,reference,12.813303000000005,4.57519725,200904,8.238105750000004
LA-BL,200907,1,ensemble,reference,14.041038,21.779558499999997,200907,-7.738520499999996
LA-BL,200908,2,ensemble,reference,24.975341,6.893853500000002,200907,18.081487499999998
LA-BL,200909,3,ensemble,reference,24.754703,6.348001500000002,200907,18.406701499999997
LA-BL,200910,1,ensemble,reference,14.649316000000002,5.380294000000001,200910,9.269022000000001
LA-BL,200911,2,ensemble,reference,6.969546000000001,2.0741509999999996,200910,4.8953950000000015
LA-BL,200912,3,ensemble,reference,3.180003,0.95451575,200910,2.22548725
LA-CH,200801,1,ensemble,reference,49.459483000000006,29.89113325,200801,19.568349750000007
LA-CH,200802,2,ensemble,reference,68.693297,50.83444775,200801,17.85884925
LA-CH,200803,3,ensemble,reference,69.01634000000001,56.5869345,200801,12.429405500000016
LA-CH,200804,1,ensemble,reference,39.271592000000005,28.393689499999997,200804,10.877902500000008
LA-CH,200805,2,ensemble,reference,59.374263,59.54644225,200804,-0.17217924999999923
LA-CH,200806,3,ensemble,reference,156.87336100000002,128.33918,200804,28.534181000000018
LA-CH,200807,1,ensemble,reference,63.807388,96.15586125000006,200807,-32.348473250000055
LA-CH,200808,2,ensemble,reference,64.17385499999995,86.78699749999998,200807,-22.613142500000038
LA-CH,200809,3,ensemble,reference,79.02999299999999,116.14172925,200807,-37.11173625000001
LA-CH,200810,1,ensemble,reference,60.487189,45.404442,200810,15.082746999999998
LA-CH,200811,2,ensemble,reference,48.10330299999998,42.10390875,200810,5.99939424999998
LA-CH,200812,3,ensemble,reference,40.446991,34.240595500000005,200810,6.206395499999992
LA-CH,200901,1,ensemble,reference,16.720549,9.4519825,200901,7.268566499999999
LA-CH,200902,2,ensemble,reference,31.655231,27.071773,200901,4.583458
LA-CH,200903,3,ensemble,reference,40.769229,20.6214345,200901,20.147794500000003
LA-CH,200904,1,ensemble,reference,66.182646,33.39821,200904,32.78443600000001
LA-CH,200905,2,ensemble,reference,30.901519000000008,104.24053775,200904,-73.33901875
LA-CH,200906,3,ensemble,reference,52.90445299999999,93.96103074999998,200904,-41.05657774999999
LA-CH,200907,1,ensemble,reference,49.225345,74.32508099999993,200907,-25.09973599999993
LA-CH,200908,2,ensemble,reference,54.72913199999999,63.92572950000003,200907,-9.196597500000038
LA-CH,200909,3,ensemble,reference,46.430342,61.782555749999986,200907,-15.352213749999983
LA-CH,200910,1,ensemble,reference,26.53429299999999,23.417769999999997,200910,3.1165229999999937
LA-CH,200911,2,ensemble,reference,17.306054000000017,16.120484750000003,200910,1.1855692500000146
