model,against,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,200801,45,-0.49252465000000006,4.868060666666667,5.360585316666667
ensemble,reference,200804,45,3.4730180222222216,22.03032931111111,18.55731128888889
ensemble,reference,200807,45,-8.366105450000001,18.077965355555556,26.444070805555555
ensemble,reference,200810,45,-0.2586586833333341,16.87733711111111,17.135995794444447
ensemble,reference,200901,48,0.6270183541666668,6.12411525,5.497096895833334
ensemble,reference,200904,48,-8.607908609375,18.4736345,27.081543109375
ensemble,reference,200907,47,-11.129226297872343,42.39289729787234,53.52212359574468
ensemble,reference,200910,48,-9.120815453125,21.54653825,30.667353703125002
ensemble,reference_r1,200801,45,-0.557814111111111,4.868060666666667,5.425874777777778
ensemble,reference_r1,200804,45,3.5247118888888895,22.03032931111111,18.50561742222222
ensemble,reference_r1,200807,45,-2.6968194000000003,18.077965355555556,20.774784755555554
ensemble,reference_r1,200810,45,1.8927895555555545,16.87733711111111,14.984547555555556
ensemble,reference_r1,200901,48,0.6357111875,6.12411525,5.4884040625
ensemble,reference_r1,200904,48,-9.267778354166667,18.4736345,27.74141285416667
ensemble,reference_r1,200907,47,-10.971584553191487,42.39289729787234,53.36448185106383
ensemble,reference_r1,200910,48,-9.579000166666667,21.54653825,31.125538416666668
ensemble,reference_r2,200801,45,-0.28036371111111114,4.868060666666667,5.148424377777778
ensemble,reference_r2,200804,45,3.5568339999999976,22.03032931111111,18.47349531111111
ensemble,reference_r2,200807,45,-9.539498266666667,18.077965355555556,27.617463622222225
ensemble,reference_r2,200810,45,0.9591522666666661,16.87733711111111,15.918184844444443
ensemble,reference_r2,200901,48,0.6102392916666667,6.12411525,5.513875958333333
ensemble,reference_r2,200904,48,-8.392637416666668,18.4736345,26.866271916666665
ensemble,reference_r2,200907,47,-11.571290106382982,42.39289729787234,53.96418740425532
ensemble,reference_r2,200910,48,-9.356566562500001,21.54653825,30.9031048125
ensemble,reference_r3,200801,45,-0.5620957333333334,4.868060666666667,5.4301563999999996
ensemble,reference_r3,200804,45,3.3704313555555556,22.03032931111111,18.659897955555554
ensemble,reference_r3,200807,45,-9.495068244444443,18.077965355555556,27.5730336
ensemble,reference_r3,200810,45,1.0278933777777763,16.87733711111111,15.849443733333336
ensemble,reference_r3,200901,48,0.5987796249999998,6.12411525,5.525335625
ensemble,reference_r3,200904,48,-8.422653166666668,18.4736345,26.89628766666667
ensemble,reference_r3,200907,47,-10.864495510638298,42.39289729787234,53.257392808510644
ensemble,reference_r3,200910,48,-8.826870124999997,21.54653825,30.373408374999997
ensemble,reference_r4,200801,45,-0.5698250444444444,4.868060666666667,5.437885711111111
ensemble,reference_r4,200804,45,3.4400948444444452,22.03032931111111,18.590234466666665
ensemble,reference_r4,200807,45,-11.733035888888889,18.077965355555556,29.811001244444444
ensemble,reference_r4,200810,45,-4.914469933333335,16.87733711111111,21.791807044444447
ensemble,reference_r4,200901,48,0.6633433125000002,6.12411525,5.4607719375
ensemble,reference_r4,200904,48,-8.348565500000001,18.4736345,26.8222
ensemble,reference_r4,200907,47,-11.109535021276598,42.39289729787234,53.502432319148944
ensemble,reference_r4,200910,48,-8.720824958333333,21.54653825,30.267363208333332
climatology,reference,200801,45,-0.0010297611111114476,5.359555555555555,5.360585316666667
climatology,reference,200804,45,7.676791866666666,26.23410315555556,18.55731128888889
climatology,reference,200807,45,7.249706972222222,33.693777777777775,26.444070805555555
climatology,reference,200810,45,4.569225605555555,21.7052214,17.135995794444447
climatology,reference,200901,48,0.33348095833333335,5.830577854166666,5.497096895833334
climatology,reference,200904,48,-6.115638901041666,20.965904208333335,27.081543109375
climatology,reference,200907,47,-2.403749531914895,51.11837406382978,53.52212359574468
climatology,reference,200910,48,-0.9688374739583342,29.698516229166668,30.667353703125002
climatology,reference_r1,200801,45,-0.0663192222222224,5.359555555555555,5.425874777777778
climatology,reference_r1,200804,45,7.7284857333333346,26.23410315555556,18.50561742222222
climatology,reference_r1,200807,45,12.918993022222221,33.693777777777775,20.774784755555554
climatology,reference_r1,200810,45,6.720673844444444,21.7052214,14.984547555555556
climatology,reference_r1,200901,48,0.3421737916666665,5.830577854166666,5.4884040625
climatology,reference_r1,200904,48,-6.775508645833334,20.965904208333335,27.74141285416667
climatology,reference_r1,200907,47,-2.246107787234041,51.11837406382978,53.36448185106383
climatology,reference_r1,200910,48,-1.4270221875000006,29.698516229166668,31.125538416666668
climatology,reference_r2,200801,45,0.21113117777777746,5.359555555555555,5.148424377777778
climatology,reference_r2,200804,45,7.760607844444443,26.23410315555556,18.47349531111111
climatology,reference_r2,200807,45,6.076314155555555,33.693777777777775,27.617463622222225
climatology,reference_r2,200810,45,5.787036555555556,21.7052214,15.918184844444443
climatology,reference_r2,200901,48,0.3167018958333332,5.830577854166666,5.513875958333333
climatology,reference_r2,200904,48,-5.9003677083333335,20.965904208333335,26.866271916666665
climatology,reference_r2,200907,47,-2.845813340425533,51.11837406382978,53.96418740425532
climatology,reference_r2,200910,48,-1.2045885833333354,29.698516229166668,30.9031048125
climatology,reference_r3,200801,45,-0.07060084444444482,5.359555555555555,5.4301563999999996
climatology,reference_r3,200804,45,7.574205200000001,26.23410315555556,18.659897955555554
climatology,reference_r3,200807,45,6.120744177777777,33.693777777777775,27.5730336
climatology,reference_r3,200810,45,5.8557776666666665,21.7052214,15.849443733333336
climatology,reference_r3,200901,48,0.30524222916666627,5.830577854166666,5.525335625
climatology,reference_r3,200904,48,-5.930383458333335,20.965904208333335,26.89628766666667
climatology,reference_r3,200907,47,-2.13901874468085,51.11837406382978,53.257392808510644
climatology,reference_r3,200910,48,-0.6748921458333322,29.698516229166668,30.373408374999997
climatology,reference_r4,200801,45,-0.07833015555555584,5.359555555555555,5.437885711111111
climatology,reference_r4,200804,45,7.64386868888889,26.23410315555556,18.590234466666665
climatology,reference_r4,200807,45,3.882776533333332,33.693777777777775,29.811001244444444
climatology,reference_r4,200810,45,-0.08658564444444382,21.7052214,21.791807044444447
climatology,reference_r4,200901,48,0.36980591666666673,5.830577854166666,5.4607719375
climatology,reference_r4,200904,48,-5.856295791666665,20.965904208333335,26.8222
climatology,reference_r4,200907,47,-2.3840582553191516,51.11837406382978,53.502432319148944
climatology,reference_r4,200910,48,-0.5688469791666676,29.698516229166668,30.267363208333332
persistence,reference,200801,45,1.2512338611111111,6.611819177777777,5.360585316666667
persistence,reference,200804,45,1.7467677111111117,20.304079,18.55731128888889
persistence,reference,200807,45,6.716216883333334,33.16028768888889,26.444070805555555
persistence,reference,200810,45,1.866298227777778,19.002294022222223,17.135995794444447
persistence,reference,200901,48,11.325600208333334,16.822697104166668,5.497096895833334
persistence,reference,200904,48,-8.042300880208332,19.039242229166668,27.081543109375
persistence,reference,200907,47,-8.093212595744685,45.428911,53.52212359574468
persistence,reference,200910,48,7.148708901041666,37.81606260416667,30.667353703125002
persistence,reference_r1,200801,45,1.1859444,6.611819177777777,5.425874777777778
persistence,reference_r1,200804,45,1.7984615777777793,20.304079,18.50561742222222
persistence,reference_r1,200807,45,12.385502933333335,33.16028768888889,20.774784755555554
persistence,reference_r1,200810,45,4.017746466666666,19.002294022222223,14.984547555555556
persistence,reference_r1,200901,48,11.334293041666667,16.822697104166668,5.4884040625
persistence,reference_r1,200904,48,-8.702170625,19.039242229166668,27.74141285416667
persistence,reference_r1,200907,47,-7.9355708510638285,45.428911,53.36448185106383
persistence,reference_r1,200910,48,6.690524187499996,37.81606260416667,31.125538416666668
persistence,reference_r2,200801,45,1.4633947999999997,6.611819177777777,5.148424377777778
persistence,reference_r2,200804,45,1.830583688888888,20.304079,18.47349531111111
persistence,reference_r2,200807,45,5.542824066666666,33.16028768888889,27.617463622222225
persistence,reference_r2,200810,45,3.084109177777779,19.002294022222223,15.918184844444443
persistence,reference_r2,200901,48,11.308821145833335,16.822697104166668,5.513875958333333
persistence,reference_r2,200904,48,-7.8270296875000005,19.039242229166668,26.866271916666665
persistence,reference_r2,200907,47,-8.53527640425532,45.428911,53.96418740425532
persistence,reference_r2,200910,48,6.912957791666663,37.81606260416667,30.9031048125
persistence,reference_r3,200801,45,1.1816627777777775,6.611819177777777,5.4301563999999996
persistence,reference_r3,200804,45,1.6441810444444453,20.304079,18.659897955555554
persistence,reference_r3,200807,45,5.587254088888891,33.16028768888889,27.5730336
persistence,reference_r3,200810,45,3.152850288888889,19.002294022222223,15.849443733333336
persistence,reference_r3,200901,48,11.297361479166668,16.822697104166668,5.525335625
persistence,reference_r3,200904,48,-7.857045437500002,19.039242229166668,26.89628766666667
persistence,reference_r3,200907,47,-7.828481808510637,45.428911,53.257392808510644
persistence,reference_r3,200910,48,7.442654229166668,37.81606260416667,30.373408374999997
persistence,reference_r4,200801,45,1.1739334666666668,6.611819177777777,5.437885711111111
persistence,reference_r4,200804,45,1.7138445333333354,20.304079,18.590234466666665
persistence,reference_r4,200807,45,3.3492864444444455,33.16028768888889,29.811001244444444
persistence,reference_r4,200810,45,-2.7895130222222217,19.002294022222223,21.791807044444447
persistence,reference_r4,200901,48,11.361925166666667,16.822697104166668,5.4607719375
persistence,reference_r4,200904,48,-7.782957770833332,19.039242229166668,26.8222
persistence,reference_r4,200907,47,-8.07352131914894,45.428911,53.502432319148944
persistence,reference_r4,200910,48,7.548699395833332,37.81606260416667,30.267363208333332
