model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,371,18.843148671159028,23.485174665768195,-4.642025994609164,0.1976577164391009,26.51015071309245,1.3763384476411284,2.7983517984035458,1.9907051212444504,-4.574009571766031,2.138970338275847,140,231,0,5,8,0.37735849056603776
ensemble,reference_r1,371,18.843148671159028,24.020547051212937,-5.177398380053908,0.21554040251520712,27.581155941366926,1.4319422685794545,2.8869679516730846,1.9621595683903847,-5.119812863929521,2.108106101255379,149,222,0,5,8,0.40161725067385445
ensemble,reference_r2,371,18.843148671159028,23.382507078167112,-4.539358407008087,0.19413480307450037,26.38703550400621,1.3699466244640885,2.8846940743696066,1.9683926490395345,-4.467270531382979,2.1129965218505986,129,242,0,5,8,0.3477088948787062
ensemble,reference_r3,371,18.843148671159028,23.282516350404315,-4.439367679245284,0.19067387787609968,26.76211227763826,1.3894196402893824,2.7256647968518455,2.0545517044755326,-4.367022552282802,2.211853687039342,134,237,0,5,8,0.3611859838274933
ensemble,reference_r4,371,18.843148671159028,23.255128183288406,-4.411979512129381,0.1897207135284643,26.27383295416992,1.364069440912893,2.741570251292453,2.008243391001649,-4.3419323394688245,2.1564727886234505,128,243,0,5,8,0.3450134770889488
climatology,reference,371,24.3369086361186,23.485174665768195,0.8517339703504042,-0.03626687825285302,33.006373801295496,1.713605545724135,3.5299559854085825,1.4843170558686847,0.9528844909925385,1.5884596567249072,178,193,0,3,8,0.4797843665768194
climatology,reference_r1,371,24.3369086361186,24.020547051212937,0.3163615849056609,-0.01317045711869791,33.883171978821544,1.7591266389691762,3.646489618268929,1.3520911125767798,0.40708119882904903,1.442395093033625,181,190,0,3,8,0.48787061994609165
climatology,reference_r2,371,24.3369086361186,23.382507078167112,0.9544015579514823,-0.04081690448166864,32.59927948031223,1.6924702616644742,3.5385722511230266,1.5512995413576645,1.0596235313755908,1.6613170349524804,172,199,0,3,8,0.4636118598382749
climatology,reference_r3,371,24.3369086361186,23.282516350404315,1.0543922857142851,-0.045286869762940274,33.31982884145154,1.7298793205526046,3.482576953708392,1.533714722938578,1.1598715104757682,1.6426759895787928,172,199,0,3,8,0.4636118598382749
climatology,reference_r4,371,24.3369086361186,23.255128183288406,1.0817804528301886,-0.04651793119797043,33.00087696002296,1.7133201639446856,3.489132187001814,1.5339698470879262,1.1849617232897458,1.6446017289153136,174,197,0,3,8,0.46900269541778977
persistence,reference,371,24.879338288409706,23.485174665768195,1.39416362264151,-0.059363562012320514,42.913046411344794,2.2279343607116076,3.9622130491606,2.2995192416657284,1.4003048137429817,2.395423152498785,161,210,0,2,8,0.4339622641509434
persistence,reference_r1,371,24.879338288409706,24.020547051212937,0.8587912371967666,-0.0357523596513345,43.368378179884736,2.251574008266099,3.7627555249185587,2.3296657377780434,0.8545015215794921,2.4266089541116305,166,205,0,3,8,0.4474393530997305
persistence,reference_r2,371,24.879338288409706,23.382507078167112,1.4968312102425883,-0.06401500083967582,43.18922206123263,2.2422726860329787,4.14289837684421,2.321645805788131,1.5070438541260351,2.419946367044125,159,212,0,2,8,0.42857142857142855
persistence,reference_r3,371,24.879338288409706,23.282516350404315,1.59682193800539,-0.06858459429268948,42.94088703238445,2.229379773736897,3.986688237634111,2.2386509029353827,1.6072918332262116,2.33107111435896,157,214,0,2,8,0.42318059299191374
persistence,reference_r4,371,24.879338288409706,23.255128183288406,1.624210105121294,-0.06984309406165679,42.760281757323376,2.2200032150517517,3.9823759888095434,2.334406114224381,1.6323820460401888,2.4340306421069537,160,211,0,2,8,0.431266846361186
