location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.225517,2.9550115,200801,0.27050550000000007
LA-AT,200802,2,ensemble,reference,1.4862729999999995,1.351471,200801,0.13480199999999942
LA-AT,200803,3,ensemble,reference,0.0660539999999998,0.05223925,200801,0.013814749999999792
LA-AT,200804,1,ensemble,reference,0.0821960000000001,0.5159217500000001,200804,-0.43372574999999997
LA-AT,200805,2,ensemble,reference,3.0460139999999996,1.51456775,200804,1.5314462499999995
LA-AT,200806,3,ensemble,reference,7.969327,4.0606504999999995,200804,3.9086765000000003
LA-AT,200807,1,ensemble,reference,2.5767469999999992,2.662779,200807,-0.08603200000000077
LA-AT,200808,2,ensemble,reference,5.203348999999999,3.57433,200807,1.6290189999999996
LA-AT,200809,3,ensemble,reference,15.670126,11.24249725,200807,4.42762875
LA-AT,200810,1,ensemble,reference,32.592971,33.47963125,200810,-0.8866602499999985
LA-AT,200811,2,ensemble,reference,31.437156,35.2841375,200810,-3.8469814999999983
LA-AT,200812,3,ensemble,reference,12.152605,18.0388045,200810,-5.886199500000002
LA-AT,200901,1,ensemble,reference,9.583275,7.446491750000001,200901,2.1367832499999997
LA-AT,200902,2,ensemble,reference,35.121239,38.186097,200901,-3.064857999999994
LA-AT,200903,3,ensemble,reference,65.915879,58.031217,200901,7.884662000000006
LA-AT,200904,1,ensemble,reference,64.181376,38.83692275,200904,25.34445325
LA-AT,200905,2,ensemble,reference,5.1229939999999985,90.01339075,200904,-84.89039675000001
LA-AT,200906,3,ensemble,reference,14.232556999999998,72.4204885,200904,-58.187931500000005
LA-AT,200907,1,ensemble,reference,50.721221,106.195574,200907,-55.474352999999994
LA-AT,200908,2,ensemble,reference,9.839303,126.250953,200907,-116.41165
LA-AT,200909,3,ensemble,reference,6.626277,232.6605475,200907,-226.03427050000002
LA-AT,200910,1,ensemble,reference,3.0243160000000007,41.7594,200910,-38.735084
LA-AT,200911,2,ensemble,reference,6.964463,26.366880499999997,200910,-19.4024175
LA-AT,200912,3,ensemble,reference,3.3179760000000007,32.1477325,200910,-28.829756499999995
LA-BK,200801,1,ensemble,reference,0.670793,0.9467685,200801,-0.27597550000000004
LA-BK,200802,2,ensemble,reference,0.0598699999999999,0.0002287499999999,200801,0.05964125
LA-BK,200803,3,ensemble,reference,0.065879,3.150000000000028e-05,200801,0.06584749999999999
LA-BK,200804,1,ensemble,reference,0.071317,0.07720625,200804,-0.005889249999999999
LA-BK,200805,2,ensemble,reference,10.739969,10.490823,200804,0.24914599999999965
LA-BK,200806,3,ensemble,reference,51.257669,51.07741625,200804,0.18025275000000107
LA-BK,200807,1,ensemble,reference,4.018262,16.689307499999998,200807,-12.671045499999998
LA-BK,200808,2,ensemble,reference,6.234849999999998,26.248189250000003,200807,-20.013339250000005
LA-BK,200809,3,ensemble,reference,16.724338,73.58701525000001,200807,-56.862677250000004
LA-BK,200810,1,ensemble,reference,31.340423,33.415275750000006,200810,-2.074852750000005
LA-BK,200811,2,ensemble,reference,39.657118,42.21313025,200810,-2.556012250000002
LA-BK,200812,3,ensemble,reference,4.118231,1.7804565,200810,2.3377744999999996
LA-BK,200901,1,ensemble,reference,0.7112879999999999,0.421136,200901,0.2901519999999999
LA-BK,200902,2,ensemble,reference,0.5451110000000001,0.286572,200901,0.25853900000000013
LA-BK,200903,3,ensemble,reference,0.6927669999999999,0.5598865000000002,200901,0.13288049999999973
LA-BK,200904,1,ensemble,reference,2.017163,1.5404817500000003,200904,0.4766812499999997
LA-BK,200905,2,ensemble,reference,71.499601,44.48477075,200904,27.014830249999996
LA-BK,200906,3,ensemble,reference,207.017442,134.21311225,200904,72.80432975
LA-BK,200907,1,ensemble,reference,117.466376,92.21712975,200907,25.24924625
LA-BK,200908,2,ensemble,reference,65.501644,31.28611875,200907,34.21552525
LA-BK,200909,3,ensemble,reference,34.409786,18.77944649999999,200907,15.630339500000005
LA-BK,200910,1,ensemble,reference,14.878436,27.61363175,200910,-12.735195749999999
LA-BK,200911,2,ensemble,reference,6.172892000000001,16.7840095,200910,-10.611117499999999
LA-BK,200912,3,ensemble,reference,4.725213999999999,6.973711249999999,200910,-2.24849725
LA-BL,200801,1,ensemble,reference,4.766840999999999,5.61346625,200801,-0.8466252500000007
LA-BL,200802,2,ensemble,reference,2.98095,5.97485725,200801,-2.9939072500000004
LA-BL,200803,3,ensemble,reference,2.0064390000000003,0.4109169999999999,200801,1.5955220000000003
LA-BL,200804,1,ensemble,reference,2.321699999999999,2.9956357499999995,200804,-0.6739357500000005
LA-BL,200805,2,ensemble,reference,6.098741999999998,6.090261,200804,0.008480999999997962
LA-BL,200806,3,ensemble,reference,7.949878000000002,8.0225995,200804,-0.07272149999999833
LA-BL,200807,1,ensemble,reference,10.944999,16.52788675,200807,-5.582887750000001
LA-BL,200808,2,ensemble,reference,12.416137999999997,19.63077275,200807,-7.214634750000002
LA-BL,200809,3,ensemble,reference,12.144116000000004,19.573322249999997,200807,-7.429206249999993
LA-BL,200810,1,ensemble,reference,11.57513,11.16195875,200810,0.41317124999999955
LA-BL,200811,2,ensemble,reference,6.425819000000002,3.687043,200810,2.7387760000000023
LA-BL,200812,3,ensemble,reference,4.550018999999999,1.39850225,200810,3.151516749999999
LA-BL,200901,1,ensemble,reference,1.274158,0.7207315000000001,200901,0.5534264999999998
LA-BL,200902,2,ensemble,reference,1.4589320000000008,1.5451069999999998,200901,-0.086174999999999
LA-BL,200903,3,ensemble,reference,2.055922,1.2555545,200901,0.8003674999999999
LA-BL,200904,1,ensemble,reference,2.116777999999999,0.7501147499999998,200904,1.3666632499999993
LA-BL,200905,2,ensemble,reference,7.483889000000001,3.2456825,200904,4.238206500000001
LA-BL,200906,3,ensemble,reference,8.556324,3.9319855,200904,4.6243385
LA-BL,200907,1,ensemble,reference,12.007196000000004,13.25628525,200907,-1.2490892499999955
LA-BL,200908,2,ensemble,reference,13.359362999999998,5.0983425,200907,8.261020499999997
LA-BL,200909,3,ensemble,reference,17.339071000000004,9.36649975,200907,7.972571250000005
LA-BL,200910,1,ensemble,reference,6.543002999999999,4.27010975,200910,2.272893249999999
LA-BL,200911,2,ensemble,reference,6.177269000000001,1.27491,200910,4.902359000000001
LA-BL,200912,3,ensemble,reference,2.514409000000001,0.4765474999999999,200910,2.037861500000001
LA-CH,200801,1,ensemble,reference,31.684247000000003,30.7998185,200801,0.8844285000000021
LA-CH,200802,2,ensemble,reference,45.296626,46.094674,200801,-0.7980479999999943
LA-CH,200803,3,ensemble,reference,44.861434,55.233589499999994,200801,-10.372155499999991
LA-CH,200804,1,ensemble,reference,26.054474,24.6563455,200804,1.3981284999999986
LA-CH,200805,2,ensemble,reference,38.338722,32.249407500000004,200804,6.089314499999993
LA-CH,200806,3,ensemble,reference,133.960889,109.6870595,200804,24.273829500000005
LA-CH,200807,1,ensemble,reference,49.967195,148.93931099999998,200807,-98.97211599999997
LA-CH,200808,2,ensemble,reference,51.757486,99.74875625,200807,-47.99127025
LA-CH,200809,3,ensemble,reference,54.53981200000001,100.34967925,200807,-45.80986724999998
LA-CH,200810,1,ensemble,reference,36.80582899999999,39.157889,200810,-2.3520600000000087
LA-CH,200811,2,ensemble,reference,35.70313,32.61912975,200810,3.0840002500000026
LA-CH,200812,3,ensemble,reference,32.71563499999999,22.93183675,200810,9.783798249999993
LA-CH,200901,1,ensemble,reference,12.232305000000004,9.76618075,200901,2.4661242500000036
LA-CH,200902,2,ensemble,reference,18.993280999999996,24.795608,200901,-5.802327000000005
LA-CH,200903,3,ensemble,reference,22.605439000000004,20.7251385,200901,1.8803005000000041
LA-CH,200904,1,ensemble,reference,48.005702,33.8893865,200904,14.116315499999999
LA-CH,200905,2,ensemble,reference,20.630528,97.82460975,200904,-77.19408175
LA-CH,200906,3,ensemble,reference,41.171305,116.2931645,200904,-75.1218595
LA-CH,200907,1,ensemble,reference,33.369078,123.6215205,200907,-90.2524425
LA-CH,200908,2,ensemble,reference,34.073954999999984,80.14178949999999,200907,-46.067834500000004
LA-CH,200909,3,ensemble,reference,31.930408999999997,98.99677,200907,-67.066361
