model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
persistence,reference,cases,371,86.59836223090068,107.07779333123831,-20.47943110033765,0.19125750039493083,92.48460629569662,11.498239451778561,18.717684383033834,20.096633852375696,-13.966108951816132,14.672057374365023,173,198,0,3,8,0.46630727762803237
persistence,reference_r1,cases,371,86.59836223090068,107.87212341680905,-21.27376118590839,0.1972127785387917,94.21472223573475,11.713337814140548,19.32656622548531,20.44208558728214,-14.438718737847118,15.092477464862158,173,198,0,4,8,0.46630727762803237
persistence,reference_r2,cases,371,86.59836223090068,106.02608799536245,-19.4277257644618,0.1832353351121616,91.16970973080056,11.334763645770837,17.869896475668583,19.699013678988653,-13.302178945134894,14.33693777331118,158,213,0,4,8,0.42587601078167114
persistence,reference_r3,cases,371,86.59836223090068,107.33462148124644,-20.736259250345775,0.1931926433817891,94.11569489014647,11.701026142204489,18.828846485197744,20.332703581676917,-14.125395044674189,14.76436901140306,159,212,0,3,8,0.42857142857142855
persistence,reference_r4,cases,371,86.59836223090068,107.07834043153527,-20.479978200634616,0.19126163254023598,91.10931435310195,11.327254931160118,18.861899448843467,19.93379336991083,-13.998143079608315,14.531172167849459,158,213,0,4,8,0.42587601078167114
ensemble,reference,cases,371,89.2793940886014,107.07779333123831,-17.79839924263689,0.16621933165524516,49.3195722211775,6.131704223784668,11.998463656093925,11.355852830685455,-11.501160938214381,9.378326424577056,152,219,0,5,8,0.40970350404312667
ensemble,reference_r1,cases,371,89.2793940886014,107.87212341680905,-18.59272932820763,0.172358981535636,50.686788990322235,6.301684790538129,12.561744042251695,11.732705341082417,-11.973770724245366,9.724004581771323,154,217,0,5,8,0.41509433962264153
ensemble,reference_r2,cases,371,89.2793940886014,106.02608799536245,-16.746693906761045,0.15794880508553266,48.62145747993772,6.044910423377206,11.193298584546254,10.9568295362583,-10.837230931533147,9.074634120212732,131,240,0,5,8,0.353099730458221
ensemble,reference_r3,cases,371,89.2793940886014,107.33462148124644,-18.055227392645033,0.16821438547486423,50.74398091388847,6.308795232569637,12.164868927595224,11.589325329721037,-11.660447031072438,9.544210666486526,130,241,0,5,8,0.3504043126684636
ensemble,reference_r4,cases,371,89.2793940886014,107.07834043153527,-17.798946342933856,0.1662235917292192,48.52755866443722,6.0332363609779875,12.104560135095218,11.180644511606852,-11.533195066006565,9.230924469870919,128,243,0,5,8,0.3450134770889488
climatology,reference,cases,371,102.89885811317224,107.07779333123831,-4.1789352180660675,0.039027095049846694,52.008947716136134,6.466063471829807,9.719546123241804,5.78122437147361,0.47529216585653256,5.119236487701782,180,191,0,3,8,0.48517520215633425
climatology,reference_r1,cases,371,102.89885811317224,107.87212341680905,-4.973265303636806,0.04610334112382786,52.30064423103281,6.502328927345807,10.060834253503925,6.358066984578035,0.002682379825544423,5.591413940906509,182,189,0,4,8,0.49056603773584906
climatology,reference_r2,cases,371,102.89885811317224,106.02608799536245,-3.1272298821902207,0.0294949096143865,52.23826970504594,6.494574153181604,9.177663180982522,5.412179277371013,1.1392221725377647,4.879371003702201,171,200,0,3,8,0.4609164420485175
climatology,reference_r3,cases,371,102.89885811317224,107.33462148124644,-4.435763368074204,0.04132649192645843,52.1999886594277,6.489814824612096,10.016874746437097,5.790163257422788,0.3160060729984764,5.1487871296531935,169,202,0,3,8,0.4555256064690027
climatology,reference_r4,cases,371,102.89885811317224,107.07834043153527,-4.179482318363031,0.03903200499297377,52.57452789687329,6.536379782919501,9.686582399927335,5.626163650878288,0.44325803806434827,4.963798539863192,168,203,0,3,8,0.4528301886792453
