location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,hier_nb,reference,3.852295,2.97824275,200801,0.8740522499999996
LA-AT,200802,2,hier_nb,reference,1.872729,1.33016525,200801,0.54256375
LA-AT,200803,3,hier_nb,reference,0.003139,0.04634925,200801,-0.04321025
LA-AT,200804,1,hier_nb,reference,0.0073769999999999,0.4565529999999999,200804,-0.44917599999999996
LA-AT,200805,2,hier_nb,reference,3.315728,1.82715075,200804,1.48857725
LA-AT,200806,3,hier_nb,reference,8.204608,4.71279525,200804,3.4918127500000002
LA-AT,200807,1,hier_nb,reference,3.9921409999999993,2.5677025,200807,1.424438499999999
LA-AT,200808,2,hier_nb,reference,7.210744000000001,3.45742575,200807,3.753318250000001
LA-AT,200809,3,hier_nb,reference,19.460828,11.31119925,200807,8.14962875
LA-AT,200810,1,hier_nb,reference,43.686879000000005,33.537995,200810,10.148884000000002
LA-AT,200811,2,hier_nb,reference,41.74564,36.1167355,200810,5.628904500000004
LA-AT,200812,3,hier_nb,reference,22.625494,18.0629155,200810,4.562578500000001
LA-AT,200901,1,hier_nb,reference,17.832295,8.1268215,200901,9.705473499999998
LA-AT,200902,2,hier_nb,reference,45.780729,36.46182425,200901,9.318904750000002
LA-AT,200903,3,hier_nb,reference,76.749139,55.948888,200901,20.800251000000003
LA-AT,200904,1,hier_nb,reference,98.593377,37.03069325,200904,61.562683750000005
LA-AT,200905,2,hier_nb,reference,0.0437279999999999,92.2317765,200904,-92.1880485
LA-AT,200906,3,hier_nb,reference,21.418608,74.69015925,200904,-53.271551249999995
LA-AT,200907,1,hier_nb,reference,57.542141,85.734505,200907,-28.192363999999998
LA-AT,200908,2,hier_nb,reference,15.420744000000004,88.89274325000001,200907,-73.47199925000001
LA-AT,200909,3,hier_nb,reference,13.232828,170.63587875000002,200907,-157.40305075
LA-AT,200910,1,hier_nb,reference,2.8748790000000004,42.55892625000001,200910,-39.68404725000001
LA-AT,200911,2,hier_nb,reference,14.97164,27.078477999999997,200910,-12.106837999999996
LA-AT,200912,3,hier_nb,reference,5.665494,31.981349999999996,200910,-26.315855999999997
LA-BK,200801,1,hier_nb,reference,0.8594799999999999,0.9389885,200801,-0.07950850000000009
LA-BK,200802,2,hier_nb,reference,0.004847,0.0002057499999999,200801,0.0046412500000001
LA-BK,200803,3,hier_nb,reference,0.008638,6.450000000000032e-05,200801,0.0085735
LA-BK,200804,1,hier_nb,reference,0.0138739999999999,0.0496154999999999,200804,-0.0357415
LA-BK,200805,2,hier_nb,reference,11.262484,10.348775,200804,0.9137090000000008
LA-BK,200806,3,hier_nb,reference,51.283126,50.53246675,200804,0.7506592500000053
LA-BK,200807,1,hier_nb,reference,0.94426,16.48096425,200807,-15.53670425
LA-BK,200808,2,hier_nb,reference,6.220988,27.49370075000001,200807,-21.27271275000001
LA-BK,200809,3,hier_nb,reference,30.382793999999997,74.9526455,200807,-44.569851500000006
LA-BK,200810,1,hier_nb,reference,46.210056,35.33058025000001,200810,10.87947574999999
LA-BK,200811,2,hier_nb,reference,54.211923000000006,43.412364749999995,200810,10.799558250000011
LA-BK,200812,3,hier_nb,reference,4.5607299999999995,1.7887067500000002,200810,2.7720232499999993
LA-BK,200901,1,hier_nb,reference,0.8594799999999999,0.477092,200901,0.3823879999999999
LA-BK,200902,2,hier_nb,reference,0.004847,0.3203935,200901,-0.3155465
LA-BK,200903,3,hier_nb,reference,0.828638,0.67142975,200901,0.15720824999999994
LA-BK,200904,1,hier_nb,reference,2.711874,1.6080545,200904,1.1038195
LA-BK,200905,2,hier_nb,reference,73.262484,43.90767825,200904,29.354805750000004
LA-BK,200906,3,hier_nb,reference,214.283126,132.982159,200904,81.30096700000001
LA-BK,200907,1,hier_nb,reference,208.55826,118.65824075,200907,89.90001924999999
LA-BK,200908,2,hier_nb,reference,106.546988,47.89845075000001,200907,58.64853724999999
LA-BK,200909,3,hier_nb,reference,49.358794,23.5955485,200907,25.763245500000004
LA-BK,200910,1,hier_nb,reference,29.210056,27.0755285,200910,2.134527500000001
LA-BK,200911,2,hier_nb,reference,4.257923000000001,17.424168249999997,200910,-13.166245249999996
LA-BK,200912,3,hier_nb,reference,3.57673,6.9384060000000005,200910,-3.3616760000000006
LA-BL,200801,1,hier_nb,reference,4.1524,5.498603,200801,-1.346203
LA-BL,200802,2,hier_nb,reference,2.7733770000000004,5.94577975,200801,-3.1724027499999994
LA-BL,200803,3,hier_nb,reference,1.2553139999999998,0.40200325,200801,0.8533107499999999
LA-BL,200804,1,hier_nb,reference,2.013312,2.8172137500000005,200804,-0.8039017500000005
LA-BL,200805,2,hier_nb,reference,4.270068000000002,6.407246,200804,-2.137177999999998
LA-BL,200806,3,hier_nb,reference,9.674526,8.265453,200804,1.4090729999999994
LA-BL,200807,1,hier_nb,reference,13.881757,16.015395249999997,200807,-2.133638249999997
LA-BL,200808,2,hier_nb,reference,17.326299999999996,19.868641250000003,200807,-2.542341250000007
LA-BL,200809,3,hier_nb,reference,12.893923999999998,19.75864525,200807,-6.864721250000002
LA-BL,200810,1,hier_nb,reference,12.329103999999996,10.744573,200810,1.5845309999999948
LA-BL,200811,2,hier_nb,reference,4.374162,3.4550507500000003,200810,0.9191112499999998
LA-BL,200812,3,hier_nb,reference,3.260756,1.46808125,200810,1.7926747500000002
LA-BL,200901,1,hier_nb,reference,1.2584,0.8320259999999999,200901,0.42637400000000003
LA-BL,200902,2,hier_nb,reference,1.0493770000000002,1.60335525,200901,-0.5539782499999997
LA-BL,200903,3,hier_nb,reference,1.6313140000000002,1.1858857500000002,200901,0.44542824999999997
LA-BL,200904,1,hier_nb,reference,2.2893120000000007,0.7454415000000002,200904,1.5438705000000006
LA-BL,200905,2,hier_nb,reference,7.768068,3.261640999999999,200904,4.506427000000001
LA-BL,200906,3,hier_nb,reference,14.392526000000004,3.63385025,200904,10.758675750000004
LA-BL,200907,1,hier_nb,reference,13.429756999999997,14.910294749999998,200907,-1.4805377500000017
LA-BL,200908,2,hier_nb,reference,27.704300000000003,5.00424675,200907,22.700053250000003
LA-BL,200909,3,hier_nb,reference,27.71392399999999,7.9394645,200907,19.774459499999992
LA-BL,200910,1,hier_nb,reference,15.075104,3.9960645,200910,11.0790395
LA-BL,200911,2,hier_nb,reference,7.096162000000001,1.2438090000000002,200910,5.852353000000001
LA-BL,200912,3,hier_nb,reference,3.260756,0.46090225,200910,2.79985375
LA-CH,200801,1,hier_nb,reference,52.11167,30.81855425,200801,21.29311575
LA-CH,200802,2,hier_nb,reference,70.760514,48.27061325,200801,22.489900750000004
