model,against,weighting,split_first_period,n_cells,mean_diff,crps_model,crps_against
ensemble,reference,unweighted,200801,45,0.4343983888888889,5.7978916,5.363493211111111
ensemble,reference,unweighted,200804,45,5.236630283333333,24.58844751111111,19.351817227777776
ensemble,reference,unweighted,200807,45,-6.452558444444445,22.302002133333335,28.754560577777777
ensemble,reference,unweighted,200810,45,1.4434903777777774,19.90483631111111,18.461345933333334
ensemble,reference,unweighted,200901,48,0.9554219062500001,6.532800770833333,5.577378864583333
ensemble,reference,unweighted,200904,48,-5.227614177083335,21.596521104166666,26.824135281249998
ensemble,reference,unweighted,200907,47,-4.479098404255322,48.878383978723406,53.35748238297872
ensemble,reference,unweighted,200910,48,-0.47371540625000064,30.478081979166664,30.95179738541667
ensemble,reference_r1,unweighted,200801,45,-0.28669386666666646,5.7978916,6.084585466666667
ensemble,reference_r1,unweighted,200804,45,2.4667523777777776,24.58844751111111,22.121695133333336
ensemble,reference_r1,unweighted,200807,45,-6.349357511111111,22.302002133333335,28.651359644444444
ensemble,reference_r1,unweighted,200810,45,-1.3234697555555552,19.90483631111111,21.22830606666667
ensemble,reference_r1,unweighted,200901,48,1.0372202708333336,6.532800770833333,5.4955805
ensemble,reference_r1,unweighted,200904,48,-4.659830958333333,21.596521104166666,26.2563520625
ensemble,reference_r1,unweighted,200907,47,-4.890391234042557,48.878383978723406,53.76877521276596
ensemble,reference_r1,unweighted,200910,48,-0.2308383958333323,30.478081979166664,30.708920375
ensemble,reference_r2,unweighted,200801,45,0.7802077555555554,5.7978916,5.017683844444444
ensemble,reference_r2,unweighted,200804,45,6.377157133333332,24.58844751111111,18.21129037777778
ensemble,reference_r2,unweighted,200807,45,-5.825879599999999,22.302002133333335,28.127881733333332
ensemble,reference_r2,unweighted,200810,45,4.0833797333333335,19.90483631111111,15.821456577777775
ensemble,reference_r2,unweighted,200901,48,0.7767109166666665,6.532800770833333,5.756089854166667
ensemble,reference_r2,unweighted,200904,48,-5.350048604166667,21.596521104166666,26.94656970833333
ensemble,reference_r2,unweighted,200907,47,-4.417076638297872,48.878383978723406,53.29546061702128
ensemble,reference_r2,unweighted,200910,48,-0.22122006250000137,30.478081979166664,30.69930204166667
ensemble,reference_r3,unweighted,200801,45,0.6204625555555554,5.7978916,5.177429044444445
ensemble,reference_r3,unweighted,200804,45,6.187380288888887,24.58844751111111,18.401067222222224
ensemble,reference_r3,unweighted,200807,45,-6.462574444444446,22.302002133333335,28.76457657777778
ensemble,reference_r3,unweighted,200810,45,-1.9133567333333334,19.90483631111111,21.818193044444442
ensemble,reference_r3,unweighted,200901,48,1.0378825208333333,6.532800770833333,5.4949182500000004
ensemble,reference_r3,unweighted,200904,48,-6.061192145833332,21.596521104166666,27.65771325
ensemble,reference_r3,unweighted,200907,47,-4.364061574468089,48.878383978723406,53.24244555319149
ensemble,reference_r3,unweighted,200910,48,-0.9695955416666661,30.478081979166664,31.447677520833334
ensemble,reference_r4,unweighted,200801,45,0.6236171111111112,5.7978916,5.174274488888888
ensemble,reference_r4,unweighted,200804,45,5.915231333333333,24.58844751111111,18.67321617777778
ensemble,reference_r4,unweighted,200807,45,-7.172422222222223,22.302002133333335,29.474424355555552
ensemble,reference_r4,unweighted,200810,45,4.927408266666666,19.90483631111111,14.977428044444446
ensemble,reference_r4,unweighted,200901,48,0.9698739166666664,6.532800770833333,5.562926854166666
ensemble,reference_r4,unweighted,200904,48,-4.839385000000001,21.596521104166666,26.435906104166666
ensemble,reference_r4,unweighted,200907,47,-4.244864170212765,48.878383978723406,53.12324814893616
ensemble,reference_r4,unweighted,200910,48,-0.4732076250000005,30.478081979166664,30.951289604166664
climatology,reference,unweighted,200801,45,-0.003937655555555743,5.359555555555555,5.363493211111111
climatology,reference,unweighted,200804,45,6.882285927777778,26.23410315555556,19.351817227777776
climatology,reference,unweighted,200807,45,4.939217199999998,33.693777777777775,28.754560577777777
climatology,reference,unweighted,200810,45,3.2438754666666676,21.7052214,18.461345933333334
climatology,reference,unweighted,200901,48,0.25319898958333337,5.830577854166666,5.577378864583333
climatology,reference,unweighted,200904,48,-5.8582310729166664,20.965904208333335,26.824135281249998
climatology,reference,unweighted,200907,47,-2.239108319148937,51.11837406382978,53.35748238297872
climatology,reference,unweighted,200910,48,-1.253281156250001,29.698516229166668,30.95179738541667
climatology,reference_r1,unweighted,200801,45,-0.725029911111111,5.359555555555555,6.084585466666667
climatology,reference_r1,unweighted,200804,45,4.112408022222222,26.23410315555556,22.121695133333336
climatology,reference_r1,unweighted,200807,45,5.0424181333333316,33.693777777777775,28.651359644444444
climatology,reference_r1,unweighted,200810,45,0.47691533333333475,21.7052214,21.22830606666667
climatology,reference_r1,unweighted,200901,48,0.33499735416666687,5.830577854166666,5.4955805
climatology,reference_r1,unweighted,200904,48,-5.290447854166665,20.965904208333335,26.2563520625
climatology,reference_r1,unweighted,200907,47,-2.650401148936173,51.11837406382978,53.76877521276596
climatology,reference_r1,unweighted,200910,48,-1.010404145833333,29.698516229166668,30.708920375
climatology,reference_r2,unweighted,200801,45,0.3418717111111108,5.359555555555555,5.017683844444444
climatology,reference_r2,unweighted,200804,45,8.022812777777776,26.23410315555556,18.21129037777778
climatology,reference_r2,unweighted,200807,45,5.565896044444445,33.693777777777775,28.127881733333332
climatology,reference_r2,unweighted,200810,45,5.883764822222224,21.7052214,15.821456577777775
climatology,reference_r2,unweighted,200901,48,0.07448799999999979,5.830577854166666,5.756089854166667
