model,against,weighting,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,unweighted,371,22.579871757412395,23.681038782345016,-1.1011670249326153,0.04649994601392138,24.876059068892815,1.2915006365995516,2.443389059037779,1.2991429441132023,-1.0703806844728878,1.4059310905770543,151,220,0,4,8,0.40700808625336926
ensemble,reference_r1,unweighted,371,22.579871757412395,24.364207439353102,-1.7843356819407012,0.07323594196044503,24.55391799573032,1.2747759054067203,2.6987728388201293,1.0370605751944713,-1.7795761341164307,1.115290698530114,169,202,0,6,8,0.4555256064690027
ensemble,reference_r2,unweighted,371,22.579871757412395,23.10297808625337,-0.5231063288409704,0.022642376532064135,25.483255969366283,1.3230247289540107,2.3791591164210906,1.4541485922521855,-0.47459617075945637,1.5747765854162497,129,242,0,4,8,0.3477088948787062
ensemble,reference_r3,unweighted,371,22.579871757412395,24.098293097035043,-1.5184213396226423,0.06300949754028295,25.42570004071543,1.3200365740261424,2.503932933589557,1.3757415987317203,-1.4906318843085113,1.4887613682002707,142,229,0,5,8,0.38274932614555257
ensemble,reference_r4,unweighted,371,22.579871757412395,23.158676506738548,-0.5788047493261458,0.024992997728421007,25.62577525589166,1.3304239616365463,2.2728068483706863,1.5123775823940844,-0.5367185487071517,1.6442563356842697,135,236,0,4,8,0.3638814016172507
climatology,reference,unweighted,371,24.3369086361186,23.681038782345016,0.6558698537735848,-0.027695991708883927,32.200480825804334,1.6717656671486953,3.57828624321699,1.3615319077235182,0.7455024225195768,1.456546671475783,183,188,0,4,8,0.49326145552560646
climatology,reference_r1,unweighted,371,24.3369086361186,24.364207439353102,-0.027298803234502136,0.00112044700417413,31.83998801987823,1.6530498132003777,3.8264991872501293,1.1106990606586673,0.03630697287603413,1.1894405641991956,194,177,0,4,8,0.522911051212938
climatology,reference_r2,unweighted,371,24.3369086361186,23.10297808625337,1.233930549865229,-0.05341002122143901,32.55858304104297,1.6903574078125831,3.4910886151760097,1.5646295716868877,1.3412869362330082,1.6754693884959015,171,200,0,3,8,0.4609164420485175
climatology,reference_r3,unweighted,371,24.3369086361186,24.098293097035043,0.23861553908355748,-0.009901761013642707,32.74148598762517,1.6998532556594084,3.625431410827724,1.460811829274263,0.32525122268395323,1.5659166800426052,181,190,0,4,8,0.48787061994609165
climatology,reference_r4,unweighted,371,24.3369086361186,23.158676506738548,1.1782321293800535,-0.050876488085889404,32.89068766077497,1.7075994205692533,3.426584999288057,1.4893929463806812,1.279164558285313,1.59664218522669,176,195,0,3,8,0.4743935309973046
persistence,reference,unweighted,371,24.879338288409706,23.681038782345016,1.1982995060646897,-0.05060164450885751,42.45924720633442,2.2043742798910824,3.8791117737767453,2.25242321495968,1.1929227452700206,2.3445445122480337,172,199,0,2,8,0.4636118598382749
persistence,reference_r1,unweighted,371,24.879338288409706,24.364207439353102,0.5151308490566038,-0.0211429347882075,42.606568388345266,2.212022814565513,3.722382864316366,2.3170404591570515,0.4837272956264776,2.4181249355417247,186,185,0,4,8,0.5013477088948787
persistence,reference_r2,unweighted,371,24.879338288409706,23.10297808625337,1.7763602021563358,-0.07688879743227983,42.58275708329939,2.2107865932034456,3.9584130678391403,2.2740101736912757,1.7887072589834516,2.369051146068688,156,215,0,2,8,0.42048517520215634
persistence,reference_r3,unweighted,371,24.879338288409706,24.098293097035043,0.7810451913746629,-0.03241080968804222,43.05897495949742,2.235510593438633,3.95412106225612,2.335875819385724,0.7726715454343969,2.4361803721233226,166,205,0,3,8,0.4474393530997305
persistence,reference_r4,unweighted,371,24.879338288409706,23.158676506738548,1.7206617816711596,-0.07429879601152911,42.527979527328064,2.207942684197907,3.940595729335359,2.2173026091105457,1.7265848810357565,2.3086932574151606,158,213,0,2,8,0.42587601078167114
