model,against,n_cells,mean_crps_model,mean_crps_against,mean_diff,skill_score,sd_diff_cell,se_cell_naive,se_cluster_location,se_cluster_split,mean_diff_by_split,se_split_level,cells_model_better,cells_model_worse,cells_tied,splits_model_better,n_splits,win_rate_cells
ensemble,reference,371,18.551604981132076,22.220493938005394,-3.6688889568733143,0.16511284434582885,19.047020049669886,0.9888720094829693,2.436126942137598,1.8017229489983984,-3.614265620351285,1.9111755543759357,163,208,0,6,8,0.4393530997304582
ensemble,reference_r1,371,18.551604981132076,22.01173125336927,-3.460126272237194,0.15719464463784794,18.697689201461003,0.9707356555051881,2.4216706954719855,1.7999541920013638,-3.404817458684247,1.9132927037077736,162,209,0,6,8,0.4366576819407008
ensemble,reference_r2,371,18.551604981132076,22.50763624528302,-3.956031264150944,0.17576395944198797,20.304240437066778,1.0541436397750614,2.5292526206391415,1.8894687780390889,-3.901791651699172,1.9994042255591025,166,205,0,6,8,0.4474393530997305
ensemble,reference_r3,371,18.551604981132076,22.49755019407008,-3.9459452129380055,0.17539443979007452,20.319901579988016,1.0549567258027415,2.587566327810698,1.8089740188419832,-3.8872244649010046,1.9161768300986433,161,210,0,6,8,0.4339622641509434
ensemble,reference_r4,371,18.551604981132076,21.865058059299194,-3.3134530781671163,0.15154101439753132,17.836655796752463,0.9260330284839678,2.21598539004416,1.7459455001057114,-3.2632289061207156,1.8559281544562616,157,214,0,6,8,0.42318059299191374
climatology,reference,371,24.3369086361186,22.220493938005394,2.116414698113208,-0.09524606896759136,26.644247115345813,1.3833003859608721,2.7459892386546816,1.9742985545644562,2.2085509708240996,2.1150820131280232,167,204,0,3,8,0.4501347708894879
climatology,reference_r1,371,24.3369086361186,22.01173125336927,2.325177382749328,-0.10563355312605971,26.229512298715864,1.3617684271319361,2.7175335017796907,1.9716486465522964,2.417999132491137,2.1173538756027233,162,209,0,4,8,0.4366576819407008
climatology,reference_r2,371,24.3369086361186,22.50763624528302,1.8292723908355797,-0.08127341187233483,27.814746933053094,1.4440697086064744,2.8320633148947607,2.0574242871466377,1.921024939476212,2.1982134700080787,169,202,0,2,8,0.4555256064690027
climatology,reference_r3,371,24.3369086361186,22.49755019407008,1.8393584420485172,-0.0817581659417006,27.27197388480787,1.4158903360058375,2.8302155077751228,1.9973943204412388,1.9355921262743792,2.135589981802028,169,202,0,2,8,0.4555256064690027
climatology,reference_r4,371,24.3369086361186,21.865058059299194,2.471850576819407,-0.11305026358108061,26.000195302445416,1.3498628818907799,2.6220178174647684,1.904536605838938,2.559587685054669,2.0450805391918916,163,208,0,3,8,0.4393530997304582
persistence,reference,371,24.57824721832884,22.220493938005394,2.357753280323451,-0.10610714986361325,39.65123597918513,2.058589600838887,4.112552867100064,2.946490378830408,2.3599968982361856,3.09540206043349,176,195,0,2,8,0.4743935309973046
persistence,reference_r1,371,24.57824721832884,22.01173125336927,2.5665159649595712,-0.1165976422034829,39.75928197913333,2.0641990696590358,4.087728520482218,2.8734496458099885,2.5694450599032232,3.020231551382056,178,193,0,2,8,0.4797843665768194
persistence,reference_r2,371,24.57824721832884,22.50763624528302,2.0706109730458224,-0.09199593197974143,39.91106546871336,2.0720792757992057,4.191931610010609,3.0932064524333636,2.072470866888298,3.247235785424775,170,201,0,3,8,0.4582210242587601
persistence,reference_r3,371,24.57824721832884,22.49755019407008,2.08069702425876,-0.09248549314525767,40.657898521024165,2.1108529159413907,4.227015382266174,2.992142639993757,2.0870380536864657,3.1419168753696556,173,198,0,3,8,0.46630727762803237
persistence,reference_r4,371,24.57824721832884,21.865058059299194,2.7131891590296497,-0.1240879009637812,38.77986921794362,2.013350492677162,3.9536983736596576,2.8452562827614414,2.7110336124667556,2.9920254558547295,170,201,0,2,8,0.4582210242587601
