location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.484883,2.31248925,200801,1.17239375
LA-AT,200802,2,ensemble,reference,1.409627,1.011108,200801,0.39851900000000007
LA-AT,200803,3,ensemble,reference,0.0391249999999998,0.0926477499999999,200801,-0.053522750000000105
LA-AT,200804,1,ensemble,reference,0.0837280000000002,0.7542110000000001,200804,-0.6704829999999998
LA-AT,200805,2,ensemble,reference,3.027323,1.49823375,200804,1.52908925
LA-AT,200806,3,ensemble,reference,7.043470000000001,4.313031,200804,2.7304390000000014
LA-AT,200807,1,ensemble,reference,2.316438,3.13869425,200807,-0.8222562499999997
LA-AT,200808,2,ensemble,reference,4.9372359999999995,6.137540749999999,200807,-1.20030475
LA-AT,200809,3,ensemble,reference,13.779326,15.26864425,200807,-1.4893182500000002
LA-AT,200810,1,ensemble,reference,30.583628,30.2476955,200810,0.33593250000000197
LA-AT,200811,2,ensemble,reference,31.683558999999995,28.01601725,200810,3.6675417499999945
LA-AT,200812,3,ensemble,reference,12.68767,15.42467225,200810,-2.7370022499999997
LA-AT,200901,1,ensemble,reference,10.065542,6.721484,200901,3.3440580000000004
LA-AT,200902,2,ensemble,reference,35.337347,36.396595000000005,200901,-1.0592480000000037
LA-AT,200903,3,ensemble,reference,66.05714900000001,56.497666499999994,200901,9.559482500000016
LA-AT,200904,1,ensemble,reference,64.46047300000001,42.6446415,200904,21.81583150000001
LA-AT,200905,2,ensemble,reference,5.090464000000001,58.3627255,200904,-53.2722615
LA-AT,200906,3,ensemble,reference,14.119131,23.344315,200904,-9.225184000000002
LA-AT,200907,1,ensemble,reference,47.832456,42.881777,200907,4.950679000000001
LA-AT,200908,2,ensemble,reference,9.238871,13.3227825,200907,-4.083911500000001
LA-AT,200909,3,ensemble,reference,6.06583,9.226671500000004,200907,-3.1608415000000036
LA-AT,200910,1,ensemble,reference,3.780504000000001,6.185061,200910,-2.404556999999999
LA-AT,200911,2,ensemble,reference,7.822885,10.498093,200910,-2.6752080000000005
LA-AT,200912,3,ensemble,reference,3.278274000000001,7.111945249999999,200910,-3.833671249999998
LA-BK,200801,1,ensemble,reference,0.653812,0.8402655,200801,-0.18645350000000005
LA-BK,200802,2,ensemble,reference,0.019581,0.0002194999999999,200801,0.0193615000000001
LA-BK,200803,3,ensemble,reference,0.0291859999999999,7.474999999999973e-05,200801,0.0291112499999999
LA-BK,200804,1,ensemble,reference,0.059028,0.01146525,200804,0.04756275
