location,time_period,horizon_distance,model,against,crps_model,crps_against,split_first_period,diff
LA-AT,200801,1,ensemble,reference,3.825475,2.8567205,200801,0.9687544999999996
LA-AT,200802,2,ensemble,reference,1.890446,1.2271735,200801,0.6632725000000002
LA-AT,200803,3,ensemble,reference,0.005018,0.07830275,200801,-0.07328475
LA-AT,200804,1,ensemble,reference,0.0107669999999999,0.50567575,200804,-0.49490875
LA-AT,200805,2,ensemble,reference,3.323054,1.56358275,200804,1.75947125
LA-AT,200806,3,ensemble,reference,7.793339999999999,4.13374575,200804,3.6595942499999983
LA-AT,200807,1,ensemble,reference,3.744203,3.5250217500000014,200807,0.2191812499999987
LA-AT,200808,2,ensemble,reference,6.983142000000001,6.766005999999999,200807,0.2171360000000017
LA-AT,200809,3,ensemble,reference,18.575185,17.3033775,200807,1.271807500000001
LA-AT,200810,1,ensemble,reference,41.770410000000005,30.770417750000004,200810,10.999992250000002
LA-AT,200811,2,ensemble,reference,39.560258000000005,33.719483249999996,200810,5.8407747500000085
LA-AT,200812,3,ensemble,reference,20.579608,17.15468825,200810,3.424919750000001
LA-AT,200901,1,ensemble,reference,16.192078,8.29974025,200901,7.892337749999999
LA-AT,200902,2,ensemble,reference,43.733557000000005,38.76478525,200901,4.968771750000002
LA-AT,200903,3,ensemble,reference,74.38314,58.79363725,200901,15.589502749999994
LA-AT,200904,1,ensemble,reference,91.317916,50.53175225,200904,40.78616375
LA-AT,200905,2,ensemble,reference,0.3052449999999993,48.4498705,200904,-48.1446255
LA-AT,200906,3,ensemble,reference,19.06731,39.38997125,200904,-20.322661250000003
LA-AT,200907,1,ensemble,reference,55.882833,48.98766975,200907,6.895163249999996
LA-AT,200908,2,ensemble,reference,14.404505,14.9626135,200907,-0.5581084999999995
LA-AT,200909,3,ensemble,reference,11.878718999999998,10.2212285,200907,1.657490499999998
LA-AT,200910,1,ensemble,reference,2.800044,6.4422120000000005,200910,-3.642168
LA-AT,200911,2,ensemble,reference,13.609022,6.16758375,200910,7.441438249999999
LA-AT,200912,3,ensemble,reference,5.235662,5.693875249999999,200910,-0.4582132499999991
LA-BK,200801,1,ensemble,reference,0.834183,0.95601925,200801,-0.1218362499999999
LA-BK,200802,2,ensemble,reference,0.0056429999999999,4.6500000000000046e-05,200801,0.0055964999999999
LA-BK,200803,3,ensemble,reference,0.00811,2.8000000000000247e-05,200801,0.0080819999999999
LA-BK,200804,1,ensemble,reference,0.0172439999999999,0.0264175,200804,-0.0091735000000001
LA-BK,200805,2,ensemble,reference,11.270124,10.713214999999998,200804,0.556909000000001
LA-BK,200806,3,ensemble,reference,51.138308,50.8679235,200804,0.2703844999999987
LA-BK,200807,1,ensemble,reference,1.0216170000000004,1.96930125,200807,-0.9476842499999996
LA-BK,200808,2,ensemble,reference,5.849548,5.856817999999999,200807,-0.0072699999999983
LA-BK,200809,3,ensemble,reference,27.700285,21.43587975,200807,6.264405249999999
LA-BK,200810,1,ensemble,reference,43.550904,21.940763500000003,200810,21.6101405
LA-BK,200811,2,ensemble,reference,51.364969,47.66615875,200810,3.698810250000001
LA-BK,200812,3,ensemble,reference,4.260893,2.97199575,200810,1.2888972500000002
LA-BK,200901,1,ensemble,reference,0.7813840000000001,0.45439075,200901,0.32699325
LA-BK,200902,2,ensemble,reference,0.020189,0.30116375,200901,-0.28097475
LA-BK,200903,3,ensemble,reference,0.77332,0.6673817500000001,200901,0.1059382499999999
LA-BK,200904,1,ensemble,reference,2.6201149999999997,1.287469,200904,1.3326459999999998
LA-BK,200905,2,ensemble,reference,73.210274,43.308491,200904,29.901783
LA-BK,200906,3,ensemble,reference,214.086539,146.54898674999998,200904,67.53755225
LA-BK,200907,1,ensemble,reference,189.741708,188.15685825,200907,1.5848497499999894
LA-BK,200908,2,ensemble,reference,96.826343,90.8190615,200907,6.007281499999991
LA-BK,200909,3,ensemble,reference,45.244396,38.901625249999995,200907,6.342770750000007
LA-BK,200910,1,ensemble,reference,26.810875,20.581325999999997,200910,6.229549000000002
LA-BK,200911,2,ensemble,reference,3.980939999999999,12.810468749999998,200910,-8.82952875
LA-BK,200912,3,ensemble,reference,3.398864,4.833049750000001,200910,-1.4341857500000006
LA-BL,200801,1,ensemble,reference,4.106532,5.3708495,200801,-1.2643175000000006
LA-BL,200802,2,ensemble,reference,2.612309,5.84484275,200801,-3.2325337499999995
LA-BL,200803,3,ensemble,reference,1.3206299999999995,0.42230275,200801,0.8983272499999995
LA-BL,200804,1,ensemble,reference,1.9274889999999996,1.6217134999999998,200804,0.3057754999999997
LA-BL,200805,2,ensemble,reference,4.520571,6.6790910000000006,200804,-2.15852
LA-BL,200806,3,ensemble,reference,9.208417,7.575282,200804,1.6331350000000011
LA-BL,200807,1,ensemble,reference,13.929838000000004,20.087886249999997,200807,-6.158048249999993
LA-BL,200808,2,ensemble,reference,14.903630999999995,20.6089715,200807,-5.705340500000004
LA-BL,200809,3,ensemble,reference,11.503484,18.523956,200807,-7.020471999999998
LA-BL,200810,1,ensemble,reference,12.020561000000004,9.729708250000002,200810,2.2908527500000027
LA-BL,200811,2,ensemble,reference,4.822465999999999,4.276498999999999,200810,0.5459669999999992
LA-BL,200812,3,ensemble,reference,3.670013,0.9770205,200810,2.6929925
LA-BL,200901,1,ensemble,reference,1.3225319999999998,0.7456575000000001,200901,0.5768744999999997
LA-BL,200902,2,ensemble,reference,1.1243089999999998,1.68273325,200901,-0.5584242500000003
LA-BL,200903,3,ensemble,reference,1.6986299999999996,1.1302832499999995,200901,0.5683467500000001
LA-BL,200904,1,ensemble,reference,2.1359309999999994,0.8048480000000001,200904,1.3310829999999991
LA-BL,200905,2,ensemble,reference,7.787324000000002,3.829161000000001,200904,3.9581630000000008
LA-BL,200906,3,ensemble,reference,13.351978,5.61813075,200904,7.733847250000001
LA-BL,200907,1,ensemble,reference,13.625073,21.985704500000004,200907,-8.360631500000004
LA-BL,200908,2,ensemble,reference,24.406844,6.174969249999998,200907,18.231874750000003
LA-BL,200909,3,ensemble,reference,24.482177,4.862042999999998,200907,19.620134
LA-BL,200910,1,ensemble,reference,13.789475,5.49467175,200910,8.29480325
LA-BL,200911,2,ensemble,reference,7.094663000000001,2.1073274999999994,200910,4.987335500000001
LA-BL,200912,3,ensemble,reference,3.329823,0.712077,200910,2.6177460000000004
LA-CH,200801,1,ensemble,reference,47.551087,29.3396385,200801,18.211448500000003
LA-CH,200802,2,ensemble,reference,67.672768,43.54995375,200801,24.122814250000005
LA-CH,200803,3,ensemble,reference,66.753428,50.399487500000006,200801,16.353940499999993
