province,split,month,h,actual,stage1_mean,stage1_se,stage2_zhat,stage2_correction,stage2_abstained,final_mean_unclipped,final_mean,final_se,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-0.2440061343253489,-4.736342194511694,False,-0.6324332957813086,0.0,19.410750502675594,4.863878451502458,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-0.194135466317175,-3.8387218100501945,False,0.9634001024863155,0.9634001024863155,19.7734184426588,4.642623177877581,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-0.15996919975685286,-3.16808689161401,False,1.7528245517522532,1.7528245517522532,19.80435544110605,4.690028845958253,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.33979402281366256,-0.6376379071534789,False,-0.15700771116661166,0.0,1.8765424473141747,0.6462412049486014,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.3252305766886775,-0.6518951900870691,False,0.004767012068745968,0.004767012068745968,2.0044092923989947,0.46842490688639415,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.3134192493575839,-0.6340812552332539,False,0.08705310754542628,0.08705310754542628,2.023108843930076,0.4742845189843497,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,0.013829438561124703,0.44345245024119334,False,4.968691729518503,4.968691729518503,32.065831760355195,7.807920425273974,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-0.015738308359851037,-0.6055845209504578,False,9.578888776834766,9.578888776834766,38.4783743655274,9.061130881177611,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-0.1010239234637037,-4.143547450525169,False,12.941720725453902,12.941720725453902,41.01550710425417,10.962463869073197,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-0.20914503761426023,-13.383661001906786,False,33.354409879819244,33.354409879819244,63.99224745934991,24.451667309322698,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-0.26169744641875414,-20.520463996991452,False,42.779736817083425,42.779736817083425,78.41293171869822,29.338257564044394,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-0.31136871001759614,-26.45487916850719,False,46.47593408139667,46.47593408139667,84.96319096100622,29.36026435945291,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.2608681329781897,-0.25344837603962356,False,-0.0236769196101988,0.0,0.9715574422454025,0.22704809436757134,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.22309329666332275,-0.21711095547091708,False,0.06488329077126814,0.06488329077126814,0.9731845766686849,0.22915346927950303,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.1856719050601158,-0.18070202104522068,False,0.09775143227440539,0.09775143227440539,0.9732329777448774,0.23135324223768117,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-0.08695034429678634,-5.715814474507829,False,5.6992280162614035,5.6992280162614035,65.73653641897177,15.559297101119046,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,0.00501098607328355,0.5623862880899216,False,9.86019550330923,9.86019550330923,112.23066276083395,26.57311675697873,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,0.04464145506814581,6.31968911390173,False,16.010197414273,16.010197414273,141.56548222396952,33.804720538196364,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.3912381362643891,-0.27907941690524746,False,-0.09306961683925949,0.0,0.7133236539002743,0.16670015507375593,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.32383392437898767,-0.23100547750441103,False,-0.044458877337881314,0.0,0.7133455148264882,0.16670526386241027,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.2866724389552867,-0.20449651423782694,False,-0.01794836493599447,0.0,0.7133455695394665,0.1667052766485585,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-0.15926426979108854,-6.1804303871002055,False,7.783887227037903,7.783887227037903,38.80613269509383,9.689595953534129,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-0.130126366610102,-5.264248126574845,False,11.273658842917488,11.273658842917488,40.45489214609463,9.674142022678168,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-0.11116705959194657,-4.514953930010035,False,12.757834304852741,12.757834304852741,40.61413467786925,10.326752794790675,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,-0.14933822493666263,-0.0853129741868671,False,-0.08327488182111001,0.0,0.5712735250673434,0.13350375344705884,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,-0.065338150186998,-0.03925474085327802,False,-0.0384719350177298,0.0,0.6007935752838246,0.1404024409109691,False,
LA-OU,0,2008-03,3,0.0,0.001555952479635101,0.7349383831127196,-0.014374526415904742,-0.010564391202116108,False,-0.009008438722481006,0.0,0.7349383831127196,0.1717514087254337,False,
LA-PH,0,2008-01,1,,0.03749040424662971,0.388467396929649,-0.2873142689935253,-0.11161222617665974,False,-0.07412182193003003,0.0,0.388467396929649,,False,
LA-PH,0,2008-02,2,,0.037262431085092335,0.38845290623213985,-0.21010845407498088,-0.08161723960936841,False,-0.044354808524276076,0.0,0.38845290623213985,,False,
LA-PH,0,2008-03,3,,0.03726381735348356,0.3884530375009129,-0.16386772358015728,-0.06365491497307207,False,-0.026391097619588515,0.0,0.3884530375009129,,False,
LA-SL,0,2008-01,1,0.0,7.1019642786888655,13.195504782771753,-0.23082455695082343,-3.0458465452257615,False,4.056117733463104,4.056117733463104,13.195504782771753,3.577242722898069,False,
LA-SL,0,2008-02,2,1.0,7.1577980365530856,14.723273757946362,-0.177758741756874,-2.6171906177545474,False,4.540607418798539,4.540607418798539,14.723273757946362,3.7788007838410613,False,
LA-SL,0,2008-03,3,5.0,7.17912400828643,15.117977741805367,-0.15435856311394763,-2.333589321413719,False,4.8455346868727105,4.8455346868727105,15.117977741805367,3.5336250787290604,False,
LA-SV,0,2008-01,1,1.0,-11.485014460641358,218.57726293087973,0.07468996374579101,16.325527843961638,False,4.84051338332028,4.84051338332028,218.57726293087973,51.107328329182565,False,
LA-SV,0,2008-02,2,1.0,-19.622384647363237,333.8632680799089,0.15739073515132196,52.546985203119746,False,32.92460055575651,32.92460055575651,333.8632680799089,79.2390877252761,False,
LA-SV,0,2008-03,3,1.0,-14.902385928129892,419.5674617069116,0.20946810883446465,87.88600273222345,False,72.98361680409356,72.98361680409356,419.5674617069116,102.96567952054727,False,
LA-VT,0,2008-01,1,29.0,22.13084382532213,155.4562732467316,0.08345910053032779,12.97424073696908,False,35.10508456229121,35.10508456229121,155.4562732467316,36.42498799465386,False,
LA-VT,0,2008-02,2,12.0,16.420554944247673,225.65272403392328,0.18072186260768247,40.78038058990797,False,57.20093553415565,57.20093553415565,225.65272403392328,56.334016439048895,False,
LA-VT,0,2008-03,3,26.0,19.472313008862173,279.17942127827797,0.21266150441932866,59.370715731956125,False,78.8430287408183,78.8430287408183,279.17942127827797,69.22122583300707,False,
LA-XA,0,2008-01,1,0.0,12.007580844264966,44.4086430753409,-0.13971942821425934,-6.204750218257757,False,5.802830626007209,5.802830626007209,44.4086430753409,10.68014504495001,False,
LA-XA,0,2008-02,2,0.0,15.559567206370208,46.788416373047404,-0.11793929272508692,-5.518192734764088,False,10.041374471606119,10.041374471606119,46.788416373047404,11.790655257720093,False,
LA-XA,0,2008-03,3,0.0,16.705741583381936,47.06933971147554,-0.10122719647207909,-4.7646972987845695,False,11.941044284597368,11.941044284597368,47.06933971147554,12.201955739860265,False,
LA-XE,0,2008-01,1,0.0,0.8473909514443554,2.0896358377178466,-0.4042157989703145,-0.8446638197001218,False,0.0027271317442335574,0.0027271317442335574,2.0896358377178466,0.4883388194469061,False,
LA-XE,0,2008-02,2,0.0,0.8817870312997993,2.094279522424567,-0.3544143398674942,-0.742242694438114,False,0.13954433686168533,0.13954433686168533,2.094279522424567,0.4931306009990912,False,
LA-XE,0,2008-03,3,0.0,0.8537362673134745,2.0962835743286568,-0.31925027870653355,-0.669239115352352,False,0.18449715196112249,0.18449715196112249,2.0962835743286568,0.4963647403959247,False,
LA-XI,0,2008-01,1,0.0,0.037978971073608384,0.23596314892168488,-0.32225417140015533,-0.07604010903672902,False,-0.038061137963120634,0.0,0.23596314892168488,0.05514340272029707,False,
LA-XI,0,2008-02,2,0.0,0.037937028850090995,0.23596090195477482,-0.24972676029338087,-0.05892575160107,False,-0.020988722750979003,0.0,0.23596090195477482,0.055142877615416135,False,
LA-XI,0,2008-03,3,0.0,0.03793707516914767,0.23596090459240027,-0.20792743513739315,-0.04906274568459692,False,-0.01112567051544925,0.0,0.23596090459240027,0.055142878231815955,False,
LA-XN,0,2008-01,1,,1.9227034658482431,4.134660339860258,-0.2697563103380135,-1.1153507177816202,False,0.8073527480666229,0.8073527480666229,4.134660339860258,,False,
LA-XN,0,2008-02,2,,1.9265079357685868,4.13941642457591,-0.2123435267530066,-0.8789782822937697,False,1.047529653474817,1.047529653474817,4.13941642457591,,False,
LA-XN,0,2008-03,3,,1.9264506066802944,4.144190197606953,-0.1851392995085919,-0.7672524702153243,False,1.1591981364649702,1.1591981364649702,4.144190197606953,,False,
LA-AT,1,2008-04,1,0.0,3.669853073058782,19.13792957457747,-0.1558976764326672,-2.9835587524086504,False,0.6862943206501315,0.6862943206501315,19.13792957457747,4.482255256145188,False,
LA-AT,1,2008-05,2,4.0,4.339198631912654,19.494041883477173,0.0426401761931976,0.8312293806290403,False,5.170428012541695,5.170428012541695,19.494041883477173,4.583686063849278,False,
LA-AT,1,2008-06,3,10.0,4.448858213599773,19.522349784421518,0.19768417728990093,3.8592596558990424,False,8.308117869498815,8.308117869498815,19.522349784421518,4.620733429454845,False,
LA-BK,1,2008-04,1,0.0,0.473294023990439,1.8533074055003906,-0.2621951665470259,-0.4859282438480114,False,-0.012634219857572404,0.0,1.8533074055003906,0.4331086319751391,False,
LA-BK,1,2008-05,2,12.0,0.6463410728300799,1.9790222486855704,-0.09984561797117697,-0.19759669939871904,False,0.44874437343136087,0.44874437343136087,1.9790222486855704,10.434711889961658,False,
LA-BK,1,2008-06,3,53.0,0.7096110056714757,1.9972994809545028,0.031908111556418386,0.06373005464987282,False,0.7733410603213485,0.7733410603213485,1.9972994809545028,51.09980337729878,False,
LA-BL,1,2008-04,1,3.0,10.296096808465538,31.656424755814268,-0.03630730067307199,-1.149359331843828,False,9.14673747662171,9.14673747662171,31.656424755814268,7.872600257672692,False,
LA-BL,1,2008-05,2,15.0,13.528545564122764,37.996204476750165,0.12186669187264469,4.6304717432981155,False,18.15901730742088,18.15901730742088,37.996204476750165,8.984240733403652,False,
LA-BL,1,2008-06,3,19.0,20.25950459931389,40.50708719474455,0.16118984696984295,6.529331186114959,False,26.788835785428848,26.788835785428848,40.50708719474455,10.061949787002067,False,
LA-CH,1,2008-04,1,69.0,97.98646907627938,63.17242882385317,-0.38473996398527893,-24.304957990551863,False,73.68151108572752,73.68151108572752,63.17242882385317,14.901421909986432,False,
LA-CH,1,2008-05,2,113.0,97.9433190208146,77.31302752312375,-0.2150214630156249,-16.62396028818934,False,81.31935873262526,81.31935873262526,77.31302752312375,23.17538984048484,False,
LA-CH,1,2008-06,3,295.0,108.29910248010837,83.71027054794273,-0.15252667938599032,-12.76804959718057,False,95.53105288292781,95.53105288292781,83.71027054794273,152.72004016048373,False,
LA-HO,1,2008-04,1,0.0,0.29014350504451,0.9590509815578375,-0.32862300199509276,-0.3151662126258769,False,-0.025022707581366932,0.0,0.9590509815578375,0.22412539732164893,False,
LA-HO,1,2008-05,2,0.0,0.2703392103541706,0.9606989261079935,-0.10453585136418941,-0.1004274801453616,False,0.16991173020880898,0.16991173020880898,0.9606989261079935,0.23646798844361872,False,
LA-HO,1,2008-06,3,0.0,0.2716909900127283,0.9607464409443158,0.04985631826862884,0.04789928033517223,False,0.3195902703479005,0.3195902703479005,0.9607464409443158,0.26654677648312314,False,
LA-KH,1,2008-04,1,0.0,-2.0160646936810735,64.83970614058596,-0.046259884467799176,-2.9994773149895555,False,-5.015542008670629,0.0,64.83970614058596,15.152713651752196,False,
LA-KH,1,2008-05,2,0.0,-1.6485657315570967,110.65924839557128,0.18361488540159213,20.318685212779137,False,18.67011948122204,18.67011948122204,110.65924839557128,27.114194445929087,False,
LA-KH,1,2008-06,3,1.0,-1.6439896140204615,139.62586125540102,0.35515870105348707,49.58933951694264,False,47.945349902922175,47.945349902922175,139.62586125540102,38.86814348568151,False,
LA-LM,1,2008-04,1,0.0,0.16600586883794743,0.7042880118519302,-0.3070427937296636,-0.21624655874932708,False,-0.05024068991137964,0.0,0.7042880118519302,0.16458857091078286,False,
LA-LM,1,2008-05,2,0.0,0.17257669615790514,0.7050884167233377,-0.09588568071691803,-0.0676078828031312,False,0.10496881335477394,0.10496881335477394,0.7050884167233377,0.17099842350266167,False,
LA-LM,1,2008-06,3,0.0,0.1728367819727678,0.7050995204432439,0.06151263776429908,0.04337253138880625,False,0.21620931336157406,0.21620931336157406,0.7050995204432439,0.19102185837186253,False,
LA-LP,1,2008-04,1,33.0,18.877355187647154,38.29165137978832,-0.116477099112228,-4.460100472934486,False,14.41725471471267,14.41725471471267,38.29165137978832,12.477293213292944,False,
LA-LP,1,2008-05,2,116.0,18.102771419400455,39.92139329047611,0.0974484835256712,3.8902792363888024,False,21.993050655789258,21.993050655789258,39.92139329047611,71.73240005725303,False,
LA-LP,1,2008-06,3,160.0,17.79040337715438,40.07855954834676,0.24855471709188995,9.961715029989794,False,27.752118407144174,27.752118407144174,40.07855954834676,109.646188303751,False,
LA-OU,1,2008-04,1,0.0,4.0827751593962237e-07,0.5633573293146457,-0.07863916420237478,-0.04430194952458574,False,-0.0443015412470698,0.0,0.5633573293146457,0.13165377826068514,False,
LA-OU,1,2008-05,2,0.0,-0.010784164695711676,0.5924660086086837,0.04198363066526882,0.024873874087152952,False,0.014089709391441276,0.014089709391441276,0.5924660086086837,0.13858999926210855,False,
LA-OU,1,2008-06,3,0.0,3.1169234951389235e-07,0.7247477635997234,0.3227794597139994,0.23393369156364807,False,0.23393400325599759,0.23393400325599759,0.7247477635997234,0.19923487898983544,False,
LA-PH,1,2008-04,1,,0.037263806389440456,0.3884530341822674,-0.21807550510816895,-0.08471209164009878,False,-0.04744828525065833,0.0,0.3884530341822674,,False,
LA-PH,1,2008-05,2,,0.037263806440704525,0.3884530341995679,0.006034016670824413,0.0023439320841925184,False,0.039607738524897046,0.039607738524897046,0.3884530341995679,,False,
LA-PH,1,2008-06,3,,0.03726380644039279,0.38845303421199473,0.1718125843088753,0.06674111969058677,False,0.10400492613097956,0.10400492613097956,0.38845303421199473,,False,
LA-SL,1,2008-04,1,2.0,5.698058027008456,13.025327792893624,-0.1290272945341348,-1.6806228055373376,False,4.017435221471119,4.017435221471119,13.025327792893624,3.168363199570713,False,
LA-SL,1,2008-05,2,105.0,6.025438329304205,14.536195232205829,0.06558757675525725,0.9533938205217044,False,6.978832149825909,6.978832149825909,14.536195232205829,89.81999791577906,False,
LA-SL,1,2008-06,3,226.0,6.174285523348434,14.921832157101784,0.2069876646639566,3.0886351907060283,False,9.262920714054463,9.262920714054463,14.921832157101784,208.31833701546074,False,
LA-SV,1,2008-04,1,0.0,6.134848383008844,215.5552457286874,0.20483666266241846,44.153617154441854,False,50.2884655374507,50.2884655374507,215.5552457286874,55.033521141393976,False,
LA-SV,1,2008-05,2,1.0,21.4969700231047,329.25670049461996,0.38628197801407393,127.18592954144931,False,148.68289956455402,148.68289956455402,329.25670049461996,102.93761968548274,False,
LA-SV,1,2008-06,3,10.0,53.563041180923975,413.7805186935503,0.4550477460903158,188.28989240758182,False,241.85293358850578,241.85293358850578,413.7805186935503,147.21190106056915,False,
LA-VT,1,2008-04,1,4.0,18.685443161432634,153.31154803778543,0.1684672846871005,25.827980209101682,False,44.51342337053431,44.51342337053431,153.31154803778543,40.07449152678585,False,
LA-VT,1,2008-05,2,17.0,19.081639603228,222.5285107848952,0.3893375573625932,86.63870683252657,False,105.72034643575456,105.72034643575456,222.5285107848952,65.93122568959114,False,
LA-VT,1,2008-06,3,60.0,36.16065182233108,275.30948330428737,0.48037941742378626,132.25300920095717,False,168.41366102328826,168.41366102328826,275.30948330428737,81.15337665828974,False,
LA-XA,1,2008-04,1,0.0,11.326357840841244,43.83059131038296,-0.09880476978726548,-4.330671484062107,False,6.995686356779137,6.995686356779137,43.83059131038296,10.687490109803173,False,
LA-XA,1,2008-05,2,2.0,15.00037299717875,46.21213428787435,0.06861331483514783,3.1707677190980528,False,18.171140716276803,18.171140716276803,46.21213428787435,13.034325312450875,False,
LA-XA,1,2008-06,3,6.0,16.41757865200633,46.4960498562039,0.201593609262199,9.373306506947293,False,25.79088515895362,25.79088515895362,46.4960498562039,14.176717937558513,False,
LA-XE,1,2008-04,1,0.0,0.48528207957358643,1.8955775743908212,-0.2465887885287916,-0.46742817763137795,False,0.017853901942208483,0.017853901942208483,1.8955775743908212,0.4430540440839974,False,
LA-XE,1,2008-05,2,0.0,0.6741022025684368,2.039907403372344,-0.08609738728989665,-0.17563069774367612,False,0.49847150482476066,0.49847150482476066,2.039907403372344,0.525069484510126,False,
