province,split,month,h,actual,stage1_mean,stage1_se,stage2_zhat,stage2_correction,stage2_abstained,final_mean_unclipped,final_mean,final_se,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-0.1423776736784988,-2.763657500924702,False,1.3402513978056838,1.3402513978056838,19.410750502675594,4.68136264694388,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-0.09183935525108369,-1.8159780008836717,False,2.9861439116528383,2.9861439116528383,19.7734184426588,4.640564954817077,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-0.06441864804383099,-1.27576980289554,False,3.6451416404707233,3.6451416404707233,19.80435544110605,4.895082056635965,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.12465532060770834,-0.23392100040392208,False,0.24670919558294516,0.24670919558294516,1.8765424473141747,0.5575803391650271,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.127990775684624,-0.25654590012361567,False,0.4001163020321994,0.4001163020321994,2.0044092923989947,0.5001786931436147,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.14772135606028128,-0.2988563818828988,False,0.42227798089578134,0.42227798089578134,2.023108843930076,0.507826409614166,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-0.18684565488144428,-5.991361334581781,False,-1.4661220553044716,0.0,32.065831760355195,8.727772915259882,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-0.2176862276265214,-8.376212160832704,False,1.8082611369525203,1.8082611369525203,38.4783743655274,9.271239225760565,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-0.22458827006304785,-9.211601786303094,False,7.873666389675977,7.873666389675977,41.01550710425417,10.043601909216278,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-0.1418120849027333,-9.07487402982205,False,37.66319685190398,37.66319685190398,63.99224745934991,22.54734130386307,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-0.19736595003084667,-15.476042763364784,False,47.824158050710096,47.824158050710096,78.41293171869822,27.162705441226585,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-0.08252241243389623,-7.01136748618404,False,65.91944576371982,65.91944576371982,84.96319096100622,23.02446469063155,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.15394841656670605,-0.14956972983727868,False,0.08020172659214608,0.08020172659214608,0.9715574422454025,0.22968784251540506,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.1491085970842852,-0.1451101869311316,False,0.13688405931105363,0.13688405931105363,0.9731845766686849,0.23509675912874686,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.11270665979276333,-0.1096898381217899,False,0.16876361519783617,0.16876361519783617,0.9732329777448774,0.23908533047830155,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-0.019217646225919465,-1.2633015010170703,False,10.151740989752163,10.151740989752163,65.73653641897177,15.986496402273296,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,0.030554971806630502,3.4292047364967373,False,12.727013951716046,12.727013951716046,112.23066276083395,26.802899327692174,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,0.05930656250868481,8.395762120587957,False,18.086270420959227,18.086270420959227,141.56548222396952,34.00372009947835,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.13642028067890652,-0.09731181307997859,False,0.08869798698600938,0.08869798698600938,0.7133236539002743,0.17109447728322635,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.0964519377827728,-0.06880355721366448,False,0.11774304295286524,0.11774304295286524,0.7133455148264882,0.17444090321490913,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.0656307899307993,-0.046817433222511105,False,0.13973071607932136,0.13973071607932136,0.7133455695394665,0.17758977299480563,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-0.21160851458381566,-8.211708096351249,False,5.75260951778686,5.75260951778686,38.80613269509383,9.408380725133586,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-0.20344981274684754,-8.230540231816866,False,8.307366737675467,8.307366737675467,40.45489214609463,10.035917827912133,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-0.19691999103188454,-7.997735036533764,False,9.275053198329012,9.275053198329012,40.61413467786925,11.06897537484123,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,-0.034391816001106,-0.019647133960419293,False,-0.017609041594662197,0.0,0.5712735250673434,0.13350375344705884,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,-0.002234581717710768,-0.0013425223394473223,False,-0.0005597165038991009,0.0,0.6007935752838246,0.1404024409109691,False,
