province,n,two_se,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12
LA-AT,117,0.1849000654084097,0.007554826885887356,-0.10432421354213856,0.022868291044723224,0.03675892908066691,0.024212059459415843,-0.010017860449934678,-0.048244939255402595,-0.015776339974390298,-0.01877643426509327,-0.03327652863347346,-0.012171925063297902,-0.008924636631110445
LA-BK,117,0.1849000654084097,-0.00014731817287639553,-0.12197210539764922,-0.3474271955282415,-0.034924802687236516,0.019644319505913894,-0.18592175583135295,0.06499370884724005,0.0946259298898151,0.1678387849858086,-0.12329114417264414,-0.07925629405964203,-0.0042992523835500545
LA-BL,117,0.1849000654084097,0.10044918805778326,-0.06126857615794343,-0.0660782296804803,0.13411549888642674,-0.14092200114952108,-0.08902350191772107,-0.11632210019017834,-0.005783955084497044,-0.06211241262483835,0.14302330852761097,0.0817720358195766,0.0689637705236715
LA-CH,117,0.1849000654084097,0.09139666189052592,-0.08736031350762735,-0.009298115548472438,-0.09967374691765173,-0.022169940099395838,-0.19846770637841402,-0.18879652070291045,-0.10553683428151564,0.1445416349650486,0.09722126946151788,0.0325903787886642,0.06293267490468848
LA-HO,117,0.1849000654084097,0.004981024660133892,0.06128838255913641,-0.049289450415971006,-0.07178088270857864,-0.010746823951168806,-0.017325958859528055,-0.02148667786796852,0.09457593478593554,-0.0582609192929213,-0.08943173437502379,-0.086752704668202,-0.020299071612967762
LA-KH,117,0.1849000654084097,-0.023767430243741457,-0.1692021284717419,-0.19887266638159629,-0.0026151784331674,-0.08603484071155829,-0.0166446270197483,0.03699640780932279,-0.015714432129520402,-0.13039007777256037,0.08926104675063659,0.09734158009148236,-0.00040455875967795066
LA-LM,117,0.1849000654084097,0.032190973583057766,0.0046411412787123055,0.056630979693413186,0.0877846230172319,0.19815231360673727,-0.06409849966153375,-0.0493008524170907,-0.03952658033717032,-0.053226835391167786,-0.059964463317192435,-0.05187492723045912,-0.005523944349059401
LA-LP,117,0.1849000654084097,0.024255045046516203,-0.06215771199870522,-0.09304968399392882,-0.10545578345750213,-0.03216514830712699,0.047805329806083485,-0.049698415951177764,-0.16538946785229533,0.04715223462100147,0.09181672875102145,0.11548446368183665,-0.012694714164523798
LA-OU,117,0.1849000654084097,0.0049162505991334204,0.015505073701932763,-0.005956697424506246,-0.018130383778897863,-0.019457324571822046,-0.017368280138868663,0.018842227526986714,-0.01991614638329684,0.03022270202733231,-0.009012869303403039,0.001723935883021203,-0.0018389050543827523
LA-PH,104,0.19611613513818404,-0.005690390254823228,-0.011199021129749178,-0.011200737658164275,-0.011207048514250018,-0.011217796763106901,-0.01123283596746022,-0.011252027052701823,-0.011274565133622861,-0.011302529765060118,-0.011334310846311724,-0.011333455675208463,-0.00473974437119107
LA-SL,117,0.1849000654084097,0.009078799861098516,-0.07018205258004619,0.03778193719433653,0.04000918621813218,-0.09999248067405415,-0.18101816033219864,-0.12479888682203139,-0.09980888065709946,0.070047246232279,-0.017526937507471654,0.1521777230957329,-0.01274857172664503
LA-SV,117,0.1849000654084097,0.0010550135809060325,-0.00907479214408211,-0.21259882794808785,-0.17254399722503935,-0.0754251195988007,-0.06535198197733295,0.012986277676061718,-0.07098388310657264,0.031851566386322056,-0.05416426481691041,0.13113876337196523,-0.015982454391810747
LA-VT,117,0.1849000654084097,0.006781593725374106,0.03268462155420041,-0.14313206922743757,-0.07752219319218812,-0.178249878965028,-0.10124434855411135,-0.07231745690956465,-0.09539548231585325,0.10114502437842172,-0.012945402748604565,0.07423623577665221,0.033021588409164984
LA-XA,117,0.1849000654084097,-0.07212216525953868,0.151120040899797,0.050649404983862,-0.03076065939123121,0.014365341708471365,-0.10032513116781235,0.3318251130017657,-0.15597476131984078,0.027300528058521747,-0.06666279941294294,-0.004781242469518512,-0.006012206495411864
LA-XE,113,0.18814417367671946,0.14307154640651704,-0.1941140980870593,-0.014502985835351749,-0.036261693819386036,0.013555612595149048,-0.005621113442546383,-0.06453415987351613,0.047481861745496866,-0.039837205598843,-0.0034699148848318932,-0.029207038280762185,1.246376324826679e-05
LA-XI,117,0.1849000654084097,0.05675234189359709,-0.18651862972576752,0.11427637635600604,-0.12184275697084916,0.0003991970609522798,0.00037058430788517924,0.0003435287139943164,0.00031811508904479183,0.0009093286726961798,-0.011598853465126848,0.021064956386153293,0.0023924358125735567
LA-XN,72,0.23570226039551587,-0.023777636789113925,0.005346389955951491,-0.027445961565605317,-0.02934052855906985,-0.013144187499154355,-0.031652165065718135,-0.019455701948555046,-0.024915222199135504,-0.03290789403532578,0.03690820937262829,-0.035070514052079484,-0.011647294827027725
