feature_set,family,n_features,skill_winsorised_z,skill_raw_z,skill_h1,skill_h2,skill_h3,mean_crps_corrected,pct_change_crps_vs_stage1,coverage_90,share_final_mean_negative,mean_abs_correction_in_z,permutation_skill_mean,permutation_skill_p95,better_than_chance
level,ridge,3,0.13622538854533317,0.011023580683542034,0.1208697066458394,0.10585540815876515,0.16948980774854683,25.833332183395328,-0.8423491973557289,0.8436657681940701,0.01078167115902965,0.3216609205878715,-0.014628016894272471,0.0007001044011690385,True
level,ridge_strong,3,0.1355703418184887,0.010219851216879405,0.12137239643984876,0.10732722208454104,0.16645331841338173,25.844973279503602,-0.7976664698365039,0.8436657681940701,0.01078167115902965,0.29834002166938306,-0.01643299740444311,0.004455412486058332,True
level,random_forest,3,0.035791143320422214,0.0038631018452379706,-0.026489203983235177,0.006861355938271418,0.09749799816125837,26.11307146133162,0.23139109446848916,0.8436657681940701,0.026954177897574125,0.23688933868052647,-0.02606219586536569,0.002922156101228262,True
level,gradient_boosting,3,-0.020183286758809427,0.003871182156480746,-0.055846733757024536,-0.07642143156404124,0.04596829654158752,26.247124064705172,0.7459333587081649,0.8328840970350404,0.07277628032345014,0.3342092917110393,-0.05913394591125858,-0.026738971686523498,True
incidence_recent_level_month,random_forest,21,-0.024135368753719355,0.0037491635989914673,-0.1199956273598426,-0.053691717697409214,0.059212535743897954,26.771196136403912,2.7575110797705515,0.8355795148247979,0.026954177897574125,0.202076637920824,-0.02106384114916917,0.007582089209061726,False
all_no_climate,random_forest,24,-0.018392765169597203,0.003782441231197975,-0.10430456199367955,-0.04101056341920817,0.05329817549012694,26.81498258674167,2.9255792763801063,0.8382749326145552,0.018867924528301886,0.20767999624382857,-0.01497775918399189,0.006778102157793069,False
recent_national_level,random_forest,8,-0.044715856547473454,0.003729543472692165,-0.15223007078708295,-0.07488683664612283,0.04645112790388839,27.211572732672014,4.4478353648613,0.8301886792452831,0.016172506738544475,0.24491644609327715,-0.020405182370950604,0.005103003481397663,False
recent_national_level,ridge_strong,8,0.15629114177445913,0.014386639036866988,0.11620297163326165,0.1051814972481726,0.22124645289458178,27.215855852768204,4.464275525341905,0.8247978436657682,0.0646900269541779,0.4272030830328622,-0.02624104304155884,0.010192204680511118,True
susceptibility_reporting,ridge_strong,4,-0.05398539641824418,-0.00042488468032919613,-0.08539483319510399,-0.06739586605134096,-0.02378139676995783,27.238484190203145,4.551131249786951,0.8301886792452831,0.018867924528301886,0.13922072313289702,-0.01154517892158126,0.005491271996446085,False
all,random_forest,30,-0.1042708512080548,0.0016221659196747895,-0.20729004911840176,-0.12766600655987403,-0.021198919278020867,27.314852492193808,4.844260350106741,0.8301886792452831,0.026954177897574125,0.21505214464385655,-0.016497922558717557,0.015039986214702808,False
susceptibility_reporting,ridge,4,-0.05818922084955558,-0.0005093047102595616,-0.09019888328313441,-0.07119380853383084,-0.027922377819024957,27.382161272146934,5.102615735744296,0.8301886792452831,0.029649595687331536,0.15057870631975248,-0.009332378324783867,0.012407823620868733,False
incidence_anomalies,ridge_strong,3,-0.06037311248302624,-0.00016582003634368903,-0.09317877668178642,-0.06887492521523142,-0.033102477636272054,27.46110421433342,5.405627234187087,0.8247978436657682,0.029649595687331536,0.14208645060692834,-0.0165574346273159,-0.0019528685410901807,False
all,gradient_boosting,30,-0.14850588930550623,0.003358218523250578,-0.23128264430144818,-0.2070254640210638,-0.05090214872417942,27.489581192866666,5.514932153632549,0.8194070080862533,0.02425876010781671,0.3289909778937117,-0.049539855558109115,0.008264036602287727,False
recent_residuals,ridge_strong,3,-0.127182361380076,-0.00011293370277831727,-0.18157909520650173,-0.12239180589675525,-0.09663523873764723,27.549720611505492,5.745768943502643,0.8113207547169812,0.04851752021563342,0.22460228110777405,-0.010008124033171436,0.012280159569822372,False
incidence_anomalies,ridge,3,-0.06425465400907626,-0.00017941364169238305,-0.09850724017935564,-0.0728253741809084,-0.036018975269078934,27.56417483510177,5.801249469429698,0.8247978436657682,0.03504043126684636,0.1489749687078297,-0.013456317145437364,0.0022818684549428293,False
recent_residuals,ridge,3,-0.1379299790569528,8.070832909157222e-05,-0.20307560914528677,-0.12943095131435234,-0.10349203749350244,27.64567088377727,6.114060711858373,0.8113207547169812,0.05390835579514825,0.2488091322120021,-0.010985644286669323,0.006887225216504882,False
recent_residuals,random_forest,3,-0.17782212485805848,-0.002652686180045105,-0.2332218423623753,-0.19431712604335893,-0.13010895664353095,27.786758892677746,6.655607401216005,0.8194070080862533,0.03773584905660377,0.23936992049839004,-0.023608861527674267,0.0011182904780677287,False
recent_national_level,gradient_boosting,8,-0.11256521837063471,0.004052835835217761,-0.2082540408572755,-0.15158174929942847,-0.021976833001970064,27.791433031631584,6.67354843317028,0.8247978436657682,0.029649595687331536,0.3718743237903921,-0.07690964433240342,-0.010524430640563267,False
susceptibility_reporting,random_forest,4,-0.16770164519408848,-8.8287447610913e-05,-0.23210492525786575,-0.2079295811304549,-0.09588122932442,27.79604974209719,6.691269033863815,0.8247978436657682,0.026954177897574125,0.1940964251591627,-0.02899356455817153,-0.007787504728820229,False
month_dummies_h,random_forest,13,-0.04482848814896756,0.0032457548322955,-0.15694917016515197,-0.060108323193286406,0.03767329025099708,27.803250414401187,6.718907812508215,0.8221024258760108,0.07547169811320754,0.15588052157049456,-0.014745699529652023,0.009110980962529628,False
calendar_only,ridge_strong,2,-0.0714890066716738,0.0014701189934938075,-0.14454448619423665,-0.09390780241163488,-0.008051746154372541,27.833979497259605,6.836857121018986,0.8194070080862533,0.0889487870619946,0.18541657749360432,-0.01088108164748179,0.0008758957612672316,False
calendar_only,ridge,2,-0.07978240667221503,0.001553728824453926,-0.15896709260767006,-0.10461781247312762,-0.010606753263010527,28.053653270810596,7.680044332549875,0.8194070080862533,0.10242587601078167,0.20246277264436996,-0.0079058696393782,0.007027104482356689,False
calendar_h,ridge_strong,3,-0.06786469328047162,0.002386698059625658,-0.14100163405386512,-0.09390611612877309,-0.0015621301564996415,28.07272495505062,7.753248338624872,0.816711590296496,0.1105121293800539,0.20642086991538555,-0.00941756151116671,0.006351563791192268,False
climate_anomalies,random_forest,7,-0.1091067392568641,-0.00010813033482448553,-0.12356488358799012,-0.1300659746853432,-0.08371782097830338,28.079271431385628,7.778376077075573,0.816711590296496,0.0889487870619946,0.1853167462442257,-0.022538741965490553,0.002925886413651042,False
recent_national_level,ridge,8,0.15236572525038572,0.016221091494634687,0.11019615395026461,0.09550202844867017,0.22310189038855144,28.137650150103113,8.002454665304112,0.8355795148247979,0.09703504043126684,0.518679215809451,-0.038729601846508685,0.00039012273945477054,True
incidence_anomalies,random_forest,3,-0.059471963681879014,0.005452202643889348,-0.23750231613236772,-0.08398910175328989,0.0717263067965298,28.23803353043618,8.387762302073218,0.8221024258760108,0.05121293800539083,0.24452080637904114,-0.018581832610546294,0.004714733480302007,False
lag12_calendar (earlier candidates' input),ridge_strong,3,-0.16869433316581572,-0.008470664026849928,-0.1956078958996912,-0.166214761088592,-0.15366566819618566,28.26616768316652,8.495751332379431,0.8194070080862533,0.09433962264150944,0.19839329323437735,-0.008227588682984932,0.012947617071890311,False
calendar_h,ridge,3,-0.0764887739029192,0.002556041738921877,-0.15712829069361312,-0.1046190077218907,-0.003837263520126699,28.33461205548606,8.758465531294483,0.816711590296496,0.12398921832884097,0.22728953147062492,-0.01210595028569016,0.001909179014669338,False
susceptibility_reporting,gradient_boosting,4,-0.3075262984709548,-0.0031607042737695767,-0.39525491069362295,-0.37502396317071574,-0.19982903345864012,28.410241477230404,9.048758542606121,0.8328840970350404,0.09433962264150944,0.26594926400538693,-0.061744994134464326,-0.006774639735472215,False
incidence_recent_level_month,gradient_boosting,21,-0.14186808625950875,0.004442121055715287,-0.30236503598616316,-0.17549503037818304,-0.014639024467731687,28.42299480526947,9.09771041762139,0.8086253369272237,0.0646900269541779,0.37312367351075615,-0.0721233238855999,-0.021305646971909356,False
all_no_climate,gradient_boosting,24,-0.1482440174273174,0.0037039646292811312,-0.2553625513576563,-0.19999618627207982,-0.040562463175933594,28.524205523162294,9.486193674487186,0.8113207547169812,0.0431266846361186,0.3714299033399667,-0.05903986412487876,-0.007204166083919239,False
lag12_calendar (earlier candidates' input),ridge,3,-0.18817880104750162,-0.009385026035701127,-0.2136710748609194,-0.18483635119674524,-0.17471577221667833,28.528263298467845,9.501768880346306,0.8194070080862533,0.11320754716981132,0.216034586749408,-0.014645746414026906,0.010168413960571963,False
recent_plus_national,ridge_strong,4,-0.17559248743975964,-0.0006539268654794927,-0.24192968052704544,-0.1704232455799426,-0.13781738527992604,28.669965595966584,10.045673431008328,0.8113207547169812,0.05121293800539083,0.2698379478385274,-0.01109222345743006,0.010451926735170144,False
lag12_calendar (earlier candidates' input),random_forest,3,-0.07667968387583879,0.0016434261986132404,-0.1951806808488068,-0.10865419653473807,0.022809596252536646,28.760441887662797,10.392954086645068,0.8113207547169812,0.1105121293800539,0.20610242654285507,-0.020534991562486362,-0.0005420914615976004,False
incidence_anomalies,gradient_boosting,3,-0.14297942962586108,0.003920352128613969,-0.4264099992952741,-0.171930443599162,0.058062000975664385,28.92168050059609,11.011846065567504,0.816711590296496,0.08086253369272237,0.3330620672456314,-0.05774086817018949,0.0068459716134521035,False
recent_plus_national,ridge,4,-0.19591990593629638,-0.0006976104213280987,-0.2727560467718462,-0.18722638238828448,-0.15426836945372724,28.92893545498924,11.039693198457606,0.8032345013477089,0.06199460916442048,0.294764918016573,-0.01812593948067747,0.006654962085233987,False
recent_residuals,gradient_boosting,3,-0.34748934684884736,-0.003919268466204606,-0.3910323109798892,-0.3341015548547992,-0.33045793924130407,28.957360274911156,11.148797914331505,0.7978436657681941,0.04582210242587601,0.33306384220257057,-0.05473186602699369,-0.012965985491460294,False
recent_plus_national,random_forest,4,-0.22131636293738666,-0.0028087339341240636,-0.2657825656702457,-0.22304027511409696,-0.19196487218686586,28.996027018491542,11.29721482897497,0.8086253369272237,0.03773584905660377,0.269887334384032,-0.0325343200764486,-0.0026642577727523983,False
calendar_h,random_forest,3,-0.09596059834321302,0.00592707942225057,-0.2510926407301399,-0.13415029489766184,0.03143298581012266,29.827221349938295,14.487638607124289,0.816711590296496,0.1509433962264151,0.2728314133572259,-0.030552095535259883,0.009346799480636938,False
recent_plus_national,gradient_boosting,4,-0.34270882263057345,-0.0035774921818723104,-0.35710871790281673,-0.32474461103714614,-0.34759155629183147,29.986822691355254,15.10024614716237,0.7951482479784366,0.029649595687331536,0.37769392696010695,-0.05458347051146283,-0.003756336288757973,False
calendar_only,random_forest,2,-0.11366785873389373,0.005008311528894582,-0.29551192306381724,-0.15105061801888664,0.029926694996425862,30.027323675459076,15.255703538815142,0.8113207547169812,0.15363881401617252,0.28159715222448695,-0.020796433921476686,0.019451219330683726,False
all_no_climate,ridge_strong,24,0.00029400391765044276,0.0076921696485678925,-0.12172150674274618,-0.03815619585816732,0.10702750803512029,30.171138752165298,15.807717698465716,0.8113207547169812,0.14555256064690028,0.4725759915187894,-0.0852369474913909,-0.01530735738815198,True
all,ridge_strong,30,-0.02467751264456508,0.009398049652967089,-0.14979999355215967,-0.05801982504928849,0.08004558570894771,30.3033996613238,16.315382793780394,0.8005390835579514,0.14016172506738545,0.5140082538287658,-0.14744826887831797,-0.042060788135200096,True
incidence_recent_level_month,ridge_strong,21,0.04959433384958367,0.014862971393709623,-0.07342790469118365,-0.008017007263514841,0.171846038848406,30.368184780861547,16.564051460088198,0.8059299191374663,0.14555256064690028,0.4732913449932059,-0.08975223402857861,-0.018573711978024928,True
lag12_calendar (earlier candidates' input),gradient_boosting,3,-0.14789928105514139,-0.0001553427134877161,-0.38010501067234337,-0.18058742899662272,0.023774949190591754,31.129323415381172,19.485576194036742,0.8274932614555256,0.15902964959568733,0.3383995701593453,-0.06231991231850485,-0.023902686694164142,False
calendar_only,gradient_boosting,2,-0.13950911015930245,0.006864991635622264,-0.3219251064220985,-0.17941919052815591,0.006408916316451907,31.131223369660496,19.492868904153763,0.8140161725067385,0.16981132075471697,0.3193870832440297,-0.03662603611922328,0.008862406251521102,False
incidence_recent_level_month,ridge,21,0.032122107370487596,0.015476738754538144,-0.08627196388154212,-0.03021660915964719,0.15513033497931905,31.18794804954004,19.710598694467183,0.8059299191374663,0.1725067385444744,0.5421275548283353,-0.132420705772413,-0.059737920817942824,True
calendar_h,gradient_boosting,3,-0.1405976166356666,0.007297799280605477,-0.3418486259448341,-0.1631230186784447,0.003681838838122675,31.20949704035968,19.793311497123614,0.8113207547169812,0.1752021563342318,0.3274139960961157,-0.04975536101227015,0.0056796905243355865,False
climate_anomalies,gradient_boosting,7,-0.21220042413343498,-0.0032254387903318804,-0.19589157298662752,-0.2409087726418131,-0.2001744450012406,31.370980837730915,20.413144582392967,0.8140161725067385,0.14285714285714285,0.30725519453868017,-0.06222532188826494,-0.017158669575242397,False
month_dummies_h,gradient_boosting,13,-0.14918321575665305,0.007328589216352044,-0.35770951881747326,-0.1873995726770481,0.011867879779539403,31.383762595968236,20.462205582768078,0.8140161725067385,0.16711590296495957,0.3334730890427298,-0.04690017952838381,0.004906161062217243,False
month_dummies_h,ridge_strong,13,-0.15494186591816872,0.006794817389442431,-0.37762296778461635,-0.1938961371902792,0.015599530596354327,31.438535764063293,20.67244476665529,0.8113207547169812,0.18059299191374664,0.3481908467694546,-0.06358467417478507,-0.0015955494883054004,False
climate_anomalies,ridge_strong,7,-0.24915440065967753,-0.005856399318450833,-0.28708339048703757,-0.2379575931492377,-0.2339577175041858,31.69435015525787,21.65435270993901,0.8113207547169812,0.19137466307277629,0.36304437193518857,-0.02927536222083573,0.0005432891226455022,False
month_dummies_h,ridge,13,-0.17601457691549172,0.007234627075778599,-0.4161343014135288,-0.21652695201774597,0.006722939103778747,32.10480680171576,23.22983343113131,0.8086253369272237,0.19137466307277629,0.3782918310390769,-0.06852014847668748,-0.024379597019203635,False
all_no_climate,ridge,24,-0.07789347650488887,0.007669114932939314,-0.2562380719398578,-0.13362461181028373,0.07774916778191543,32.33146970652389,24.099847450434787,0.7924528301886793,0.20485175202156333,0.6064712017935435,-0.16210231427239669,-0.034452214383939854,False
all,ridge,30,-0.14182836482385874,0.012069145134191439,-0.3150855376220545,-0.2218899762605211,0.02950878218054509,35.7028103580015,37.0402694092732,0.784366576819407,0.2668463611859838,0.7020954357405695,-0.5407483585026177,-0.13384335551563029,False
climate_anomalies,ridge,7,-0.4558080493791592,-0.011264074547878034,-0.5205737479588783,-0.4469416843893803,-0.42189479365047955,36.934689734247094,41.76866697539335,0.7601078167115903,0.2210242587601078,0.502393555975347,-0.049178731413194204,-0.0053833209615956,False
