rank,tier,combination,kind,fork,child,our_model,skill_score,crps_ours,crps_reference,mae_ours,coverage_10_90_ours,coverage_25_75_ours,n_cells,n_locations,n_splits,paired_mean_diff_vs_reference,paired_se_cluster_split,resolvable_difference_floor,beats_reference,beats_all_baselines,candidate_exists,delta_skill_vs_main,delta_skill_additive,interaction,conclusion_file,why_not
1,1,main,main,-,-,ensemble,0.14849796928359138,18.816872064690028,22.098446493261456,23.214285714285715,0.862533692722372,0.7493261455525606,371,16,8,-3.281574428571429,1.725702872552236,0.565277280323451,True,True,True,0.0,,,analysis/results/main/conclusion.json,
2,1,aggregate_caseWeighted,scoring,analysis/04_score/02_aggregate,c_caseWeighted,ensemble,0.23201514155208391,88.48423996151656,115.21612566729722,120.65373037181678,0.7010007322431047,0.4222601903832072,371,16,8,-26.731885705780652,9.320806335949788,5.502194828980555,True,False,True,0.083517,,,analysis/results/aggregate_caseWeighted/conclusion.json,
3,1,aggregate_populationWeighted,scoring,analysis/04_score/02_aggregate,b_populationWeighted,ensemble,0.2288042945821136,28.576665035953052,37.05501059613431,34.24994874246968,0.9199400718479612,0.7729833366562269,371,16,8,-8.47834556018126,3.693318274363823,0.834831388328218,True,True,True,0.080306,,,analysis/results/aggregate_populationWeighted/conclusion.json,
4,1,trainingWindow_from2004,setup,analysis/02_setup/02_trainingWindow,b_from2004,ensemble,0.12662283892090997,18.75066177897574,21.46914599393531,25.359838274932613,0.8355795148247979,0.6307277628032345,371,16,8,-2.718484214959569,1.246639628532917,0.09748572776280336,True,True,True,-0.021875,,,analysis/results/trainingWindow_from2004/conclusion.json,
5,1,provinces_reportingOnly,setup,analysis/02_setup/03_provinces,b_reportingOnly,ensemble,0.18605112567234483,18.843148671159028,23.15028531334232,23.483827493261455,0.862533692722372,0.77088948787062,371,16,8,-4.3071366421832895,1.854750685942251,1.717378385444744,True,True,True,0.037553,,,analysis/results/provinces_reportingOnly/conclusion.json,
6,1,popColumn_backCast,setup,analysis/02_setup/01_population,b_backCast,ensemble,0.13465475700653085,19.011371735849057,21.969695783018867,23.704851752021565,0.8652291105121294,0.7681940700808625,371,16,8,-2.958324047169812,1.7258922025121275,0.20546538544474569,True,True,True,-0.013843,,,analysis/results/popColumn_backCast/conclusion.json,
7,1,provinces_mergeVientiane,setup,analysis/02_setup/03_provinces,c_mergeVientiane,ensemble,0.17137533295369134,19.006490361185985,22.937393873315365,23.71563342318059,0.8652291105121294,0.7735849056603774,371,16,8,-3.930903512129379,1.7570561751811702,4.599666983827492,True,True,True,0.022877,,,analysis/results/provinces_mergeVientiane/conclusion.json,
8,1,retrain_everySplit,setup,analysis/02_setup/04_retrain,b_everySplit,ensemble,0.16511284434582874,18.551604981132076,22.22049393800539,23.79919137466307,0.8679245283018868,0.7681940700808625,371,16,8,-3.6688889568733143,1.8017229489983984,0.6425781859838271,True,True,True,0.016615,,,analysis/results/retrain_everySplit/conclusion.json,
9,1,climatology_frozenWindow,baseline,analysis/03_models/01_baselines/02_climatology,b_frozenWindow,ensemble,0.14600826127348043,18.87189074393531,22.098446493261456,23.149595687331537,0.862533692722372,0.7574123989218329,371,16,8,-3.226555749326145,1.7035186116610057,0.565277280323451,True,True,True,-0.00249,,,analysis/results/climatology_frozenWindow/conclusion.json,
10,1,persistence_negBinomialFloor,baseline,analysis/03_models/01_baselines/01_persistence,b_negBinomialFloor,ensemble,0.12056545328384405,19.434137274932613,22.098446493261456,23.522911051212937,0.816711590296496,0.6738544474393531,371,16,8,-2.6643092183288393,1.3509959300480603,0.565277280323451,True,True,True,-0.027933,,,analysis/results/persistence_negBinomialFloor/conclusion.json,
