combination,kind,planned_seconds,actual_seconds,ratio_actual_over_planned,error_seconds
retrain_everySplit,setup,1202.9,2226.2,1.851,1023.3
provinces_mergeVientiane,setup,1202.9,1148.3,0.955,-54.6
popColumn_backCast,setup,1202.9,970.2,0.807,-232.7
provinces_reportingOnly,setup,1202.9,835.9,0.695,-367.0
trainingWindow_from2004,setup,1202.9,694.0,0.577,-508.9
weighting_crpsWeighted,candidate,90.0,172.3,1.914,82.3
persistence_negBinomialFloor,baseline,103.6,138.6,1.338,35.0
climatology_frozenWindow,baseline,100.7,136.9,1.359,36.2
fitTime_refitAtPredict,candidate,156.2,131.9,0.844,-24.3
population_ignored,candidate,83.1,121.5,1.462,38.4
head_quantileEnsemble,candidate,84.0,99.2,1.181,15.2
population_covariate,candidate,83.7,92.0,1.099,8.3
features_richCalendar,candidate,81.9,85.9,1.049,4.0
yearVariance_shared,candidate,76.3,85.6,1.122,9.3
observation_negBinomial,candidate,80.9,83.5,1.032,2.6
autoregressive_lag3,candidate,84.2,83.5,0.992,-0.7
covariates_lagged,candidate,84.8,82.5,0.973,-2.3
observation_zeroInflated,candidate,82.9,81.7,0.986,-1.2
covariates_rich,candidate,89.8,79.1,0.881,-10.7
family_boosted,family,72.9,56.8,0.779,-16.1
family_hierNB,family,72.9,37.5,0.514,-35.4
aggregate_caseWeighted,scoring,13.4,13.2,0.985,-0.2
aggregate_populationWeighted,scoring,13.4,12.3,0.918,-1.1
main,main,0.3,0.5,1.667,0.2
