combination,tier,kind,fork,child,our_model,weighting,skill_score,delta_skill_vs_main,inside_reference_noise_band,crps_ours,crps_reference,coverage_10_90_ours,coverage_25_75_ours,beats_reference,beats_all_baselines,paired_mean_diff_vs_reference,paired_se_cluster_split,resolvable_difference_floor,interaction
aggregate_caseWeighted,1,scoring,analysis/04_score/02_aggregate,c_caseWeighted,ensemble,c_caseWeighted,0.23201514155208391,0.083517,False,88.48423996151656,115.21612566729722,0.7010007322431047,0.4222601903832072,True,False,-26.731885705780652,9.320806335949788,5.502194828980555,
aggregate_populationWeighted,1,scoring,analysis/04_score/02_aggregate,b_populationWeighted,ensemble,b_populationWeighted,0.2288042945821136,0.080306,False,28.576665035953052,37.05501059613431,0.9199400718479612,0.7729833366562269,True,True,-8.47834556018126,3.693318274363823,0.834831388328218,
provinces_mergeVientiane__aggregate_caseWeighted,2,pair,analysis/02_setup/03_provinces+analysis/04_score/02_aggregate,c_mergeVientiane+c_caseWeighted,ensemble,c_caseWeighted,0.22392968864027973,0.075432,False,90.41046637564072,116.49777739498414,0.6932714994711577,0.4346269628183223,True,False,-26.08731101934342,9.558446380633889,4.837286954600916,-0.030962
provinces_reportingOnly,1,setup,analysis/02_setup/03_provinces,b_reportingOnly,ensemble,a_unweighted,0.18605112567234483,0.037553,False,18.843148671159028,23.15028531334232,0.862533692722372,0.77088948787062,True,True,-4.3071366421832895,1.854750685942251,1.717378385444744,
provinces_mergeVientiane,1,setup,analysis/02_setup/03_provinces,c_mergeVientiane,ensemble,a_unweighted,0.17137533295369134,0.022877,False,19.006490361185985,22.937393873315365,0.8652291105121294,0.7735849056603774,True,True,-3.930903512129379,1.7570561751811702,4.599666983827492,
provinces_reportingOnly__aggregate_caseWeighted,2,pair,analysis/02_setup/03_provinces+analysis/04_score/02_aggregate,b_reportingOnly+c_caseWeighted,ensemble,c_caseWeighted,0.16621933165524527,0.017721,True,89.2793940886014,107.07779333123833,0.693108778781222,0.4255146041819217,True,False,-17.79839924263689,11.355852830685455,1.8460354214465884,-0.103349
retrain_everySplit,1,setup,analysis/02_setup/04_retrain,b_everySplit,ensemble,a_unweighted,0.16511284434582874,0.016615,True,18.551604981132076,22.22049393800539,0.8679245283018868,0.7681940700808625,True,True,-3.6688889568733143,1.8017229489983984,0.6425781859838271,
covariates_rich,1,candidate,analysis/03_models/03_candidate/a_hierNB/02_covariates,b_rich,ensemble,a_unweighted,0.15659642771861704,0.008098,True,18.63790871428571,22.098446493261456,0.8571428571428571,0.7601078167115903,True,True,-3.4605377789757408,1.7395542117063818,0.565277280323451,
fitTime_refitAtPredict,1,candidate,analysis/03_models/03_candidate/a_hierNB/04_fitTime,b_refitAtPredict,ensemble,a_unweighted,0.15423932455866485,0.005741,True,18.689997032345012,22.098446493261456,0.8652291105121294,0.7547169811320755,True,True,-3.4084494609164415,1.7754883633817342,0.565277280323451,
head_quantileEnsemble,1,candidate,analysis/03_models/03_candidate/b_boosted/02_head,b_quantileEnsemble,ensemble,a_unweighted,0.15033166210971804,0.001834,True,18.77635030188679,22.098446493261456,0.8382749326145552,0.77088948787062,True,True,-3.3220961913746634,1.794036156957156,0.565277280323451,
