fork,stage,kind,owner,largest_abs_delta_skill,signed_delta_skill,largest_move_combination,moves_more_than_reference_noise,sensitivity_rank
analysis/03_models/03_candidate/a_hierNB/05_autoregressive,autoregressive,candidate,a_hierNB,0.000169,0.000169,autoregressive_lag3,False,17
analysis/03_models/03_candidate/b_boosted/01_features,features,candidate,b_boosted,0.000211,0.000211,features_richCalendar,False,16
analysis/03_models/03_candidate/a_hierNB/06_yearVariance,yearVariance,candidate,a_hierNB,0.001068,-0.001068,yearVariance_shared,False,15
analysis/03_models/03_candidate/b_boosted/02_head,head,candidate,b_boosted,0.001834,0.001834,head_quantileEnsemble,False,14
analysis/03_models/03_candidate/a_hierNB/03_population,population,candidate,a_hierNB,0.001963,-0.001963,population_ignored,False,13
analysis/03_models/01_baselines/02_climatology,climatology,baseline,-,0.00249,-0.00249,climatology_frozenWindow,False,12
analysis/03_models/03_candidate/a_hierNB/01_observation,observation,candidate,a_hierNB,0.005243,-0.005243,observation_zeroInflated,False,11
analysis/03_models/03_candidate/a_hierNB/04_fitTime,fitTime,candidate,a_hierNB,0.005741,0.005741,fitTime_refitAtPredict,False,10
analysis/03_models/03_candidate/a_hierNB/02_covariates,covariates,candidate,a_hierNB,0.008098,0.008098,covariates_rich,False,9
analysis/02_setup/01_population,popColumn,setup,-,0.013843,-0.013843,popColumn_backCast,False,8
analysis/02_setup/04_retrain,retrain,setup,-,0.016615,0.016615,retrain_everySplit,False,7
analysis/02_setup/02_trainingWindow,trainingWindow,setup,-,0.021875,-0.021875,trainingWindow_from2004,True,6
analysis/03_models/01_baselines/01_persistence,persistence,baseline,-,0.027933,-0.027933,persistence_negBinomialFloor,True,5
analysis/02_setup/03_provinces,provinces,setup,-,0.037553,0.037553,provinces_reportingOnly,True,4
analysis/04_score/02_aggregate,aggregate,scoring,-,0.083517,0.083517,aggregate_caseWeighted,True,3
analysis/03_models/03_candidate/c_ensemble/01_weighting,weighting,candidate,c_ensemble,0.181979,-0.181979,weighting_crpsWeighted,True,2
analysis/03_models/03_candidate,family,family,-,0.220878,-0.220878,family_hierNB,True,1
