fork,combination,child,kind,delta_skill_vs_main
analysis/02_setup/01_population,popColumn_backCast,b_backCast,setup,-0.013843
analysis/02_setup/02_trainingWindow,trainingWindow_from2004,b_from2004,setup,-0.021875
analysis/02_setup/03_provinces,provinces_mergeVientiane,c_mergeVientiane,setup,0.022877
analysis/02_setup/03_provinces,provinces_reportingOnly,b_reportingOnly,setup,0.037553
analysis/02_setup/04_retrain,retrain_everySplit,b_everySplit,setup,0.016615
analysis/03_models/01_baselines/01_persistence,persistence_negBinomialFloor,b_negBinomialFloor,baseline,-0.027933
analysis/03_models/01_baselines/02_climatology,climatology_frozenWindow,b_frozenWindow,baseline,-0.00249
analysis/03_models/03_candidate,family_boosted,b_boosted,family,-0.088432
analysis/03_models/03_candidate,family_hierNB,a_hierNB,family,-0.220878
analysis/03_models/03_candidate/a_hierNB/01_observation,observation_negBinomial,a_negBinomial,candidate,-0.004612
analysis/03_models/03_candidate/a_hierNB/01_observation,observation_zeroInflated,b_zeroInflated,candidate,-0.005243
analysis/03_models/03_candidate/a_hierNB/02_covariates,covariates_lagged,a_lagged,candidate,-5e-06
analysis/03_models/03_candidate/a_hierNB/02_covariates,covariates_rich,b_rich,candidate,0.008098
analysis/03_models/03_candidate/a_hierNB/03_population,population_covariate,b_covariate,candidate,-0.00127
analysis/03_models/03_candidate/a_hierNB/03_population,population_ignored,c_ignored,candidate,-0.001963
analysis/03_models/03_candidate/a_hierNB/04_fitTime,fitTime_refitAtPredict,b_refitAtPredict,candidate,0.005741
analysis/03_models/03_candidate/a_hierNB/05_autoregressive,autoregressive_lag3,b_lag3,candidate,0.000169
analysis/03_models/03_candidate/a_hierNB/06_yearVariance,yearVariance_shared,a_shared,candidate,-0.001068
analysis/03_models/03_candidate/b_boosted/01_features,features_richCalendar,b_richCalendar,candidate,0.000211
analysis/03_models/03_candidate/b_boosted/02_head,head_quantileEnsemble,b_quantileEnsemble,candidate,0.001834
analysis/03_models/03_candidate/c_ensemble/01_weighting,weighting_crpsWeighted,b_crpsWeighted,candidate,-0.181979
analysis/04_score/02_aggregate,aggregate_caseWeighted,c_caseWeighted,scoring,0.083517
analysis/04_score/02_aggregate,aggregate_populationWeighted,b_populationWeighted,scoring,0.080306
