pair,part,kind,fork,child,delta_skill_vs_main
provinces_reportingOnly__family_hierNB,provinces_reportingOnly,setup,analysis/02_setup/03_provinces,b_reportingOnly,0.037553
provinces_reportingOnly__family_hierNB,family_hierNB,family,analysis/03_models/03_candidate,a_hierNB,-0.220878
provinces_reportingOnly__weighting_crpsWeighted,provinces_reportingOnly,setup,analysis/02_setup/03_provinces,b_reportingOnly,0.037553
provinces_reportingOnly__weighting_crpsWeighted,weighting_crpsWeighted,candidate,analysis/03_models/03_candidate/c_ensemble/01_weighting,b_crpsWeighted,-0.181979
provinces_mergeVientiane__family_hierNB,provinces_mergeVientiane,setup,analysis/02_setup/03_provinces,c_mergeVientiane,0.022877
provinces_mergeVientiane__family_hierNB,family_hierNB,family,analysis/03_models/03_candidate,a_hierNB,-0.220878
provinces_mergeVientiane__weighting_crpsWeighted,provinces_mergeVientiane,setup,analysis/02_setup/03_provinces,c_mergeVientiane,0.022877
provinces_mergeVientiane__weighting_crpsWeighted,weighting_crpsWeighted,candidate,analysis/03_models/03_candidate/c_ensemble/01_weighting,b_crpsWeighted,-0.181979
provinces_reportingOnly__aggregate_caseWeighted,provinces_reportingOnly,setup,analysis/02_setup/03_provinces,b_reportingOnly,0.037553
provinces_reportingOnly__aggregate_caseWeighted,aggregate_caseWeighted,scoring,analysis/04_score/02_aggregate,c_caseWeighted,0.083517
provinces_mergeVientiane__aggregate_caseWeighted,provinces_mergeVientiane,setup,analysis/02_setup/03_provinces,c_mergeVientiane,0.022877
provinces_mergeVientiane__aggregate_caseWeighted,aggregate_caseWeighted,scoring,analysis/04_score/02_aggregate,c_caseWeighted,0.083517
family_hierNB__aggregate_caseWeighted,family_hierNB,family,analysis/03_models/03_candidate,a_hierNB,-0.220878
family_hierNB__aggregate_caseWeighted,aggregate_caseWeighted,scoring,analysis/04_score/02_aggregate,c_caseWeighted,0.083517
weighting_crpsWeighted__aggregate_caseWeighted,weighting_crpsWeighted,candidate,analysis/03_models/03_candidate/c_ensemble/01_weighting,b_crpsWeighted,-0.181979
weighting_crpsWeighted__aggregate_caseWeighted,aggregate_caseWeighted,scoring,analysis/04_score/02_aggregate,c_caseWeighted,0.083517
