fork,stage,kind,owner,development_largest_abs_delta_skill,holdout_largest_abs_delta_skill,development_signed_delta_skill,holdout_signed_delta_skill,development_moves_more_than_noise,holdout_moves_more_than_noise,development_sensitivity_rank,holdout_sensitivity_rank,agrees_on_whether_it_matters
analysis/03_models/03_candidate,family,family,-,0.220878,0.094917,-0.220878,-0.094917,True,True,1.0,2.0,True
analysis/03_models/03_candidate/c_ensemble/01_weighting,weighting,candidate,c_ensemble,0.181979,0.012077,-0.181979,-0.012077,True,False,2.0,6.0,False
analysis/04_score/02_aggregate,aggregate,scoring,-,0.083517,0.033544,0.083517,-0.033544,True,True,3.0,4.0,True
analysis/02_setup/03_provinces,provinces,setup,-,0.037553,0.269612,0.037553,-0.269612,True,True,4.0,1.0,True
analysis/03_models/01_baselines/01_persistence,persistence,baseline,-,0.027933,0.009196,-0.027933,-0.009196,True,False,5.0,7.0,False
analysis/02_setup/02_trainingWindow,trainingWindow,setup,-,0.021875,0.077644,-0.021875,-0.077644,True,True,6.0,3.0,True
analysis/02_setup/04_retrain,retrain,setup,-,0.016615,0.001261,0.016615,0.001261,False,False,7.0,15.0,True
analysis/02_setup/01_population,popColumn,setup,-,0.013843,0.005413,-0.013843,0.005413,False,False,8.0,13.0,True
analysis/03_models/03_candidate/a_hierNB/02_covariates,covariates,candidate,a_hierNB,0.008098,0.024397,0.008098,0.024397,False,True,9.0,5.0,False
analysis/03_models/03_candidate/a_hierNB/04_fitTime,fitTime,candidate,a_hierNB,0.005741,0.00575,0.005741,0.00575,False,False,10.0,12.0,True
analysis/03_models/03_candidate/a_hierNB/01_observation,observation,candidate,a_hierNB,0.005243,0.008179,-0.005243,0.008179,False,False,11.0,9.0,True
analysis/03_models/01_baselines/02_climatology,climatology,baseline,-,0.00249,0.0,-0.00249,0.0,False,False,12.0,17.0,True
analysis/03_models/03_candidate/a_hierNB/03_population,population,candidate,a_hierNB,0.001963,0.009101,-0.001963,0.009101,False,False,13.0,8.0,True
analysis/03_models/03_candidate/b_boosted/02_head,head,candidate,b_boosted,0.001834,0.006001,0.001834,0.006001,False,False,14.0,11.0,True
analysis/03_models/03_candidate/a_hierNB/06_yearVariance,yearVariance,candidate,a_hierNB,0.001068,0.003264,-0.001068,0.003264,False,False,15.0,14.0,True
analysis/03_models/03_candidate/b_boosted/01_features,features,candidate,b_boosted,0.000211,0.000416,0.000211,0.000416,False,False,16.0,16.0,True
analysis/03_models/03_candidate/a_hierNB/05_autoregressive,autoregressive,candidate,a_hierNB,0.000169,0.007309,0.000169,0.007309,False,False,17.0,10.0,True
