fork,stage,kind,owner,main_child,n_children,siblings,siblings_built,reach_rows
analysis/02_setup/01_population,popColumn,setup,-,a_static,2,b_backCast,True,4
analysis/02_setup/02_trainingWindow,trainingWindow,setup,-,a_from1998,2,b_from2004,True,4
analysis/02_setup/03_provinces,provinces,setup,-,a_chapFilter,3,b_reportingOnly;c_mergeVientiane,True;True,4
analysis/02_setup/04_retrain,retrain,setup,-,a_once,2,b_everySplit,True,4
analysis/03_models/01_baselines/01_persistence,persistence,baseline,-,a_empiricalChange,2,b_negBinomialFloor,False,2
analysis/03_models/01_baselines/02_climatology,climatology,baseline,-,a_expandingWindow,2,b_frozenWindow,False,2
analysis/03_models/03_candidate/a_hierNB/01_observation,observation,candidate,a_hierNB,c_hurdle,3,a_negBinomial;b_zeroInflated,True;True,1
analysis/03_models/03_candidate/a_hierNB/02_covariates,covariates,candidate,a_hierNB,c_climateFree,3,a_lagged;b_rich,True;True,1
analysis/03_models/03_candidate/a_hierNB/03_population,population,candidate,a_hierNB,a_offset,3,b_covariate;c_ignored,True;True,1
analysis/03_models/03_candidate/a_hierNB/04_fitTime,fitTime,candidate,a_hierNB,a_trainOnly,2,b_refitAtPredict,True,1
analysis/03_models/03_candidate/a_hierNB/05_autoregressive,autoregressive,candidate,a_hierNB,a_none,2,b_lag3,True,1
analysis/03_models/03_candidate/a_hierNB/06_yearVariance,yearVariance,candidate,a_hierNB,b_provinceScaled,2,a_shared,True,1
analysis/03_models/03_candidate/b_boosted/01_features,features,candidate,b_boosted,a_lagBlock,2,b_richCalendar,True,1
analysis/03_models/03_candidate/b_boosted/02_head,head,candidate,b_boosted,a_negBinomial,2,b_quantileEnsemble,True,1
analysis/03_models/03_candidate/c_ensemble/01_weighting,weighting,candidate,c_ensemble,a_equal,2,b_crpsWeighted,True,1
analysis/03_models/03_candidate,family,family,-,c_ensemble,3,a_hierNB;b_boosted,True;True,1
analysis/04_score/02_aggregate,aggregate,scoring,-,a_unweighted,3,b_populationWeighted;c_caseWeighted,True;True,4
