rank,tier,combination,kind,fork,child,owner,combo_base,models_rerun,models_inherited,reach_rows,built,prior_abs_delta_crps,est_seconds_dev,est_seconds_holdout,projected_bytes,cost_basis,assigned_batch,status
1,1,main,main,-,-,-,-,,,0,True,,0.3,608.9,,"development: conclude.py only, because the main path is the analysis that has already run. Holdout: a cold start, every model",12,planned
2,1,aggregate_caseWeighted,scoring,analysis/04_score/02_aggregate,c_caseWeighted,-,main,,persistence;climatology;reference;ensemble,4,True,,13.4,13.4,,re-aggregation only; no model is re-run,13,planned
3,1,aggregate_populationWeighted,scoring,analysis/04_score/02_aggregate,b_populationWeighted,-,main,,persistence;climatology;reference;ensemble,4,True,,13.4,13.4,,re-aggregation only; no model is re-run,13,planned
4,1,trainingWindow_from2004,setup,analysis/02_setup/02_trainingWindow,b_from2004,-,main,persistence;climatology;reference;ensemble,,4,True,,677.6,346.3,,persistence=measured under trainingWindow_from2004; climatology=measured under trainingWindow_from2004; reference=measured under trainingWindow_from2004; ensemble=measured under trainingWindow_from2004,13,planned
5,1,provinces_reportingOnly,setup,analysis/02_setup/03_provinces,b_reportingOnly,-,main,persistence;climatology;reference;ensemble,,4,True,,821.0,418.0,,persistence=measured under provinces_reportingOnly; climatology=measured under provinces_reportingOnly; reference=measured under provinces_reportingOnly; ensemble=measured under provinces_reportingOnly,13,planned
6,1,popColumn_backCast,setup,analysis/02_setup/01_population,b_backCast,-,main,persistence;climatology;reference;ensemble,,4,True,,944.6,479.8,,persistence=measured under popColumn_backCast; climatology=measured under popColumn_backCast; reference=measured under popColumn_backCast; ensemble=measured under popColumn_backCast,13,planned
7,1,provinces_mergeVientiane,setup,analysis/02_setup/03_provinces,c_mergeVientiane,-,main,persistence;climatology;reference;ensemble,,4,True,,1125.1,570.0,,persistence=measured under provinces_mergeVientiane; climatology=measured under provinces_mergeVientiane; reference=measured under provinces_mergeVientiane; ensemble=measured under provinces_mergeVientiane,13,planned
8,1,retrain_everySplit,setup,analysis/02_setup/04_retrain,b_everySplit,-,main,persistence;climatology;reference;ensemble,,4,True,,2207.8,1111.4,,persistence=measured under retrain_everySplit; climatology=measured under retrain_everySplit; reference=measured under retrain_everySplit; ensemble=measured under retrain_everySplit,13,planned
9,1,climatology_frozenWindow,baseline,analysis/03_models/01_baselines/02_climatology,b_frozenWindow,-,main,climatology;ensemble,persistence;reference,2,True,,104.5,58.9,,climatology=measured under climatology_frozenWindow; ensemble=measured under climatology_frozenWindow,22,planned
10,1,persistence_negBinomialFloor,baseline,analysis/03_models/01_baselines/01_persistence,b_negBinomialFloor,-,main,persistence;ensemble,climatology;reference,2,True,,117.9,65.6,,persistence=measured under persistence_negBinomialFloor; ensemble=measured under persistence_negBinomialFloor,22,planned
11,1,family_hierNB,family,analysis/03_models/03_candidate,a_hierNB,-,main,ensemble,persistence;climatology;reference,1,True,4.881054099730459,72.9,43.1,,ensemble=measured under main,14,planned
12,1,weighting_crpsWeighted,candidate,analysis/03_models/03_candidate/c_ensemble/01_weighting,b_crpsWeighted,c_ensemble,main,ensemble,persistence;climatology;reference,1,True,4.021454026954178,90.0,51.7,,ensemble=measured under weighting_crpsWeighted,14,planned
13,1,family_boosted,family,analysis/03_models/03_candidate,b_boosted,-,main,ensemble,persistence;climatology;reference,1,True,1.954203679245282,72.9,43.1,,ensemble=measured under main,14,planned
14,1,fitTime_refitAtPredict,candidate,analysis/03_models/03_candidate/a_hierNB/04_fitTime,b_refitAtPredict,a_hierNB,main,ensemble,persistence;climatology;reference,1,True,0.8733181832884078,156.2,84.8,,ensemble=measured under main; hier_nb member delta +83.3s vs family_hierNB,14,planned
