combination,tier,status,stage1_mean_crps,two_stage_mean_crps,pct_change_vs_stage1,stage1_coverage_90,two_stage_coverage_90,beats_stage1_on_crps,coverage_not_worse,n_splits_improved,n_splits,share_cells_improved,n_cells,informativeness_rank,reason_if_not_run
main (04_stage2=g_oosErrorBoosting),0,run,26.052787630892947,25.16411721353624,-3.411037735950132,0.8274932614555256,0.8571428571428571,True,True,5,8,0.5660377358490566,371,-,
04_stage2=a_linearLags,1,run,26.052787630892933,26.25689213098635,0.7834267218736884,0.8274932614555256,0.8328840970350404,False,True,,8,,371,0,
04_stage2=b_gradientBoosting,1,run,26.052787630892933,27.680013236868255,6.245879055359847,0.8274932614555256,0.8221024258760108,False,False,,8,,371,0,
04_stage2=c_bayesianRidge,1,run,26.052787630892933,28.0654446421887,7.7253038707811665,0.8274932614555256,0.8679245283018868,False,True,,8,,371,0,
04_stage2=d_linearClimate,1,run,26.052787630892933,26.846655915112652,3.0471529398963995,0.8274932614555256,0.8301886792452831,False,True,,8,,371,0,
04_stage2=e_pooledRandomForest,1,run,26.052787630892933,25.88918881222549,-0.6279513002034729,0.8274932614555256,0.6442048517520216,True,False,,8,,371,0,
04_stage2=f_oosErrorRidge,1,run,26.052787630892947,25.625333986074974,-1.6407213342157134,0.8274932614555256,0.8463611859838275,True,True,4,8,0.5660377358490566,371,0,
stage1=airline_011x011,2,run,29.146089560770083,26.045994848163073,-10.63640014604107,0.8247978436657682,0.8652291105121294,True,True,4,8,0.5956873315363881,371,1,
stage2=g_bounded_correction,2,run,26.052787630892947,24.529753688147764,-5.84595385462397,0.8274932614555256,0.8571428571428571,True,True,7,8,0.5714285714285714,371,1,
stage2=g_scale_by_residual_rms,2,run,26.052787630892947,25.31280987831579,-2.8403016332106614,0.8274932614555256,0.8544474393530997,True,True,6,8,0.5579514824797843,371,2,
window=rolling_72m,2,run,23.985603439955185,23.50165766036341,-2.017651049736019,0.8355795148247979,0.8463611859838275,True,True,3,8,0.5336927223719676,371,2,
stage1=nodiff_101x100,2,run,24.92918838458212,24.09182899996404,-3.3589516501706815,0.8328840970350404,0.8463611859838275,True,True,6,8,0.41778975741239893,371,3,
stage2=g_level_month_horizon_only,2,run,26.052787630892947,24.350777879905046,-6.532927589559312,0.8274932614555256,0.8517520215633423,True,True,6,8,0.555256064690027,371,3,
stage2=g_rolling_refit_oos,2,run,26.052787630892947,25.871202910185502,-0.6969876823934371,0.8274932614555256,0.8571428571428571,True,True,4,8,0.5741239892183289,371,3,
scheme=chap_default_7x1,2,run,34.998838704227374,32.495818816111644,-7.151722687911358,0.7177177177177178,0.7537537537537538,True,True,6,7,0.5135135135135135,333,4,
stage2=g_per_horizon,2,run,26.052787630892947,25.187759168511235,-3.3202913816254207,0.8274932614555256,0.8490566037735849,True,True,5,8,0.555256064690027,371,4,
stage2=g_alt_seed,2,run,26.052787630892947,25.13266523462798,-3.53176178035514,0.8274932614555256,0.8571428571428571,True,True,5,8,0.5795148247978437,371,5,
stage2=g_zclip2,2,run,26.052787630892947,25.284055990881594,-2.9506694289397437,0.8274932614555256,0.8490566037735849,True,True,5,8,0.5606469002695418,371,5,
stage2=g_with_climate_anomalies,2,run,26.052787630892947,24.54656603354263,-5.781422006312549,0.8274932614555256,0.8490566037735849,True,True,6,8,0.5471698113207547,371,6,
window=start_2002,2,run,27.37177109023829,27.119061595140582,-0.9232486062541743,0.862533692722372,0.8652291105121294,True,True,4,8,0.5175202156334232,371,6,
stage2=g_depth2,2,run,26.052787630892947,24.96178612834107,-4.187657451512733,0.8274932614555256,0.8517520215633423,True,True,6,8,0.5525606469002695,371,7,
stage2=g_depth4_300trees,2,run,26.052787630892947,25.424554715841484,-2.4113846239874728,0.8274932614555256,0.8652291105121294,True,True,5,8,0.5741239892183289,371,7,
stage2=g_zclip5,2,run,26.052787630892947,25.374682501920034,-2.6028121772613204,0.8274932614555256,0.8598382749326146,True,True,5,8,0.5417789757412399,371,7,
stage2=g_no_incidence_terms,2,run,26.052787630892947,25.18727585022415,-3.3221465316152496,0.8274932614555256,0.8571428571428571,True,True,4,8,0.5714285714285714,371,8,
stage2=g_no_winsorisation,2,run,26.052787630892947,25.631774279175513,-1.6160011653348134,0.8274932614555256,0.8571428571428571,True,True,5,8,0.5175202156334232,371,8,
stage2=g_lr0.1,2,run,26.052787630892947,25.555590947925307,-1.9084202812065805,0.8274932614555256,0.862533692722372,True,True,5,8,0.5768194070080862,371,9,
