combination,group,stage1_mean_crps,two_stage_mean_crps,pct_change_vs_stage1,deviation_from_main_points,moves_size,beats_stage1_on_crps,coverage_change_points,coverage_not_worse,n_splits_improved,n_splits,share_cells_improved,informativeness_rank
stage1=airline_011x011,stage 1 specification,29.146089560770083,26.045994848163073,-10.63640014604107,-7.2253624100909395,True,True,4.043126684636111,True,4,8,0.5956873315363881,1
stage1=enforce_stationarity,stage 1 specification,26.80453721515349,24.55347304451071,-8.398071388340105,-4.987033652389973,True,True,2.695417789757415,True,8,8,0.5902964959568733,12
scheme=chap_default_7x1,"training window, scheme, data",34.998838704227374,32.495818816111644,-7.151722687911358,-3.7406849519612257,True,True,3.6036036036036,True,6,7,0.5135135135135135,4
stage2=g_level_month_horizon_only,stage 2 features,26.052787630892947,24.350777879905046,-6.532927589559312,-3.1218898536091806,True,True,2.425876010781669,True,6,8,0.555256064690027,3
stage2=g_bounded_correction,stage 2 target and combination rule,26.052787630892947,24.529753688147764,-5.84595385462397,-2.4349161186738386,True,True,2.96495956873315,True,7,8,0.5714285714285714,1
stage2=g_no_cross_province,stage 2 features,26.052787630892947,24.532123245543765,-5.836858638290223,-2.425820902340091,True,True,3.2345013477088957,True,6,8,0.601078167115903,10
stage2=g_with_climate_anomalies,stage 2 features,26.052787630892947,24.54656603354263,-5.781422006312549,-2.370384270362417,True,True,2.156334231805934,True,6,8,0.5471698113207547,6
stage2=g_depth2,stage 2 family hyperparameters and seed,26.052787630892947,24.96178612834107,-4.187657451512733,-0.7766197155626009,False,True,2.425876010781669,True,6,8,0.5525606469002695,7
stage2=g_warmup12,how the training errors are made,26.052787630892947,25.08272331831992,-3.723456876540691,-0.312419140590559,False,True,2.425876010781669,True,5,8,0.5741239892183289,11
stage2=g_alt_seed,stage 2 family hyperparameters and seed,26.052787630892947,25.13266523462798,-3.53176178035514,-0.12072404440500817,False,True,2.96495956873315,True,5,8,0.5795148247978437,5
stage2=g_min_train_rows1000,how the training errors are made,26.052787630892947,25.16411721353624,-3.411037735950132,0.0,False,True,2.96495956873315,True,5,8,0.5660377358490566,13
modelable=36_months,"training window, scheme, data",26.052787630892947,25.16411721353624,-3.411037735950132,0.0,False,True,2.96495956873315,True,5,8,0.5660377358490566,14
stage1=nodiff_101x100,stage 1 specification,24.92918838458212,24.09182899996404,-3.3589516501706815,0.052086085779450286,False,True,1.3477088948787075,True,6,8,0.41778975741239893,3
stage2=g_no_incidence_terms,stage 2 features,26.052787630892947,25.18727585022415,-3.3221465316152496,0.08889120433488218,False,True,2.96495956873315,True,4,8,0.5714285714285714,8
stage2=g_per_horizon,stage 2 target and combination rule,26.052787630892947,25.187759168511235,-3.3202913816254207,0.09074635432471112,False,True,2.156334231805934,True,5,8,0.555256064690027,4
stage2=g_warmup36,how the training errors are made,26.052787630892947,25.24330876131306,-3.107071999543041,0.3039657364070907,False,True,2.695417789757415,True,5,8,0.5579514824797843,11
stage2=g_zclip2,stage 2 target and combination rule,26.052787630892947,25.284055990881594,-2.9506694289397437,0.4603683070103881,False,True,2.156334231805934,True,5,8,0.5606469002695418,5
stage2=g_no_clip,stage 2 target and combination rule,26.052787630892947,25.302465551777082,-2.8800068911863606,0.5310308447637713,False,True,2.96495956873315,True,5,8,0.5579514824797843,9
stage2=g_scale_by_residual_rms,stage 2 target and combination rule,26.052787630892947,25.31280987831579,-2.8403016332106614,0.5707361027394704,False,True,2.695417789757415,True,6,8,0.5579514824797843,2
stage2=g_zclip5,stage 2 target and combination rule,26.052787630892947,25.374682501920034,-2.6028121772613204,0.8082255586888114,False,True,3.2345013477088957,True,5,8,0.5417789757412399,7
stage2=g_min_leaf50,stage 2 family hyperparameters and seed,26.052787630892947,25.40667017721603,-2.4800319368157115,0.9310057991344203,False,True,2.425876010781669,True,5,8,0.568733153638814,9
stage2=g_depth4_300trees,stage 2 family hyperparameters and seed,26.052787630892947,25.424554715841484,-2.4113846239874728,0.999653111962659,False,True,3.7735849056603765,True,5,8,0.5741239892183289,7
window=rolling_72m,"training window, scheme, data",23.985603439955185,23.50165766036341,-2.017651049736019,1.3933866862141127,False,True,1.0781671159029615,True,3,8,0.5336927223719676,2
stage2=g_lr0.1,stage 2 family hyperparameters and seed,26.052787630892947,25.555590947925307,-1.9084202812065805,1.5026174547435514,False,True,3.5040431266846417,True,5,8,0.5768194070080862,9
stage2=f_alpha100,stage 2 family hyperparameters and seed,26.052787630892947,25.593740070814686,-1.7619901815571182,1.6490475543930136,False,True,2.156334231805934,True,4,8,0.5714285714285714,10
stage2=f_alpha1,stage 2 family hyperparameters and seed,26.052787630892947,25.628826202650757,-1.6273169468416664,1.7837207891084654,False,True,1.8867924528301883,True,4,8,0.5660377358490566,10
stage2=g_no_winsorisation,stage 2 target and combination rule,26.052787630892947,25.631774279175513,-1.6160011653348134,1.7950365706153184,False,True,2.96495956873315,True,5,8,0.5175202156334232,8
window=start_2002,"training window, scheme, data",27.37177109023829,27.119061595140582,-0.9232486062541743,2.4877891296959573,True,True,0.26954177897573484,True,4,8,0.5175202156334232,6
stage2=g_rolling_refit_oos,how the training errors are made,26.052787630892947,25.871202910185502,-0.6969876823934371,2.7140500535566945,True,True,2.96495956873315,True,4,8,0.5741239892183289,3
