combination,group,stage1_mean_crps,two_stage_mean_crps,pct_change_vs_stage1,deviation_from_main_points,moves_size,beats_stage1_on_crps,coverage_change_points,coverage_not_worse,n_splits_improved,n_splits,share_cells_improved,informativeness_rank
stage1=airline_011x011@h,stage 1 specification,29.146089560770083,26.110551934086104,-10.414905300948973,-3.881977711389661,True,True,2.425876010781669,True,6,8,0.5902964959568733,1
stage1=enforce_stationarity@h,stage 1 specification,26.80453721515349,24.08150896932451,-10.158833275023168,-3.625905685463856,True,True,1.3477088948787075,True,6,8,0.5741239892183289,8
scheme=chap_default_7x1@h,"training window, scheme, data",34.998838704227374,32.322632304420544,-7.646557711309379,-1.1136301217500666,False,True,3.9039039039039047,True,6,7,0.5345345345345346,4
stage2=zclip5@h,stage 2 target and combination rule,26.052787630892947,24.2500600805673,-6.919518847142491,-0.3865912575831789,False,True,2.96495956873315,True,6,8,0.5336927223719676,7
stage2=bounded_floor0@h,stage 2 target and combination rule,26.052787630892947,24.285906692669094,-6.781926614750107,-0.24899902519079475,False,True,2.425876010781669,True,6,8,0.5768194070080862,6
stage2=no_winsorisation@h,stage 2 target and combination rule,26.052787630892947,24.340113174651453,-6.573862576650471,-0.04093498709115817,False,True,3.7735849056603765,True,6,8,0.5309973045822103,6
stage2=min_train_rows1000@h,how the training errors are made,26.052787630892947,24.350777879905046,-6.532927589559312,0.0,False,True,2.425876010781669,True,6,8,0.555256064690027,13
modelable=36_months@h,"training window, scheme, data",26.052787630892947,24.350777879905046,-6.532927589559312,0.0,False,True,2.425876010781669,True,6,8,0.555256064690027,14
stage2=lr0.1@h,stage 2 family hyperparameters and seed,26.052787630892947,24.371863578782815,-6.45199306855333,0.08093452100598242,False,True,2.96495956873315,True,6,8,0.5606469002695418,9
stage2=alt_seed@h,stage 2 family hyperparameters and seed,26.052787630892947,24.440550222978914,-6.1883489427529454,0.34457864680636696,False,True,2.425876010781669,True,6,8,0.568733153638814,5
stage2=no_clip@h,stage 2 target and combination rule,26.052787630892947,24.472978513271688,-6.0638774629550545,0.46905012660425793,False,True,2.425876010781669,True,6,8,0.5283018867924528,9
stage2=warmup36@h,how the training errors are made,26.052787630892947,24.480193541279398,-6.036183581939592,0.4967440076197205,False,True,2.425876010781669,True,6,8,0.5660377358490566,11
stage2=warmup12@h,how the training errors are made,26.052787630892947,24.493288092198448,-5.98592197038167,0.547005619177642,False,True,1.8867924528301883,True,6,8,0.555256064690027,11
stage2=plus_recent_and_incidence@h,stage 2 features,26.052787630892947,24.532123245543765,-5.836858638290223,0.6960689512690896,False,True,3.2345013477088957,True,6,8,0.601078167115903,2
stage2=depth4_300trees@h,stage 2 family hyperparameters and seed,26.052787630892947,24.534906714356744,-5.826174680579387,0.7067529089799258,False,True,2.695417789757415,True,6,8,0.5525606469002695,7
stage2=full_plus_climate@h,stage 2 features,26.052787630892947,24.54656603354263,-5.781422006312549,0.7515055832467636,False,True,2.156334231805934,True,6,8,0.5471698113207547,6
stage2=depth2@h,stage 2 family hyperparameters and seed,26.052787630892947,24.549718311072606,-5.769322427662317,0.7636051618969955,False,True,2.156334231805934,True,6,8,0.5741239892183289,7
stage2=scale_by_residual_rms@h,stage 2 target and combination rule,26.052787630892947,24.609337715059688,-5.540481641671392,0.9924459478879202,False,True,2.695417789757415,True,6,8,0.5633423180592992,5
stage2=zclip2@h,stage 2 target and combination rule,26.052787630892947,24.667188667708064,-5.318428810058942,1.2144987795003708,False,True,1.8867924528301883,True,6,8,0.5741239892183289,5
stage2=min_leaf50@h,stage 2 family hyperparameters and seed,26.052787630892947,24.8116395984496,-4.763974013174761,1.7689535763845514,False,True,2.425876010781669,True,6,8,0.5633423180592992,9
stage2=per_horizon@h,stage 2 target and combination rule,26.052787630892947,25.14997933811706,-3.465304003420167,3.0676235861391454,True,True,1.8867924528301883,True,4,8,0.5525606469002695,4
window=rolling_72m@h,"training window, scheme, data",23.985603439955185,23.17089725687942,-3.3966465972610353,3.136280992298277,True,True,1.0781671159029615,True,4,8,0.5417789757412399,2
stage2=plus_recent_and_cross@h,stage 2 features,26.052787630892947,25.18727585022415,-3.3221465316152496,3.2107810579440628,True,True,2.96495956873315,True,4,8,0.5714285714285714,3
stage2=rolling_refit_oos@h,how the training errors are made,26.052787630892947,25.273339999559035,-2.9918012704700243,3.541126319089288,True,True,2.695417789757415,True,4,8,0.555256064690027,1
window=start_2002@h,"training window, scheme, data",27.37177109023829,27.081640820702614,-1.0599616246211676,5.472965964938145,True,True,0.8086253369272156,True,4,8,0.5040431266846361,4
stage1=nodiff_101x100@h,stage 1 specification,24.92918838458212,24.66615758357652,-1.0551117707798072,5.477815818779505,True,True,0.5390835579514808,True,6,8,0.431266846361186,3
