province,n_combinations,share_combinations_improved,median_delta_crps_sum,min_delta_crps_sum,max_delta_crps_sum,main_delta_crps_sum
LA-KH,30,1.0,-275.8641290912549,-766.0834146314369,-95.75630664390391,-279.4746305617932
LA-SL,30,1.0,-272.85778052154507,-331.34259058893167,-77.48717296056253,-275.3822737235862
LA-BK,30,1.0,-130.55277073938802,-195.0684450188819,-40.83544730388721,-130.55277073938802
LA-CH,30,0.8666666666666667,-44.49009396516771,-252.13789619636074,83.08816995670958,-40.67123422590873
LA-XI,30,1.0,-26.38023348567074,-32.71563515738328,-8.603909250014699,-27.076638969034498
LA-AT,30,0.8333333333333334,-19.210125800865967,-56.76324225332928,15.909856290250584,-21.798468852221518
LA-XE,30,0.8666666666666667,-2.6569195873691607,-52.13719926155469,2.3289644066320125,-2.6569195873691607
LA-BL,30,0.7,-2.0878903535758875,-158.67897161857474,8.039777498026774,-2.0878903535758875
LA-LM,30,0.8,-0.3673194260977557,-1.4622679143463229,1.1886200096014083,-0.3673194260977557
LA-HO,30,0.7,-0.080030601903339,-0.7488137386045258,0.42374076074865674,-0.20667419166104348
LA-PH,30,0.03333333333333333,0.04456268313523831,-0.1562121865531435,0.1277138469363191,0.04456268313523831
LA-OU,30,0.0,6.385292113644352,2.14473142805132,12.368962665333449,6.385465125163245
LA-XA,30,0.13333333333333333,9.412722610801762,-6.577154510356539,56.07241541356826,13.069238562356023
LA-LP,30,0.2,76.98704772620047,-55.843778908318896,112.35140358909666,92.82438642671517
LA-VT,30,0.1,127.27585586344628,-192.8653734982148,371.6702981369287,127.27585586344628
LA-SV,30,0.03333333333333333,206.62197140124903,-133.53083720074468,401.1990907439615,210.97858713048112
