province,n_combinations,share_combinations_improved,median_delta_crps_sum,min_delta_crps_sum,max_delta_crps_sum,main_delta_crps_sum
LA-KH,27,1.0,-337.3626807591376,-763.6163642300269,-111.00735525760058,-344.3913775375879
LA-SL,27,1.0,-283.6985694565881,-354.07508492288747,-90.1921472151327,-304.06110871373784
LA-BK,27,1.0,-144.59168819025888,-348.99500212765116,-67.62854310025367,-148.88242190254584
LA-CH,27,0.9259259259259259,-78.48565867685029,-250.50463677802415,55.582366574975076,-80.51501958056792
LA-XI,27,1.0,-27.204488127390125,-40.0688796688399,-6.999765492312539,-27.664675896691
LA-XA,27,0.7777777777777778,-3.410435902302792,-19.289072251876142,10.41954010576534,-5.450578052284769
LA-XE,27,1.0,-2.227823812359996,-47.4999618265816,-0.20088477339293442,-2.227823812359996
LA-LM,27,0.8888888888888888,-0.19339528925350813,-0.9328017673928297,0.6379275129602255,-0.19339528925350813
LA-PH,27,0.037037037037037035,0.0535414432803952,-0.07555400275288916,0.20268882388487752,0.0535414432803952
LA-HO,27,0.1111111111111111,0.24355386211133395,-0.3700468106496027,0.5989218466202663,0.24355386211133395
LA-AT,27,0.25925925925925924,4.055179997813638,-29.492660238873388,9.152162915128741,6.425656729440131
LA-BL,27,0.18518518518518517,6.1505540559881995,-166.69877578528377,26.872821187443193,8.039777498026774
LA-OU,27,0.0,6.426249490278173,3.608572209871147,8.983000861919216,6.426249490278173
LA-SV,27,0.14814814814814814,22.105660232972006,-248.06224841873149,237.87898444986303,7.93112798064714
LA-LP,27,0.037037037037037035,57.46941652527231,-42.771910529712855,103.91625796708166,57.46941652527231
LA-VT,27,0.07407407407407407,195.35145963945914,-116.60361005493195,409.87177988910935,195.35145963945914
