node,wall_seconds,exit_code,n_result_files,all_outputs_identical,changed_files
analysis/02_stage1,15.4,0,2,True,
analysis/04_stage2/a_linearLags,20.81,0,3,True,
analysis/04_stage2/b_gradientBoosting,21.1,0,3,True,
analysis/04_stage2/c_bayesianRidge,18.57,0,4,True,
analysis/04_stage2/d_linearClimate,16.12,0,4,True,
analysis/04_stage2/e_pooledRandomForest,21.32,0,5,True,
analysis/04_stage2/f_oosErrorRidge,41.79,0,4,True,
analysis/04_stage2/g_oosErrorBoosting,54.47,0,5,True,
analysis/04_stage2/h_levelOnlyBoosting,52.5,0,3,True,
analysis/04_stage2/i_boundedBoosting,68.2,0,3,True,
analysis/04_stage2/j_levelOnlyBoundedBoosting,66.6,0,4,True,
