combination,status,wall_seconds,two_stage_mean_crps
main@h,gate,28.7,24.350777879905046
stage1=airline_011x011@h,run,34.9,26.110551934086104
stage2=rolling_refit_oos@h,run,773.6,25.273339999559035
stage2=plus_recent_and_incidence@h,run,33.0,24.532123245543765
window=rolling_72m@h,run,14.8,23.17089725687942
stage1=nodiff_101x100@h,run,24.7,24.66615758357652
stage2=plus_recent_and_cross@h,run,33.2,25.18727585022415
scheme=chap_default_7x1@h,run,26.6,32.322632304420544
stage2=per_horizon@h,run,28.5,25.14997933811706
window=start_2002@h,run,17.0,27.081640820702614
stage2=alt_seed@h,run,30.4,24.440550222978914
stage2=scale_by_residual_rms@h,run,28.3,24.609337715059688
stage2=zclip2@h,run,29.0,24.667188667708064
stage2=bounded_floor0@h,run,28.3,24.285906692669094
stage2=full_plus_climate@h,run,42.8,24.54656603354263
stage2=no_winsorisation@h,run,28.5,24.340113174651453
stage2=depth2@h,run,27.1,24.549718311072606
stage2=depth4_300trees@h,run,35.3,24.534906714356744
stage2=zclip5@h,run,31.3,24.2500600805673
stage1=enforce_stationarity@h,run,34.7,24.08150896932451
stage2=lr0.1@h,run,29.8,24.371863578782815
stage2=min_leaf50@h,run,28.4,24.8116395984496
stage2=no_clip@h,run,28.9,24.472978513271688
stage2=warmup12@h,run,31.6,24.493288092198448
stage2=warmup36@h,run,27.7,24.480193541279398
stage2=min_train_rows1000@h,run,29.3,24.350777879905046
modelable=36_months@h,run,30.2,24.350777879905046
