province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,-0.01211655955277986,19.30097922291516,0.4696902291999727,0.45757366964719287,19.30097922291516,4.842068136003283,4.769193786712449,False,
LA-AT,0,2008-02,2,2.0,-0.0004608844992523497,19.706935639254013,1.3383701401608818,1.3379092556616294,19.706935639254013,4.686354707280823,4.614285175739033,False,
LA-AT,0,2008-03,3,0.0,-1.7530927052832883e-05,19.707516941777662,1.768615352574692,1.768597821647639,19.707516941777662,4.605547723469631,4.668824594145845,False,
LA-BK,0,2008-01,1,1.0,0.0005167932796639347,1.9096251652150624,-0.011558406649966413,0.0,1.9096251652150624,0.6503284626273138,0.6505348661911275,False,
LA-BK,0,2008-02,2,0.0,0.00026303249967705316,2.0732123380001872,0.07454194710571611,0.07480497960539317,2.0732123380001872,0.4844993234872466,0.4855759741580327,False,
LA-BK,0,2008-03,3,0.0,0.00013387576543439183,2.1135258965214447,0.11340217340773255,0.11353604917316694,2.1135258965214447,0.4939203896986977,0.4963529578915153,False,
LA-BL,0,2008-01,1,10.0,-3.944489715571301,32.21920849496469,0.9922864965337472,0.0,32.21920849496469,9.900265651251392,8.757834723639304,False,
LA-BL,0,2008-02,2,7.0,-2.6088863913711706,41.09021333531948,3.1815137303762184,0.5726273390050478,41.09021333531948,10.494946471504187,10.002847709207757,False,
LA-BL,0,2008-03,3,1.0,1.8653685957048878,44.1710561809121,4.270262299517947,6.135630895222835,44.1710561809121,10.329317300688745,10.560495932938338,False,
LA-CH,0,2008-01,1,73.0,8.598286880489276,64.55071559140387,5.148430748168274,13.74671762865755,64.55071559140387,38.786381602914815,35.379588844986735,False,
LA-CH,0,2008-02,2,90.0,11.460823250187357,86.3032667574411,12.383969067398846,23.844792317586204,86.3032667574411,46.86627030437398,39.46401610979928,False,
LA-CH,0,2008-03,3,92.0,11.515392970720944,96.20969716053459,15.612160962000704,27.127553932721646,96.20969716053459,47.881050991228385,39.30209102705559,False,
LA-HO,0,2008-01,1,0.0,0.2630052093321702,0.9681575677273316,-0.07785918915197183,0.18514602018019838,0.9681575677273316,0.2545827005917519,0.24033581088929076,False,
LA-HO,0,2008-02,2,0.0,0.26256992381008304,0.9681441932043112,0.01082360866470258,0.2733935324747856,0.9681441932043112,0.25448683532842575,0.25684708282727736,False,
LA-HO,0,2008-03,3,0.0,0.262135358705231,0.9681308627316867,0.005156567579860485,0.2672919262850915,0.9681308627316867,0.2543912808669645,0.2555023931335491,False,
LA-KH,0,2008-01,1,0.0,10.227057250805377,58.668769288456886,4.097056049157749,14.324113299963127,58.668769288456886,14.420021995981644,15.098913866967916,False,
LA-KH,0,2008-02,2,0.0,5.754300966591568,87.67241421340175,13.667493839314917,19.421794805906487,87.67241421340175,20.639220673120168,22.198046702754425,False,
LA-KH,0,2008-03,3,0.0,3.23768399864087,95.02712276953693,17.481780753585593,20.719464752226465,95.02712276953693,22.251365014412507,24.00252380183023,False,
LA-LM,0,2008-01,1,0.0,2.13342119012832e-08,0.7257761942153301,0.027078014203046886,0.027078035537258786,0.7257761942153301,0.16961025119945147,0.17001323842701194,False,
LA-LM,0,2008-02,2,0.0,1.1651702668303665e-09,0.7298505927379701,0.0461360499052069,0.04613605107037717,0.7298505927379701,0.17056241766952784,0.17172550508542586,False,
LA-LM,0,2008-03,3,0.0,6.363589885520402e-11,0.7298627118711144,0.06257737809321828,0.06257737815685419,0.7298627118711144,0.17056524985007235,0.17270438234390523,False,
LA-LP,0,2008-01,1,0.0,2.126568932811627,40.06298135463101,0.5648872373323007,2.6914561701439275,40.06298135463101,9.407539412071111,9.434624632805242,False,
LA-LP,0,2008-02,2,16.0,0.8971544180036509,42.69225914965949,2.5926808952803153,3.489835313283966,42.69225914965949,12.086479221759253,11.429060898930285,False,
LA-LP,0,2008-03,3,22.0,0.37849045818575733,43.143428468816595,4.045324400261845,4.423814858447602,43.143428468816595,14.316972639516765,12.900109335889542,False,
LA-OU,0,2008-01,1,0.0,0.019977103741432443,0.572738950012932,-0.0038877482853608633,0.01608935545607158,0.572738950012932,0.13412417081856978,0.13402651853423758,False,
LA-OU,0,2008-02,2,0.0,0.015568243283829842,0.594618705521948,0.020942186561909666,0.03651042984573951,0.594618705521948,0.139122006872581,0.13985346961784087,False,
LA-OU,0,2008-03,3,0.0,0.012132399274767645,0.6075221369304413,0.03215016962905082,0.04428256890381846,0.6075221369304413,0.14207152754811173,0.1432619988147461,False,
LA-PH,0,2008-01,1,,-3.800047467512051e-123,0.38668957462472897,-0.0006213814806364947,0.0,0.38668957462472897,,,False,
LA-PH,0,2008-02,2,,3.6530949724374464e-129,0.38668957462525444,0.009395411508446519,0.009395411508446519,0.38668957462525444,,,False,
LA-PH,0,2008-03,3,,-3.511825310536184e-135,0.38668957462525444,0.016240064297280577,0.016240064297280577,0.38668957462525444,,,False,
