province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-3.0226397678429366,1.0812691308874491,19.410750502675594,4.536416804831934,4.710953526845184,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-1.667132062174036,3.134989850362474,19.7734184426588,4.779101201697389,4.6469317977959435,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-0.13007609900126646,4.7908353443649965,19.80435544110605,5.113482554900363,5.088287849955508,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.28153603295843105,0.1990941630284362,1.8765424473141747,0.49552151829517654,0.572874269236968,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.195521940700221,0.46114026145559406,2.0044092923989947,0.5534847307657131,0.5105589815590567,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.31584587209765186,0.4052884906810283,2.023108843930076,0.5742653069529458,0.505073110882194,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-4.993287521492313,0.0,32.065831760355195,7.865625282702532,8.727772915259882,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-6.056484857363408,4.127988440421817,38.4783743655274,9.097282997911094,9.077682752370825,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-6.6559898307906025,10.429278345188468,41.01550710425417,12.069977797098717,10.446135541133675,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-13.926253689820406,32.811817191905625,63.99224745934991,19.194999632559057,24.70517999774074,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-18.471836225730986,44.82836458834389,78.41293171869822,21.916990943486898,28.428217568543694,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-19.194849995347273,53.735963254556594,84.96319096100622,21.55577216710967,26.61639942765942,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.14382553615875668,0.08594592027066808,0.9715574422454025,0.24862633841065293,0.23007925554050332,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.1531789673862622,0.12881527885592303,0.9731845766686849,0.2598004887599149,0.23422063667958903,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.14496599628998633,0.13348745702963974,0.9732329777448774,0.25900786766536554,0.23473245462600095,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-10.236485660502971,1.1785568302662615,65.73653641897177,16.15110206429242,15.370727705829418,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,-11.282468784083315,0.0,112.23066276083395,26.53486458946777,26.227742181218915,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,-9.122156520830032,0.5683517795412385,141.56548222396952,33.34767296505556,33.084052452663414,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.08579297810072653,0.10021682196526144,0.7133236539002743,0.18594187452140437,0.1723079376237231,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.04033817621857214,0.14620842394795758,0.7133455148264882,0.18605698656595407,0.17861873383899116,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.023762475897119294,0.16278567340471317,0.7133455695394665,0.18605731747304505,0.18146110171590302,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-8.580966887017116,5.383350727120993,38.80613269509383,11.052141551412696,9.366251983143744,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-6.841648129770042,9.69625883972229,40.45489214609463,9.45695839682557,9.845178494389135,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-6.782027601199603,10.490760633663173,40.61413467786925,9.710576077878502,10.783827626675667,False,
