province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-3.492138556143773,0.6117703425866128,19.410750502675594,4.536416804831934,4.771544059857116,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-2.5441171598369623,2.2580047526995477,19.7734184426588,4.779101201697389,4.622291577996751,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-1.2242587235156914,3.6966527198505714,19.80435544110605,5.113482554900363,4.902656851947451,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.056789736296910365,0.42384045968995687,1.8765424473141747,0.49552151829517654,0.5085620992677751,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.21813930258548825,0.4385228995703268,2.0044092923989947,0.5534847307657131,0.5065428311181951,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.24765984541618188,0.47347451736249824,2.023108843930076,0.5742653069529458,0.5167959914169834,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-4.376088406954169,0.1491508723231405,32.065831760355195,7.865625282702532,8.691516803395412,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-6.787308913946594,3.3971643838386303,38.4783743655274,9.097282997911094,9.126685118265128,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-12.440429526002214,4.644838649976856,41.01550710425417,12.069977797098717,9.714249717100655,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-6.9890337030589285,39.7490371786671,63.99224745934991,19.194999632559057,21.69640049650003,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-18.176950139489676,45.1232506745852,78.41293171869822,21.916990943486898,28.300188977584764,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-4.298949304882304,68.63186394502156,84.96319096100622,21.55577216710967,22.40348438031458,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.20318009841865678,0.02659135801076798,0.9715574422454025,0.24862633841065293,0.2273384267697016,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.24014569361472107,0.04184855262746415,0.9731845766686849,0.2598004887599149,0.22814615637368207,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.21573304117008305,0.06272041214954302,0.9732329777448774,0.25900786766536554,0.22905164280665882,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-7.105822076349919,4.309220414419314,65.73653641897177,16.15110206429242,15.474952011571208,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,-4.3695756469585545,4.928233568260754,112.23066276083395,26.53486458946777,26.314062160239324,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,0.7496867286006664,10.440195028971937,141.56548222396952,33.34767296505556,33.39016672592203,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.11206082819654878,0.07394897186943919,0.7133236539002743,0.18594187452140437,0.16975577275412307,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.08941986574107955,0.09712673442545017,0.7133455148264882,0.18605698656595407,0.17197292093881686,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.07820170937692299,0.10834643992490949,0.7133455695394665,0.18605731747304505,0.17325775530777382,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-11.593018333287931,2.3712992808501774,38.80613269509383,11.052141551412696,9.126587584085051,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-12.65919634525929,3.878710624233044,40.45489214609463,9.45695839682557,10.892256238310168,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-13.627480796814533,3.6453074380482438,40.61413467786925,9.710576077878502,12.745357031848824,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,-0.01745996996045101,0.0,0.5712735250673434,0.1335066542166356,0.13350375344705884,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,-9.608362586429327e-05,0.0006867222096839282,0.6007935752838246,0.1404028478157884,0.14040275405701017,False,
LA-OU,0,2008-03,3,0.0,0.001555952479635101,0.7349383831127196,0.026333303872991827,0.02788925635262693,0.7349383831127196,0.1717527228956858,0.17217357243046533,False,
