province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-2.6561248604490086,1.4477840382813771,19.410750502675594,4.536416804831934,4.669878311330386,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-1.7828689412625505,3.0192529712739598,19.7734184426588,4.779101201697389,4.641903981847958,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-1.414789108260753,3.50612233510551,19.80435544110605,5.113482554900363,4.875163767507537,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.27760548479522473,0.2030247111916425,1.8765424473141747,0.49552151829517654,0.5715783245267573,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.3171037397178127,0.33955846243800236,2.0044092923989947,0.5534847307657131,0.4913140785902391,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.34147500917299595,0.3796593536056842,2.023108843930076,0.5742653069529458,0.5011308487002537,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-3.4704683453149827,1.054770933962327,32.065831760355195,7.865625282702532,8.48273880931956,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-7.676137038848438,2.5083362589367866,38.4783743655274,9.097282997911094,9.201139679763559,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-8.659508900635457,8.425759275343614,41.01550710425417,12.069977797098717,10.120002106727746,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-18.541482565330906,28.196588316395125,63.99224745934991,19.194999632559057,26.981720322684822,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-18.11606318126796,45.184137632806916,78.41293171869822,21.916990943486898,28.273847628420754,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-15.517927149199668,57.4128861007042,84.96319096100622,21.55577216710967,25.396212637485785,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.1557912244320978,0.07398023199732695,0.9715574422454025,0.24862633841065293,0.22929437073109804,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.1205660704485822,0.16142817579360302,0.9731845766686849,0.2598004887599149,0.2380864360676969,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.09578776852442528,0.1826656847952008,0.9732329777448774,0.25900786766536554,0.24107716231669316,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-0.5209623954300742,10.89408009533916,65.73653641897177,16.15110206429242,16.080906308113477,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,5.503188427032278,14.800997642251586,112.23066276083395,26.53486458946777,27.005334038428092,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,10.920006017215387,20.610514317586656,141.56548222396952,33.34767296505556,34.27813188338725,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.09591887948164002,0.09009092058434795,0.7133236539002743,0.18594187452140437,0.17123339535743812,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.067157342784236,0.11938925738229371,0.7133455148264882,0.18605698656595407,0.17465821895356565,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.05379877395250777,0.1327493753493247,0.7133455695394665,0.18605731747304505,0.17653235140432644,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-7.797988855474019,6.16632875866409,38.80613269509383,11.052141551412696,9.458875515986186,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-9.688429534882665,6.849477434609668,40.45489214609463,9.45695839682557,10.276318781294549,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-7.153321503996182,10.119466730866595,40.61413467786925,9.710576077878502,10.86796842838353,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,-0.023791516112738116,0.0,0.5712735250673434,0.1335066542166356,0.13350375344705884,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,-0.0006347256674906055,0.00014808016805761598,0.6007935752838246,0.1404028478157884,0.14040245547154595,False,
LA-OU,0,2008-03,3,0.0,0.001555952479635101,0.7349383831127196,0.007871389319122327,0.009427341798757427,0.7349383831127196,0.1717527228956858,0.17179965143451514,False,
LA-PH,0,2008-01,1,,0.03749040424662971,0.388467396929649,-0.026317636800989055,0.011172767445640653,0.388467396929649,,,False,
LA-PH,0,2008-02,2,,0.037262431085092335,0.38845290623213985,-0.016629504357937527,0.020632926727154808,0.38845290623213985,,,False,
LA-PH,0,2008-03,3,,0.03726381735348356,0.3884530375009129,-0.009355085264120495,0.027908732089363064,0.3884530375009129,,,False,
LA-SL,0,2008-01,1,0.0,7.1019642786888655,13.195504782771753,-2.900304341407057,4.201659937281809,13.195504782771753,4.572851396632064,3.612994152793006,False,
LA-SL,0,2008-02,2,1.0,7.1577980365530856,14.723273757946362,-2.2954604360451847,4.862337600507901,14.723273757946362,4.453476534252075,3.842662115617235,False,
LA-SL,0,2008-03,3,5.0,7.17912400828643,15.117977741805367,-1.2907028209198035,5.888421187366626,15.117977741805367,3.6580873768839246,3.5538177894810286,False,
LA-SV,0,2008-01,1,1.0,-11.485014460641358,218.57726293087973,-4.2554815995712785,0.0,218.57726293087973,51.36483175949996,51.08223366333214,False,
LA-SV,0,2008-02,2,1.0,-19.622384647363237,333.8632680799089,2.543202148300775,0.0,333.8632680799089,78.53018922411142,78.02336376649835,False,
LA-SV,0,2008-03,3,1.0,-14.902385928129892,419.5674617069116,11.95740639081499,0.0,419.5674617069116,98.29123410285817,98.05175926193017,False,
LA-VT,0,2008-01,1,29.0,22.13084382532213,155.4562732467316,-13.160558457039997,8.970285368282134,155.4562732467316,36.45042063000756,37.35748752839643,False,
LA-VT,0,2008-02,2,12.0,16.420554944247673,225.65272403392328,-17.649957759672034,0.0,225.65272403392328,52.76845511856109,52.98843274115899,False,
LA-VT,0,2008-03,3,26.0,19.472313008862173,279.17942127827797,-14.92917103419307,4.543141974669103,279.17942127827797,65.30371563814666,65.90040338104585,False,
LA-XA,0,2008-01,1,0.0,12.007580844264966,44.4086430753409,-5.192594020662701,6.814986823602266,44.4086430753409,11.665492855709706,10.794487132094027,False,
LA-XA,0,2008-02,2,0.0,15.559567206370208,46.788416373047404,-5.153217879285219,10.406349327084989,46.788416373047404,12.97967330298053,11.853784915652072,False,
LA-XA,0,2008-03,3,0.0,16.705741583381936,47.06933971147554,-5.682348661638513,11.023392921743422,47.06933971147554,13.340741448583003,12.02510435692321,False,
LA-XE,0,2008-01,1,0.0,0.8473909514443554,2.0896358377178466,-0.1973865347323899,0.6500044167119655,2.0896358377178466,0.6235795868480262,0.568355809676894,False,
LA-XE,0,2008-02,2,0.0,0.8817870312997993,2.094279522424567,-0.23139812842135812,0.6503889028784412,2.094279522424567,0.6353889210805804,0.5693601434427921,False,
LA-XE,0,2008-03,3,0.0,0.8537362673134745,2.0962835743286568,-0.10698233519994638,0.7467539321135281,2.0962835743286568,0.6267149614031841,0.5949071323588635,False,
LA-XI,0,2008-01,1,0.0,0.037978971073608384,0.23596314892168488,-0.03800197413130083,0.0,0.23596314892168488,0.05757681739413064,0.05514340272029707,False,
LA-XI,0,2008-02,2,0.0,0.037937028850090995,0.23596090195477482,-0.031441913001002,0.006495115849088996,0.23596090195477482,0.057570955113549226,0.05521419844744372,False,
LA-XI,0,2008-03,3,0.0,0.03793707516914767,0.23596090459240027,-0.027023155690535032,0.010913919478612637,0.23596090459240027,0.057570961619296236,0.05534422936960975,False,
LA-XN,0,2008-01,1,,1.9227034658482431,4.134660339860258,-0.49411370469141425,1.4285897611568288,4.134660339860258,,,False,
LA-XN,0,2008-02,2,,1.9265079357685868,4.13941642457591,-0.3707648302584137,1.5557431055101731,4.13941642457591,,,False,
LA-XN,0,2008-03,3,,1.9264506066802944,4.144190197606953,-0.08278073085181543,1.843669875828479,4.144190197606953,,,False,
LA-AT,1,2008-04,1,0.0,3.669853073058782,19.13792957457747,-1.1595843164586948,2.5102687566000874,19.13792957457747,4.752326174801341,4.6036077138133855,False,
LA-AT,1,2008-05,2,4.0,4.339198631912654,19.494041883477173,-0.5779449976010029,3.761253634311651,19.494041883477173,4.558014210909062,4.556826151841027,False,
LA-AT,1,2008-06,3,10.0,4.448858213599773,19.522349784421518,1.0831222862259586,5.531980499825732,19.522349784421518,5.187779195494526,4.968454752457165,False,
LA-BK,1,2008-04,1,0.0,0.473294023990439,1.8533074055003906,-0.1534051814682648,0.3198888425221742,1.8533074055003906,0.4810679811278599,0.45508138343644433,False,
LA-BK,1,2008-05,2,12.0,0.6463410728300799,1.9790222486855704,-0.14800744198282073,0.4983336308472592,1.9790222486855704,10.237115191999761,10.385122632830386,False,
