province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-2.1315656376748646,1.9723432610555212,19.410750502675594,4.536416804831934,4.620618122955098,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-0.8458581043424835,3.9562638081940262,19.7734184426588,4.779101201697389,4.698097362388651,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,0.018289828878031135,4.939201272244294,19.80435544110605,5.113482554900363,5.117078175070757,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.2484907267903096,0.23213946919655765,1.8765424473141747,0.49552151829517654,0.562166121822513,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.24534974352396488,0.4113124586318502,2.0044092923989947,0.5534847307657131,0.5019746050540767,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.16944656528979457,0.5516877974888856,2.023108843930076,0.5742653069529458,0.5324386615864101,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-6.640462191493893,0.0,32.065831760355195,7.865625282702532,8.727772915259882,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-7.049207768407383,3.1352655293778415,38.4783743655274,9.097282997911094,9.146930422035704,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-8.050116597107792,9.035151578871279,41.01550710425417,12.069977797098717,10.211103472964918,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-16.377353656523272,30.36071722520276,63.99224745934991,19.194999632559057,25.88771601988824,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-22.819438930812442,40.48076188326243,78.41293171869822,21.916990943486898,30.401896547785746,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-13.853093255049512,59.07771999485435,84.96319096100622,21.55577216710967,24.88204727519459,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.07847766084844214,0.1512937955809826,0.9715574422454025,0.24862633841065293,0.236428193667821,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.09838241430939178,0.18361183193279346,0.9731845766686849,0.2598004887599149,0.24120775536893127,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.05585599377379958,0.2225974595458265,0.9732329777448774,0.25900786766536554,0.24766268554690152,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,1.2580814579796904,12.673123948748923,65.73653641897177,16.15110206429242,16.333989912772928,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,5.931694442227768,15.229503657447076,112.23066276083395,26.53486458946777,27.050940220133324,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,13.668680837762322,23.359189138133594,141.56548222396952,33.34767296505556,34.61735071052772,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.0680304137874048,0.11797938627858316,0.7133236539002743,0.18594187452140437,0.1744670470972848,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.04736516300796806,0.13918143715856165,0.7133455148264882,0.18605698656595407,0.17750462544322326,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.01619120851605599,0.17035694078577648,0.7133455695394665,0.18605731747304505,0.18285899653675886,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-7.333034934620201,6.631282679517907,38.80613269509383,11.052141551412696,9.519770497455252,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-5.538269971234943,10.99963699825739,40.45489214609463,9.45695839682557,9.700362706748585,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-5.394844362931566,11.877943871931212,40.61413467786925,9.710576077878502,10.492541584284147,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,0.004926895608625321,0.006964987974382416,0.5712735250673434,0.1335066542166356,0.133537630165166,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,0.02192118644764423,0.02270399228319245,0.6007935752838246,0.1404028478157884,0.14074468626966313,False,
LA-OU,0,2008-03,3,0.0,0.001555952479635101,0.7349383831127196,0.05893332201616788,0.060489274495802985,0.7349383831127196,0.1717527228956858,0.17373645584267727,False,
LA-PH,0,2008-01,1,,0.03749040424662971,0.388467396929649,0.03667615573368071,0.07416655998031041,0.388467396929649,,,False,
LA-PH,0,2008-02,2,,0.037262431085092335,0.38845290623213985,0.0179117863613584,0.055174217446450735,0.38845290623213985,,,False,
LA-PH,0,2008-03,3,,0.03726381735348356,0.3884530375009129,0.03488760223431392,0.07215141958779747,0.3884530375009129,,,False,
LA-SL,0,2008-01,1,0.0,7.1019642786888655,13.195504782771753,-1.0912023443905745,6.010761934298291,13.195504782771753,4.572851396632064,4.157523652232624,False,
LA-SL,0,2008-02,2,1.0,7.1577980365530856,14.723273757946362,-0.4212917231651014,6.736506313387984,14.723273757946362,4.453476534252075,4.3213069218581905,False,
LA-SL,0,2008-03,3,5.0,7.17912400828643,15.117977741805367,0.15889209403255075,7.3380161023189805,15.117977741805367,3.6580873768839246,3.6769571687857368,False,
LA-SV,0,2008-01,1,1.0,-11.485014460641358,218.57726293087973,10.841728189184865,0.0,218.57726293087973,51.36483175949996,51.08223366333214,False,
LA-SV,0,2008-02,2,1.0,-19.622384647363237,333.8632680799089,26.744596434708356,7.122211787345119,333.8632680799089,78.53018922411142,78.06695521960961,False,
LA-SV,0,2008-03,3,1.0,-14.902385928129892,419.5674617069116,50.83691644363948,35.93453051550959,419.5674617069116,98.29123410285817,99.21056617275045,False,
LA-VT,0,2008-01,1,29.0,22.13084382532213,155.4562732467316,-18.85212197194897,3.2787218533731597,155.4562732467316,36.45042063000756,38.023289049728774,False,
LA-VT,0,2008-02,2,12.0,16.420554944247673,225.65272403392328,-17.627955572853498,0.0,225.65272403392328,52.76845511856109,52.98843274115899,False,
LA-VT,0,2008-03,3,26.0,19.472313008862173,279.17942127827797,-12.243156983557151,7.229156025305022,279.17942127827797,65.30371563814666,65.74613287218584,False,
LA-XA,0,2008-01,1,0.0,12.007580844264966,44.4086430753409,-5.835694830900843,6.171886013364123,44.4086430753409,11.665492855709706,10.719725790760851,False,
LA-XA,0,2008-02,2,0.0,15.559567206370208,46.788416373047404,-5.300012187943956,10.259555018426251,46.788416373047404,12.97967330298053,11.8281272943915,False,
LA-XA,0,2008-03,3,0.0,16.705741583381936,47.06933971147554,-3.2748540274723017,13.430887555909635,47.06933971147554,13.340741448583003,12.518486550241779,False,
LA-XE,0,2008-01,1,0.0,0.8473909514443554,2.0896358377178466,-0.07108672345404136,0.7763042279903141,2.0896358377178466,0.6235795868480262,0.6020866150353332,False,
LA-XE,0,2008-02,2,0.0,0.8817870312997993,2.094279522424567,-0.0006371709250930333,0.8811498603747062,2.094279522424567,0.6353889210805804,0.635181096900543,False,
LA-XE,0,2008-03,3,0.0,0.8537362673134745,2.0962835743286568,0.09097203534653678,0.9447083026600113,2.0962835743286568,0.6267149614031841,0.6569198002618593,False,
LA-XI,0,2008-01,1,0.0,0.037978971073608384,0.23596314892168488,-0.03921724563313239,0.0,0.23596314892168488,0.05757681739413064,0.05514340272029707,False,
LA-XI,0,2008-02,2,0.0,0.037937028850090995,0.23596090195477482,-0.032380517198644806,0.005556511651446189,0.23596090195477482,0.057570955113549226,0.05519507568097719,False,
LA-XI,0,2008-03,3,0.0,0.03793707516914767,0.23596090459240027,-0.02206877571632658,0.01586829945282109,0.23596090459240027,0.057570961619296236,0.05556844445986779,False,
LA-XN,0,2008-01,1,,1.9227034658482431,4.134660339860258,-0.14888013523185362,1.7738233306163895,4.134660339860258,,,False,
LA-XN,0,2008-02,2,,1.9265079357685868,4.13941642457591,0.11386904886706739,2.040376984635654,4.13941642457591,,,False,
LA-XN,0,2008-03,3,,1.9264506066802944,4.144190197606953,0.2560042063114314,2.182454812991726,4.144190197606953,,,False,
LA-AT,1,2008-04,1,0.0,3.669853073058782,19.13792957457747,0.3030723338476492,3.9729254069064313,19.13792957457747,4.752326174801341,4.8002917804724365,False,
LA-AT,1,2008-05,2,4.0,4.339198631912654,19.494041883477173,2.029185059208219,6.368383691120873,19.494041883477173,4.558014210909062,4.670310861432497,False,
LA-AT,1,2008-06,3,10.0,4.448858213599773,19.522349784421518,2.9075767442686478,7.356434957868421,19.522349784421518,5.187779195494526,4.70486705798792,False,
LA-BK,1,2008-04,1,0.0,0.473294023990439,1.8533074055003906,-0.10132776625079817,0.37196625773964087,1.8533074055003906,0.4810679811278599,0.4627921421406788,False,
LA-BK,1,2008-05,2,12.0,0.6463410728300799,1.9790222486855704,0.11346937624457674,0.7598104490746567,1.9790222486855704,10.237115191999761,10.123645817055662,False,
LA-BK,1,2008-06,3,53.0,0.7096110056714757,1.9972994809545028,0.15613905937832992,0.8657500650498057,1.9972994809545028,51.16353343194865,51.00739437257033,False,
LA-BL,1,2008-04,1,3.0,10.296096808465538,31.656424755814268,-4.8612496181364975,5.434847190329041,31.656424755814268,8.065849617302717,7.472622869343827,False,
LA-BL,1,2008-05,2,15.0,13.528545564122764,37.996204476750165,-2.294268617265987,11.234276946856777,37.996204476750165,8.902252652777577,9.028290757350785,False,
LA-BL,1,2008-06,3,19.0,20.25950459931389,40.50708719474455,0.47167426302987875,20.731178862343768,40.50708719474455,9.48192507047632,9.49581469790256,False,
LA-CH,1,2008-04,1,69.0,97.98646907627938,63.17242882385317,6.396858965607956,104.38332804188734,63.17242882385317,19.977979688682062,22.469105869755232,False,
LA-CH,1,2008-05,2,113.0,97.9433190208146,77.31302752312375,13.499972244520565,111.44329126533516,77.31302752312375,19.23379434839916,18.08017045248118,False,
LA-CH,1,2008-06,3,295.0,108.29910248010837,83.71027054794273,42.13382997725677,150.43293245736515,83.71027054794273,140.2227085895908,100.20460510351248,False,
LA-HO,1,2008-04,1,0.0,0.29014350504451,0.9590509815578375,-0.17230953737329227,0.1178339676712177,0.9590509815578375,0.2588789544564615,0.22989390557115547,False,
LA-HO,1,2008-05,2,0.0,0.2703392103541706,0.9606989261079935,-0.1226835714284523,0.14765563892571826,0.9606989261079935,0.25466057664797603,0.23354636520187297,False,
LA-HO,1,2008-06,3,0.0,0.2716909900127283,0.9607464409443158,-0.08977722399231255,0.18191376602041573,0.9607464409443158,0.25497047171381426,0.23822215473825734,False,
LA-KH,1,2008-04,1,0.0,-2.0160646936810735,64.83970614058596,4.293304075038765,2.277239381357692,64.83970614058596,15.177719579340867,15.184617403771984,False,
LA-KH,1,2008-05,2,0.0,-1.6485657315570967,110.65924839557128,17.63857642041871,15.990010688861611,110.65924839557128,25.870308298144028,26.780674285403087,False,
LA-KH,1,2008-06,3,1.0,-1.6439896140204615,139.62586125540102,31.025899844058827,29.381910230038365,139.62586125540102,32.64983581115052,34.92355738385394,False,
LA-LM,1,2008-04,1,0.0,0.16600586883794743,0.7042880118519302,-0.06458745199090733,0.1014184168470401,0.7042880118519302,0.18012683300138324,0.1704048314911054,False,
LA-LM,1,2008-05,2,0.0,0.17257669615790514,0.7050884167233377,-0.0280214282774281,0.14455526788047704,0.7050884167233377,0.18154319568624047,0.17655756301781175,False,
LA-LM,1,2008-06,3,0.0,0.1728367819727678,0.7050995204432439,-0.023614122414887882,0.14922265955787992,0.7050995204432439,0.18159585489355673,0.17733020296910906,False,
LA-LP,1,2008-04,1,33.0,18.877355187647154,38.29165137978832,1.3139745300489842,20.19132971769614,38.29165137978832,11.003292400975605,10.642088555577745,False,
LA-LP,1,2008-05,2,116.0,18.102771419400455,39.92139329047611,5.089825960580406,23.19259737998086,39.92139329047611,75.55934522900601,70.55600432200869,False,
LA-LP,1,2008-06,3,160.0,17.79040337715438,40.07855954834676,9.911586910914425,27.701990288068806,40.07855954834676,119.60155543875378,109.69626801549954,False,
LA-OU,1,2008-04,1,0.0,4.0827751593962237e-07,0.5633573293146457,0.016315347333732466,0.016315755611248407,0.5633573293146457,0.1316537782608032,0.13184227773575372,False,
LA-OU,1,2008-05,2,0.0,-0.010784164695711676,0.5924660086086837,0.10027638496921894,0.08949222027350726,0.5924660086086837,0.13853463868172985,0.14383893582387455,False,
LA-OU,1,2008-06,3,0.0,3.1169234951389235e-07,0.7247477635997234,0.11745298941221922,0.11745330110456874,0.7247477635997234,0.16936991213018207,0.17694703926793798,False,
LA-PH,1,2008-04,1,,0.037263806389440456,0.3884530341822674,0.03541963981132782,0.07268344620076828,0.3884530341822674,,,False,
LA-PH,1,2008-05,2,,0.037263806440704525,0.3884530341995679,0.0462502314398692,0.08351403788057372,0.3884530341995679,,,False,
LA-PH,1,2008-06,3,,0.03726380644039279,0.38845303421199473,0.05643043727890467,0.09369424371929747,0.38845303421199473,,,False,
LA-SL,1,2008-04,1,2.0,5.698058027008456,13.025327792893624,0.033066290067614995,5.7311243170760715,13.025327792893624,3.4600225896997485,3.4674458183043377,False,
LA-SL,1,2008-05,2,105.0,6.025438329304205,14.536195232205829,1.1494630832164543,7.174901412520659,14.536195232205829,90.77339173628887,89.6239286530875,False,
LA-SL,1,2008-06,3,226.0,6.174285523348434,14.921832157101784,3.141847665133238,9.316133188481672,14.921832157101784,211.40697220616678,208.26512454103357,False,
LA-SV,1,2008-04,1,0.0,6.134848383008844,215.5552457286874,17.10867695287313,23.243525335881973,215.5552457286874,50.44382964353888,51.373107973987686,False,
LA-SV,1,2008-05,2,1.0,21.4969700231047,329.25670049461996,58.538020108128904,80.0349901312336,329.25670049461996,77.45451616271545,84.47808128182533,False,
LA-SV,1,2008-06,3,10.0,53.563041180923975,413.7805186935503,120.34317951006102,173.90622069098498,413.7805186935503,98.52642609385947,122.26683808926478,False,
LA-VT,1,2008-04,1,4.0,18.685443161432634,153.31154803778543,9.757063771787303,28.44250693321994,153.31154803778543,36.38889923863219,37.379482853169414,False,
LA-VT,1,2008-05,2,17.0,19.081639603228,222.5285107848952,34.89766836474915,53.97930796797715,222.5285107848952,52.011563679748825,54.4497259664719,False,
LA-VT,1,2008-06,3,60.0,36.16065182233108,275.30948330428737,74.29864014996397,110.45929197229506,275.30948330428737,65.16145588721096,68.01768100622068,False,
LA-XA,1,2008-04,1,0.0,11.326357840841244,43.83059131038296,-4.737246718590847,6.589111122250396,43.83059131038296,11.404186135412877,10.637418706631934,False,
LA-XA,1,2008-05,2,2.0,15.00037299717875,46.21213428787435,-1.2278374887545886,13.772535508424163,46.21213428787435,12.24903172458428,11.989563509000526,False,
LA-XA,1,2008-06,3,6.0,16.41757865200633,46.4960498562039,5.790674729493713,22.208253381500043,46.4960498562039,11.793184434475556,13.097406966847592,False,
LA-XE,1,2008-04,1,0.0,0.48528207957358643,1.8955775743908212,-0.15028161283891828,0.33500046673466816,1.8955775743908212,0.49228096084397027,0.46654455793680183,False,
LA-XE,1,2008-05,2,0.0,0.6741022025684368,2.039907403372344,0.042960307665939654,0.7170625102343764,2.039907403372344,0.5647853019717531,0.576250637127493,False,
LA-XE,1,2008-06,3,5.0,0.7473829215831951,2.0632135486702015,0.16113243732331536,0.9085153589065105,2.0632135486702015,3.1182681721308145,2.9640995186259596,False,
LA-XI,1,2008-04,1,0.0,0.03692613783219577,0.23274649919618887,-0.028765810178938263,0.008160327653257506,0.23274649919618887,0.05672399124064306,0.05450581725751055,False,
LA-XI,1,2008-05,2,0.0,0.036059524538657725,0.2327618221179713,-0.016128717705477958,0.019930806833179767,0.2327618221179713,0.05661945381396026,0.05507569775667404,False,
LA-XI,1,2008-06,3,1.0,0.03607986293970984,0.23276297513791253,-0.015217424045031925,0.02086243889467792,0.23276297513791253,0.8325994536683179,0.8478164205659876,False,
LA-XN,1,2008-04,1,,1.9264514601027207,4.148958135992652,0.16948988438877433,2.095941344491495,4.148958135992652,,,False,
LA-XN,1,2008-05,2,,1.9264514470849434,4.153720599767634,0.5362767136182293,2.462728160703173,4.153720599767634,,,False,
LA-XN,1,2008-06,3,,1.9264514472811067,4.15847760929299,0.8399369230483061,2.766388370329413,4.15847760929299,,,False,
LA-AT,2,2008-07,1,6.0,5.459756750625248,18.89178816023257,19.146925395688008,24.606682146313254,18.89178816023257,4.421078918332584,11.187601988817441,False,
LA-AT,2,2008-08,2,11.0,4.6622703190376455,19.245011557062316,5.540178232965412,10.202448552003059,19.245011557062316,5.3226622336022915,4.510646536918585,False,
LA-AT,2,2008-09,3,24.0,4.362871799395936,19.273087013699882,7.6745403761657025,12.037412175561638,19.273087013699882,11.861085167631893,7.3746298514302575,False,
LA-BK,2,2008-07,1,2.0,73.11411427880076,4.442028923635535,-11.681083390019754,61.433030888781005,4.442028923635535,68.60796783026774,56.92688444024799,False,
LA-BK,2,2008-08,2,9.0,83.71338982368334,7.951071300411221,-34.80331138023726,48.91007844344608,7.951071300411221,70.22747821794582,35.424167603495185,False,
LA-BK,2,2008-09,3,33.0,89.19752486576202,11.088468356834797,-51.60226203543292,37.5952628303291,11.088468356834797,49.94152734245643,3.3403600151054507,False,
LA-BL,2,2008-07,1,31.0,28.923075892989942,31.2396617549828,27.099610373362815,56.02268626635276,31.2396617549828,7.355618238641794,14.894953292964246,False,
LA-BL,2,2008-08,2,32.0,25.031090212568824,37.49741045338484,15.053985025498196,40.08507523806702,37.49741045338484,9.278174368205173,9.455742192202438,False,
