province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-2.3326709775030903,1.7712379212272955,19.410750502675594,4.536416804831934,4.638175690254841,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-2.118923390588951,2.683198521947559,19.7734184426588,4.779101201697389,4.630364844086767,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-0.9509753575814975,3.9699360857847656,19.80435544110605,5.113482554900363,4.9445995433313294,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.22163101163314577,0.2589991843537215,1.8765424473141747,0.49552151829517654,0.5537768331155379,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.2435709443888466,0.4130912577669684,2.0044092923989947,0.5534847307657131,0.5022644314893596,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.4711823154102847,0.24995204736839544,2.023108843930076,0.5742653069529458,0.4850945439011948,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-3.90041371521784,0.6248255640594698,32.065831760355195,7.865625282702532,8.579419083716472,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-8.916811495958555,1.2676618018266694,38.4783743655274,9.097282997911094,9.332262219993348,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-11.385815412763714,5.699452763215357,41.01550710425417,12.069977797098717,9.799694324995183,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-21.82770794631893,24.9103629354071,63.99224745934991,19.194999632559057,28.729988385097062,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-15.693028806497539,47.60717200757734,78.41293171869822,21.916990943486898,27.25173198055623,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-3.3829032178890057,69.54791003201485,84.96319096100622,21.55577216710967,22.208762707639735,False,
