province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-3.3230290191364307,0.7808798795939551,19.410750502675594,4.536416804831934,4.748689698513047,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-2.2484827217278425,2.5536391908086675,19.7734184426588,4.779101201697389,4.627132346920546,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-1.3412637767059579,3.579647666660305,19.80435544110605,5.113482554900363,4.885602832992862,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.20664508053283284,0.27398511545403437,1.8765424473141747,0.49552151829517654,0.5492193830892872,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.246611006614424,0.410051195541391,2.0044092923989947,0.5534847307657131,0.5017698499540473,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.17532383710454427,0.5458105256741359,2.023108843930076,0.5742653069529458,0.5311821367131536,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-6.123555869592618,0.0,32.065831760355195,7.865625282702532,8.727772915259882,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-6.2646035541327585,3.919869743652466,38.4783743655274,9.097282997911094,9.090513275504891,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-5.888906692439798,11.196361483539272,41.01550710425417,12.069977797098717,10.591177855475971,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-9.878535094270424,36.859535787455606,63.99224745934991,19.194999632559057,22.8876784498689,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-19.520183176245908,43.78001763782897,78.41293171869822,21.916990943486898,28.889428633471304,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-7.438813795763629,65.49199945414023,84.96319096100622,21.55577216710967,23.128352163254043,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.14935411120551673,0.08041734522390803,0.9715574422454025,0.24862633841065293,0.22970204716850723,False,
