province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-2.9294537125846363,1.1744551861457495,19.410750502675594,4.536416804831934,4.699991998916187,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-2.1370294870527524,2.6650924254837576,19.7734184426588,4.779101201697389,4.629872404890648,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-1.7160619366659526,3.2048495067003104,19.80435544110605,5.113482554900363,4.834630028152251,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.31142551938087276,0.16920467660599448,1.8765424473141747,0.49552151829517654,0.5829249662436096,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.27951153488277025,0.3771506672730448,2.0044092923989947,0.5534847307657131,0.49664803463565343,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.30848398066091776,0.4126503821177624,2.023108843930076,0.5742653069529458,0.5062524834856308,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-5.716424046198964,0.0,32.065831760355195,7.865625282702532,8.727772915259882,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-6.503048456897364,3.6814248408878605,38.4783743655274,9.097282997911094,9.10631384132396,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-8.354480089774212,8.730788086204859,41.01550710425417,12.069977797098717,10.164715406817862,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-14.916018846473541,31.82205203525249,63.99224745934991,19.194999632559057,25.175374296734766,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-20.520041089850615,42.78015972422426,78.41293171869822,21.916990943486898,29.338066005229887,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-15.508368869653149,57.42244438025072,84.96319096100622,21.55577216710967,25.39319210613917,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.13207250943654628,0.09769894699287848,0.9715574422454025,0.24862633841065293,0.23096421078710835,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.12491627438110674,0.15707797186107847,0.9731845766686849,0.2598004887599149,0.23752096928858946,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.10234368358051388,0.1761097697391122,0.9732329777448774,0.25900786766536554,0.24011843546016534,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-0.9840515735053957,10.430990917263838,65.73653641897177,16.15110206429242,16.021236245839752,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,3.6359526637411292,12.933761878960437,112.23066276083395,26.53486458946777,26.821716928503196,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,8.73563707511895,18.426145375490222,141.56548222396952,33.34767296505556,34.038594752510576,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.10391750485687616,0.0820922952091118,0.7133236539002743,0.18594187452140437,0.17046501893716953,False,
