province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-2.874155473456588,1.2297534252737976,19.410750502675594,4.536416804831934,4.69365419763351,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-1.6564260010329448,3.145695911503565,19.7734184426588,4.779101201697389,4.647424157828622,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-1.0928481941541275,3.8280632492121356,19.80435544110605,5.113482554900363,4.922456741508456,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.27590213414517234,0.2047280618416949,1.8765424473141747,0.49552151829517654,0.5710185750974828,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.27782984961063545,0.3788323525451796,2.0044092923989947,0.5534847307657131,0.4968995777361162,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.3080194587674074,0.41311490401127277,2.023108843930076,0.5742653069529458,0.5063276020466311,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-6.628030032899426,0.0,32.065831760355195,7.865625282702532,8.727772915259882,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-8.031047494834562,2.1534258029506628,38.4783743655274,9.097282997911094,9.235417311526144,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-9.97167876179573,7.113589414183341,41.01550710425417,12.069977797098717,9.947988344938596,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-8.706505395846444,38.03156548587959,63.99224745934991,19.194999632559057,22.393651324506987,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-15.109089369708776,48.1911114443661,78.41293171869822,21.916990943486898,27.01309294453806,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-8.130581138384576,64.80023211151929,84.96319096100622,21.55577216710967,23.29994235833667,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.0988783090110198,0.13089314741840496,0.9715574422454025,0.24862633841065293,0.23407265553197149,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.10419063072840413,0.1778036155137811,0.9731845766686849,0.2598004887599149,0.24035214956541767,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.05767911840347294,0.22077433491615311,0.9732329777448774,0.25900786766536554,0.24733418582331645,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-1.1492663142549349,10.265776176514297,65.73653641897177,16.15110206429242,16.000569902468087,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,3.6350424365278764,12.932851651747185,112.23066276083395,26.53486458946777,26.821633420606616,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,11.164848282840152,20.855356583211424,141.56548222396952,33.34767296505556,34.306640720921344,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.10363255239696689,0.08237724766902108,0.7133236539002743,0.18594187452140437,0.1704911718577352,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.0713361502387102,0.11521044992781951,0.7133455148264882,0.18605698656595407,0.17411241622927146,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.04886036653513609,0.13768778276669638,0.7133455695394665,0.18605731747304505,0.1772748026664339,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-8.992074358766859,4.97224325537125,38.80613269509383,11.052141551412696,9.32261537526823,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-8.022471428887206,8.515435540605127,40.45489214609463,9.45695839682557,10.004958169511662,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-8.768938544012942,8.503849690849835,40.61413467786925,9.710576077878502,11.264209644096669,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,-0.02258740938373497,0.0,0.5712735250673434,0.1335066542166356,0.13350375344705884,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,0.004374051151573477,0.005156856987121698,0.6007935752838246,0.1404028478157884,0.14042009934936497,False,
LA-OU,0,2008-03,3,0.0,0.001555952479635101,0.7349383831127196,0.015998060088815946,0.017554012568451047,0.7349383831127196,0.1717527228956858,0.1719186684202464,False,
LA-PH,0,2008-01,1,,0.03749040424662971,0.388467396929649,-0.023023823286161312,0.014466580960468396,0.388467396929649,,,False,
LA-PH,0,2008-02,2,,0.037262431085092335,0.38845290623213985,-0.00773627613158953,0.029526154953502803,0.38845290623213985,,,False,
LA-PH,0,2008-03,3,,0.03726381735348356,0.3884530375009129,-0.0005486697895845075,0.03671514756389905,0.3884530375009129,,,False,
LA-SL,0,2008-01,1,0.0,7.1019642786888655,13.195504782771753,-2.255517898082595,4.84644638060627,13.195504782771753,4.572851396632064,3.785965575866889,False,
LA-SL,0,2008-02,2,1.0,7.1577980365530856,14.723273757946362,-2.4865495301909575,4.671248506362128,14.723273757946362,4.453476534252075,3.804076691157795,False,
LA-SL,0,2008-03,3,5.0,7.17912400828643,15.117977741805367,-2.0656530790557492,5.113470929230681,15.117977741805367,3.6580873768839246,3.5333352333549835,False,
LA-SV,0,2008-01,1,1.0,-11.485014460641358,218.57726293087973,-2.6548942263763187,0.0,218.57726293087973,51.36483175949996,51.08223366333214,False,
LA-SV,0,2008-02,2,1.0,-19.622384647363237,333.8632680799089,17.36379714501449,0.0,333.8632680799089,78.53018922411142,78.02336376649835,False,
LA-SV,0,2008-03,3,1.0,-14.902385928129892,419.5674617069116,25.504627022843422,10.60224109471353,419.5674617069116,98.29123410285817,98.13847509300312,False,
LA-VT,0,2008-01,1,29.0,22.13084382532213,155.4562732467316,-18.778154319328255,3.352689505993876,155.4562732467316,36.45042063000756,38.013582407289,False,
LA-VT,0,2008-02,2,12.0,16.420554944247673,225.65272403392328,-13.686868341589292,2.7336866026583806,225.65272403392328,52.76845511856109,52.88569096557867,False,
LA-VT,0,2008-03,3,26.0,19.472313008862173,279.17942127827797,-13.361428404206361,6.110884604655812,279.17942127827797,65.30371563814666,65.807861710458,False,
LA-XA,0,2008-01,1,0.0,12.007580844264966,44.4086430753409,-7.177229404656911,4.830351439608055,44.4086430753409,11.665492855709706,10.587474644734723,False,
LA-XA,0,2008-02,2,0.0,15.559567206370208,46.788416373047404,-5.784570867403646,9.774996338966561,46.788416373047404,12.97967330298053,11.74598097873828,False,
LA-XA,0,2008-03,3,0.0,16.705741583381936,47.06933971147554,-5.910664104905065,10.795077478476871,47.06933971147554,13.340741448583003,11.983258076708456,False,
LA-XE,0,2008-01,1,0.0,0.8473909514443554,2.0896358377178466,-0.24346676708604267,0.6039241843583127,2.0896358377178466,0.6235795868480262,0.5574880147522779,False,
LA-XE,0,2008-02,2,0.0,0.8817870312997993,2.094279522424567,-0.12319659940201017,0.7585904318977892,2.094279522424567,0.6353889210805804,0.5978596899946157,False,
LA-XE,0,2008-03,3,0.0,0.8537362673134745,2.0962835743286568,-0.17757090854473875,0.6761653587687357,2.0962835743286568,0.6267149614031841,0.5761536770932569,False,
LA-XI,0,2008-01,1,0.0,0.037978971073608384,0.23596314892168488,-0.04363290747308685,0.0,0.23596314892168488,0.05757681739413064,0.05514340272029707,False,
LA-XI,0,2008-02,2,0.0,0.037937028850090995,0.23596090195477482,-0.03312622326154583,0.004810805588545165,0.23596090195477482,0.057570955113549226,0.05518200588016845,False,
LA-XI,0,2008-03,3,0.0,0.03793707516914767,0.23596090459240027,-0.028410027985281944,0.009527047183865725,0.23596090459240027,0.057570961619296236,0.05529631436776152,False,
LA-XN,0,2008-01,1,,1.9227034658482431,4.134660339860258,-0.6042417389785928,1.3184617268696504,4.134660339860258,,,False,
LA-XN,0,2008-02,2,,1.9265079357685868,4.13941642457591,-0.39903995012524546,1.5274679856433413,4.13941642457591,,,False,
LA-XN,0,2008-03,3,,1.9264506066802944,4.144190197606953,-0.47244600184219804,1.4540046048380963,4.144190197606953,,,False,
LA-AT,1,2008-04,1,0.0,3.669853073058782,19.13792957457747,-0.7538602954762768,2.915992777582505,19.13792957457747,4.752326174801341,4.649346610957251,False,
LA-AT,1,2008-05,2,4.0,4.339198631912654,19.494041883477173,-0.15870927964115916,4.180489352271495,19.494041883477173,4.558014210909062,4.556326340469072,False,
LA-AT,1,2008-06,3,10.0,4.448858213599773,19.522349784421518,2.0108264618872207,6.459684675486994,19.522349784421518,5.187779195494526,4.817706285332437,False,
LA-BK,1,2008-04,1,0.0,0.473294023990439,1.8533074055003906,-0.08048561044539594,0.3928084135450431,1.8533074055003906,0.4810679811278599,0.4661990770534272,False,
LA-BK,1,2008-05,2,12.0,0.6463410728300799,1.9790222486855704,-0.15952565311109634,0.48681541971898357,1.9790222486855704,10.237115191999761,10.396640843888694,False,
LA-BK,1,2008-06,3,53.0,0.7096110056714757,1.9972994809545028,0.05447607996039315,0.7640870856318689,1.9972994809545028,51.16353343194865,51.10905735198826,False,
LA-BL,1,2008-04,1,3.0,10.296096808465538,31.656424755814268,-5.34570374034659,4.950393068118949,31.656424755814268,8.065849617302717,7.445871693001208,False,
LA-BL,1,2008-05,2,15.0,13.528545564122764,37.996204476750165,-6.988601294501669,6.5399442696210945,37.996204476750165,8.902252652777577,9.627910943098177,False,
LA-BL,1,2008-06,3,19.0,20.25950459931389,40.50708719474455,-1.9938368222700351,18.265667777043852,40.50708719474455,9.48192507047632,9.47161352749213,False,
LA-CH,1,2008-04,1,69.0,97.98646907627938,63.17242882385317,8.04139170002065,106.02786077630003,63.17242882385317,19.977979688682062,23.18189218876444,False,
LA-CH,1,2008-05,2,113.0,97.9433190208146,77.31302752312375,17.599183227438555,115.54250224825316,77.31302752312375,19.23379434839916,18.10101967208533,False,
LA-CH,1,2008-06,3,295.0,108.29910248010837,83.71027054794273,44.15060512262068,152.44970760272906,83.71027054794273,140.2227085895908,98.36200378976821,False,
LA-HO,1,2008-04,1,0.0,0.29014350504451,0.9590509815578375,-0.16020330472731448,0.1299402003171955,0.9590509815578375,0.2588789544564615,0.23113820261831003,False,
LA-HO,1,2008-05,2,0.0,0.2703392103541706,0.9606989261079935,-0.1687661042436797,0.10157310611049089,0.9606989261079935,0.25466057664797603,0.22879083062907926,False,
LA-HO,1,2008-06,3,0.0,0.2716909900127283,0.9607464409443158,-0.06189071273368828,0.20980027727904,0.9607464409443158,0.25497047171381426,0.24272668787201984,False,
LA-KH,1,2008-04,1,0.0,-2.0160646936810735,64.83970614058596,3.645200006082016,1.6291353124009427,64.83970614058596,15.177719579340867,15.169042685857804,False,
LA-KH,1,2008-05,2,0.0,-1.6485657315570967,110.65924839557128,18.8110967851096,17.162531053552506,110.65924839557128,25.870308298144028,26.92029048648048,False,
LA-KH,1,2008-06,3,1.0,-1.6439896140204615,139.62586125540102,29.438967076339747,27.794977462319284,139.62586125540102,32.64983581115052,34.67499290026309,False,
LA-LM,1,2008-04,1,0.0,0.16600586883794743,0.7042880118519302,-0.06287453655728256,0.10313133228066487,0.7042880118519302,0.18012683300138324,0.170602605981667,False,
LA-LM,1,2008-05,2,0.0,0.17257669615790514,0.7050884167233377,-0.06902847497782653,0.1035482211800786,0.7050884167233377,0.18154319568624047,0.1708314309575169,False,
LA-LM,1,2008-06,3,0.0,0.1728367819727678,0.7050995204432439,-0.006242671352660953,0.16659411062010684,0.7050995204432439,0.18159585489355673,0.1804084392220126,False,
LA-LP,1,2008-04,1,33.0,18.877355187647154,38.29165137978832,1.1326436422715815,20.009998829918736,38.29165137978832,11.003292400975605,10.68992099550337,False,
LA-LP,1,2008-05,2,116.0,18.102771419400455,39.92139329047611,5.936750931345478,24.039522350745933,39.92139329047611,75.55934522900601,69.72657858632095,False,
LA-LP,1,2008-06,3,160.0,17.79040337715438,40.07855954834676,9.994270979678003,27.784674356832383,40.07855954834676,119.60155543875378,109.61366390818372,False,
LA-OU,1,2008-04,1,0.0,4.0827751593962237e-07,0.5633573293146457,0.013731866555044539,0.013732274832560478,0.5633573293146457,0.1316537782608032,0.13178731156225312,False,
LA-OU,1,2008-05,2,0.0,-0.010784164695711676,0.5924660086086837,0.06796490347101125,0.057180738775299576,0.5924660086086837,0.13853463868172985,0.1406562622255422,False,
LA-OU,1,2008-06,3,0.0,3.1169234951389235e-07,0.7247477635997234,0.09958663780947391,0.09958694950182342,0.7247477635997234,0.16936991213018207,0.174820526502349,False,
LA-PH,1,2008-04,1,,0.037263806389440456,0.3884530341822674,0.0029081051518968296,0.040171911541337285,0.3884530341822674,,,False,
LA-PH,1,2008-05,2,,0.037263806440704525,0.3884530341995679,0.0025937110293273325,0.039857517470031856,0.3884530341995679,,,False,
LA-PH,1,2008-06,3,,0.03726380644039279,0.38845303421199473,0.024202783256361344,0.06146658969675413,0.38845303421199473,,,False,
LA-SL,1,2008-04,1,2.0,5.698058027008456,13.025327792893624,-0.7329154666907557,4.965142560317701,13.025327792893624,3.4600225896997485,3.3120820208134947,False,
LA-SL,1,2008-05,2,105.0,6.025438329304205,14.536195232205829,0.14434812034601024,6.169786449650215,14.536195232205829,90.77339173628887,90.62904361594434,False,
LA-SL,1,2008-06,3,226.0,6.174285523348434,14.921832157101784,2.1036906631459646,8.2779761864944,14.921832157101784,211.40697220616678,209.3032815430208,False,
LA-SV,1,2008-04,1,0.0,6.134848383008844,215.5552457286874,14.469249410910063,20.604097793918907,215.5552457286874,50.44382964353888,51.15928404114364,False,
LA-SV,1,2008-05,2,1.0,21.4969700231047,329.25670049461996,61.100355739229556,82.59732576233426,329.25670049461996,77.45451616271545,84.97188392531781,False,
LA-SV,1,2008-06,3,10.0,53.563041180923975,413.7805186935503,127.6408816135113,181.20392279443527,413.7805186935503,98.52642609385947,124.56176380146448,False,
LA-VT,1,2008-04,1,4.0,18.685443161432634,153.31154803778543,10.291111304818557,28.97655446625119,153.31154803778543,36.38889923863219,37.447863373765635,False,
LA-VT,1,2008-05,2,17.0,19.081639603228,222.5285107848952,41.29474404211933,60.37638364534733,222.5285107848952,52.011563679748825,55.36626989473428,False,
LA-VT,1,2008-06,3,60.0,36.16065182233108,275.30948330428737,80.19796226204778,116.35861408437887,275.30948330428737,65.16145588721096,68.9251036501657,False,
LA-XA,1,2008-04,1,0.0,11.326357840841244,43.83059131038296,-4.880874116335881,6.445483724505363,43.83059131038296,11.404186135412877,10.6204413768636,False,
LA-XA,1,2008-05,2,2.0,15.00037299717875,46.21213428787435,-4.764740861501895,10.235632135676855,46.21213428787435,12.24903172458428,11.38352721373359,False,
LA-XA,1,2008-06,3,6.0,16.41757865200633,46.4960498562039,3.7804219243135813,20.198000576319913,46.4960498562039,11.793184434475556,12.582188692739784,False,
LA-XE,1,2008-04,1,0.0,0.48528207957358643,1.8955775743908212,-0.15047268318438975,0.3348093963891967,1.8955775743908212,0.49228096084397027,0.4665177626365199,False,
LA-XE,1,2008-05,2,0.0,0.6741022025684368,2.039907403372344,-0.18601923153931843,0.48808297102911835,2.039907403372344,0.5647853019717531,0.5230844938202768,False,
LA-XE,1,2008-06,3,5.0,0.7473829215831951,2.0632135486702015,0.08237258456897542,0.8297555061521705,2.0632135486702015,3.1182681721308145,3.0392929999685983,False,
LA-XI,1,2008-04,1,0.0,0.03692613783219577,0.23274649919618887,-0.022428058569554113,0.014498079262641655,0.23274649919618887,0.05672399124064306,0.05475185776504179,False,
LA-XI,1,2008-05,2,0.0,0.036059524538657725,0.2327618221179713,-0.02188404608417804,0.014175478454479685,0.2327618221179713,0.05661945381396026,0.054739570743063765,False,
LA-XI,1,2008-06,3,1.0,0.03607986293970984,0.23276297513791253,-0.00991037061402052,0.026169492325689322,0.23276297513791253,0.8325994536683179,0.8425095118884498,False,
LA-XN,1,2008-04,1,,1.9264514601027207,4.148958135992652,-0.3517973852208105,1.5746540748819102,4.148958135992652,,,False,
LA-XN,1,2008-05,2,,1.9264514470849434,4.153720599767634,0.06471542836252434,1.9911668754474678,4.153720599767634,,,False,
LA-XN,1,2008-06,3,,1.9264514472811067,4.15847760929299,0.1762424949579753,2.1026939422390822,4.15847760929299,,,False,
LA-AT,2,2008-07,1,6.0,5.459756750625248,18.89178816023257,10.934057814453773,16.39381456507902,18.89178816023257,4.421078918332584,6.640390405056512,False,
