province,split,month,h,actual,stage1_mean,stage1_se,stage2_correction,final_mean,final_se,crps_stage1,crps,fit_failed,error
LA-AT,0,2008-01,1,4.0,4.103908898730386,19.410750502675594,-2.8077321302973495,1.2961767684330363,19.410750502675594,4.536416804831934,4.686205826025214,False,
LA-AT,0,2008-02,2,2.0,4.80212191253651,19.7734184426588,-1.3785669056234617,3.4235550069130483,19.7734184426588,4.779101201697389,4.66181712903574,False,
LA-AT,0,2008-03,3,0.0,4.920911443366263,19.80435544110605,-0.7839011383095632,4.1370103050567,19.80435544110605,5.113482554900363,4.971694659891877,False,
LA-BK,0,2008-01,1,1.0,0.48063019598686724,1.8765424473141747,-0.2064232390223345,0.27420695696453273,1.8765424473141747,0.49552151829517654,0.5491525825402258,False,
LA-BK,0,2008-02,2,0.0,0.6566622021558151,2.0044092923989947,-0.3111176253074929,0.3455445768483222,2.0044092923989947,0.5534847307657131,0.4921263749066903,False,
LA-BK,0,2008-03,3,0.0,0.7211343627786801,2.023108843930076,-0.3155472932082702,0.40558706957040996,2.023108843930076,0.5742653069529458,0.5051205356172219,False,
LA-BL,0,2008-01,1,10.0,4.52523927927731,32.065831760355195,-4.296273882703972,0.22896539657333737,32.065831760355195,7.865625282702532,8.672332046603419,False,
LA-BL,0,2008-02,2,7.0,10.184473297785225,38.4783743655274,-6.34916356668106,3.8353097311041644,38.4783743655274,9.097282997911094,9.095982198951775,False,
LA-BL,0,2008-03,3,1.0,17.08526817597907,41.01550710425417,-7.339512619490009,9.745755556489062,41.01550710425417,12.069977797098717,10.326284002933898,False,
LA-CH,0,2008-01,1,73.0,46.73807088172603,63.99224745934991,-14.443830860806187,32.294240020919844,63.99224745934991,19.194999632559057,24.949813636413428,False,
LA-CH,0,2008-02,2,90.0,63.30020081407488,78.41293171869822,-24.36533513435101,38.93486567972387,78.41293171869822,21.916990943486898,31.14194016358252,False,
LA-CH,0,2008-03,3,92.0,72.93081324990386,84.96319096100622,-20.02458579396392,52.90622745593994,84.96319096100622,21.55577216710967,26.907690067423584,False,
LA-HO,0,2008-01,1,0.0,0.22977145642942476,0.9715574422454025,-0.1405341357947966,0.08923732063462816,0.9715574422454025,0.24862633841065293,0.2303156986344617,False,
LA-HO,0,2008-02,2,0.0,0.2819942462421852,0.9731845766686849,-0.1573558888014247,0.12463835744076052,0.9731845766686849,0.2598004887599149,0.2337878804256768,False,
LA-HO,0,2008-03,3,0.0,0.27845345331962607,0.9732329777448774,-0.13046832387721122,0.14798512944241485,0.9732329777448774,0.25900786766536554,0.23639936463696035,False,
LA-KH,0,2008-01,1,0.0,11.415042490769233,65.73653641897177,-9.508678472404636,1.906364018364597,65.73653641897177,16.15110206429242,15.38435223634717,False,
LA-KH,0,2008-02,2,0.0,9.297809215219308,112.23066276083395,-10.775500733145822,0.0,112.23066276083395,26.53486458946777,26.227742181218915,False,
LA-KH,0,2008-03,3,0.0,9.69050830037127,141.56548222396952,-7.161061889260233,2.5294464111110377,141.56548222396952,33.34767296505556,33.101171998079394,False,
LA-LM,0,2008-01,1,0.0,0.18600980006598797,0.7133236539002743,-0.11079253040994834,0.07521726965603963,0.7133236539002743,0.18594187452140437,0.16986138747168064,False,
LA-LM,0,2008-02,2,0.0,0.1865466001665297,0.7133455148264882,-0.08652808701868078,0.10001851314784893,0.7133455148264882,0.18605698656595407,0.17229074066101438,False,
LA-LM,0,2008-03,3,0.0,0.18654814930183247,0.7133455695394665,-0.05780357088127806,0.12874457842055442,0.7133455695394665,0.18605731747304505,0.1759499458603901,False,
LA-LP,0,2008-01,1,0.0,13.964317614138109,38.80613269509383,-7.878383703429383,6.085933910708726,38.80613269509383,11.052141551412696,9.448791041598703,False,
LA-LP,0,2008-02,2,16.0,16.537906969492333,40.45489214609463,-6.989526149602289,9.548380819890044,40.45489214609463,9.45695839682557,9.863702682225666,False,
LA-LP,0,2008-03,3,22.0,17.272788234862777,40.61413467786925,-6.886152455323082,10.386635779539695,40.61413467786925,9.710576077878502,10.807161678770715,False,
LA-OU,0,2008-01,1,0.0,0.002038092365757095,0.5712735250673434,-0.022709194484376947,0.0,0.5712735250673434,0.1335066542166356,0.13350375344705884,False,
LA-OU,0,2008-02,2,0.0,0.0007828058355482215,0.6007935752838246,-0.0015820312343715586,0.0,0.6007935752838246,0.1404028478157884,0.1404024409109691,False,
LA-OU,0,2008-03,3,0.0,0.001555952479635101,0.7349383831127196,0.023437128768372204,0.024993081248007306,0.7349383831127196,0.1717527228956858,0.17209045336837547,False,
LA-PH,0,2008-01,1,,0.03749040424662971,0.388467396929649,-0.001640571963830321,0.035849832282799386,0.388467396929649,,,False,
LA-PH,0,2008-02,2,,0.037262431085092335,0.38845290623213985,0.008542591664853027,0.045805022749945364,0.38845290623213985,,,False,
LA-PH,0,2008-03,3,,0.03726381735348356,0.3884530375009129,0.026188963386701316,0.06345278074018487,0.3884530375009129,,,False,
LA-SL,0,2008-01,1,0.0,7.1019642786888655,13.195504782771753,-2.7304769173733163,4.371487361315549,13.195504782771753,4.572851396632064,3.6562499621126574,False,
LA-SL,0,2008-02,2,1.0,7.1577980365530856,14.723273757946362,-2.6726342377522023,4.485163798800883,14.723273757946362,4.453476534252075,3.768345252800404,False,
LA-SL,0,2008-03,3,5.0,7.17912400828643,15.117977741805367,-2.6466094523752832,4.532514555911147,15.117977741805367,3.6580873768839246,3.5387620395305963,False,
LA-SV,0,2008-01,1,1.0,-11.485014460641358,218.57726293087973,-8.688856311300276,0.0,218.57726293087973,51.36483175949996,51.08223366333214,False,
LA-SV,0,2008-02,2,1.0,-19.622384647363237,333.8632680799089,-0.879140756227726,0.0,333.8632680799089,78.53018922411142,78.02336376649835,False,
LA-SV,0,2008-03,3,1.0,-14.902385928129892,419.5674617069116,13.379974230486987,0.0,419.5674617069116,98.29123410285817,98.05175926193017,False,
LA-VT,0,2008-01,1,29.0,22.13084382532213,155.4562732467316,-20.828485961127214,1.3023578641949172,155.4562732467316,36.45042063000756,38.29289435912853,False,
LA-VT,0,2008-02,2,12.0,16.420554944247673,225.65272403392328,-8.082570120318994,8.337984823928679,225.65272403392328,52.76845511856109,52.757616500796736,False,
LA-VT,0,2008-03,3,26.0,19.472313008862173,279.17942127827797,0.6121688574815962,20.08448186634377,279.17942127827797,65.30371563814666,65.29283149807112,False,
LA-XA,0,2008-01,1,0.0,12.007580844264966,44.4086430753409,-7.074829676964361,4.932751167300605,44.4086430753409,11.665492855709706,10.596437682321248,False,
LA-XA,0,2008-02,2,0.0,15.559567206370208,46.788416373047404,-7.262339607525175,8.297227598845033,46.788416373047404,12.97967330298053,11.519683900549882,False,
LA-XA,0,2008-03,3,0.0,16.705741583381936,47.06933971147554,-7.119237150308466,9.58650443307347,47.06933971147554,13.340741448583003,11.776106290511875,False,
LA-XE,0,2008-01,1,0.0,0.8473909514443554,2.0896358377178466,-0.4242358562068119,0.42315509523754347,2.0896358377178466,0.6235795868480262,0.5224062953182095,False,
LA-XE,0,2008-02,2,0.0,0.8817870312997993,2.094279522424567,-0.3837224368766044,0.4980645944231949,2.094279522424567,0.6353889210805804,0.5364560248734535,False,
LA-XE,0,2008-03,3,0.0,0.8537362673134745,2.0962835743286568,-0.33876864283882313,0.5149676244746514,2.0962835743286568,0.6267149614031841,0.5401071023877455,False,
LA-XI,0,2008-01,1,0.0,0.037978971073608384,0.23596314892168488,-0.031615032523378814,0.00636393855022957,0.23596314892168488,0.05757681739413064,0.05521187133070465,False,
LA-XI,0,2008-02,2,0.0,0.037937028850090995,0.23596090195477482,-0.023704360176061767,0.014232668674029229,0.23596090195477482,0.057570955113549226,0.055485259716203834,False,
LA-XI,0,2008-03,3,0.0,0.03793707516914767,0.23596090459240027,-0.012857638085057842,0.02507943708408983,0.23596090459240027,0.057570961619296236,0.05620530011282962,False,
LA-XN,0,2008-01,1,,1.9227034658482431,4.134660339860258,-0.7699387873043593,1.1527646785438839,4.134660339860258,,,False,
LA-XN,0,2008-02,2,,1.9265079357685868,4.13941642457591,-0.7674707978227532,1.1590371379458335,4.13941642457591,,,False,
LA-XN,0,2008-03,3,,1.9264506066802944,4.144190197606953,-0.7415813773944102,1.1848692292858842,4.144190197606953,,,False,
LA-AT,1,2008-04,1,0.0,3.669853073058782,19.13792957457747,-1.203340096040071,2.466512977018711,19.13792957457747,4.752326174801341,4.599081066033346,False,
LA-AT,1,2008-05,2,4.0,4.339198631912654,19.494041883477173,0.1595095327435035,4.498708164656158,19.494041883477173,4.558014210909062,4.560749201803539,False,
LA-AT,1,2008-06,3,10.0,4.448858213599773,19.522349784421518,2.851724596438068,7.300582810037842,19.522349784421518,5.187779195494526,4.710946275758811,False,
LA-BK,1,2008-04,1,0.0,0.473294023990439,1.8533074055003906,-0.11653084533705904,0.35676317865338,1.8533074055003906,0.4810679811278599,0.46042257669217596,False,
LA-BK,1,2008-05,2,12.0,0.6463410728300799,1.9790222486855704,-0.14465332358619964,0.5016877492438803,1.9790222486855704,10.237115191999761,10.381768514454604,False,
LA-BK,1,2008-06,3,53.0,0.7096110056714757,1.9972994809545028,0.16236033289538518,0.8719713385668609,1.9972994809545028,51.16353343194865,51.001173099053275,False,
LA-BL,1,2008-04,1,3.0,10.296096808465538,31.656424755814268,-3.63902127081867,6.657075537646868,31.656424755814268,8.065849617302717,7.566305339550728,False,
LA-BL,1,2008-05,2,15.0,13.528545564122764,37.996204476750165,-4.202058142517514,9.32648742160525,37.996204476750165,8.902252652777577,9.21686228740633,False,
LA-BL,1,2008-06,3,19.0,20.25950459931389,40.50708719474455,6.104806230591369,26.364310829905257,40.50708719474455,9.48192507047632,9.99896194525806,False,
LA-CH,1,2008-04,1,69.0,97.98646907627938,63.17242882385317,-10.696468832111533,87.29000024416784,63.17242882385317,19.977979688682062,16.861009190044474,False,
LA-CH,1,2008-05,2,113.0,97.9433190208146,77.31302752312375,-4.446645017009844,93.49667400380476,77.31302752312375,19.23379434839916,20.02011726547322,False,
LA-CH,1,2008-06,3,295.0,108.29910248010837,83.71027054794273,36.105586092206806,144.4046885723152,83.71027054794273,140.2227085895908,105.76285830656684,False,
LA-HO,1,2008-04,1,0.0,0.29014350504451,0.9590509815578375,-0.11024640175285406,0.17989710329165592,0.9590509815578375,0.2588789544564615,0.2375482836444217,False,
LA-HO,1,2008-05,2,0.0,0.2703392103541706,0.9606989261079935,-0.05853325541826133,0.21180595493590926,0.9606989261079935,0.25466057664797603,0.2430648280708579,False,
LA-HO,1,2008-06,3,0.0,0.2716909900127283,0.9607464409443158,0.08988716134186599,0.36157815135459426,0.9607464409443158,0.25497047171381426,0.2781780218154205,False,
LA-KH,1,2008-04,1,0.0,-2.0160646936810735,64.83970614058596,2.608385043295802,0.5923203496147282,64.83970614058596,15.177719579340867,15.15487228724995,False,
LA-KH,1,2008-05,2,0.0,-1.6485657315570967,110.65924839557128,10.233940405883311,8.585374674326214,110.65924839557128,25.870308298144028,26.1261074895134,False,
